jornada,jugador_id,ventana,menciones,sent_positivo,sent_negativo,sent_neutro,titular,minutos,goles,asistencias,tarjetas,valoracion,pct_positivo
7,J17,Post,369,217,72,80,1,71,0,0,0,5.62,0.5880758807588076
7,J20,Post,481,303,91,87,1,75,0,0,0,5.9,0.6299376299376299
7,J21,Post,1291,1095,83,113,0,33,1,0,1,7.35,0.8481797056545314
7,J22,Post,720,541,106,73,1,90,0,0,0,6.32,0.7513888888888889
7,J23,Post,754,464,171,119,1,90,0,0,0,5.67,0.6153846153846154
7,J24,Post,850,613,90,147,0,22,0,0,0,6.85,0.7211764705882353
8,J02,Post,508,180,156,172,1,90,0,0,0,6.88,0.3543307086614173
8,J03,Post,218,61,73,84,1,85,0,0,0,5.47,0.2798165137614679
8,J04,Post,376,69,167,140,0,9,0,0,0,5.46,0.18351063829787234
8,J05,Post,481,143,181,157,1,90,0,0,0,7.12,0.2972972972972973
8,J06,Post,239,46,95,98,1,89,0,0,1,5.62,0.19246861924686193
8,J07,Post,278,72,93,113,1,81,0,0,1,5.93,0.2589928057553957
8,J10,Post,121,36,36,49,0,20,0,0,0,5.35,0.2975206611570248
8,J11,Post,349,79,142,128,0,18,0,0,0,5.68,0.22636103151862463
8,J14,Post,152,57,45,50,0,45,0,1,0,7.14,0.375
8,J15,Post,107,28,46,33,1,90,0,0,0,4.99,0.2616822429906542
8,J16,Post,187,50,58,79,1,73,0,0,1,5.4,0.26737967914438504
8,J17,Post,306,65,133,108,1,90,0,0,0,6.36,0.21241830065359477
8,J18,Post,846,346,264,236,0,29,0,1,1,6.52,0.408983451536643
8,J21,Post,462,165,151,146,1,90,0,0,1,6.47,0.35714285714285715
8,J22,Post,680,249,200,231,1,90,0,0,0,6.88,0.36617647058823527
8,J23,Post,606,218,201,187,1,90,0,0,0,6.6,0.35973597359735976
9,J01,Post,154,84,31,39,1,69,0,0,0,5.08,0.5454545454545454
9,J02,Post,497,288,124,85,1,70,0,0,0,5.27,0.579476861167002
9,J03,Post,348,233,57,58,1,85,0,0,1,6.02,0.6695402298850575
9,J04,Post,893,604,141,148,1,72,0,1,0,6.9,0.6763717805151176
9,J07,Post,374,202,68,104,1,73,0,0,0,5.08,0.5401069518716578
9,J08,Post,206,123,42,41,0,27,0,0,1,5.51,0.5970873786407767
9,J11,Post,471,329,77,65,0,34,0,0,0,6.43,0.6985138004246284
9,J12,Post,397,270,58,69,1,65,0,0,0,6.04,0.6801007556675063
9,J14,Post,140,98,22,20,1,49,0,0,0,5.36,0.7
9,J16,Post,226,127,51,48,1,81,0,0,0,5.17,0.5619469026548672
9,J18,Post,608,331,118,159,1,85,0,0,1,5.31,0.5444078947368421
9,J19,Post,367,193,93,81,0,6,0,0,0,5.18,0.5258855585831063
9,J22,Post,953,653,178,122,1,90,0,1,0,5.95,0.6852046169989506
9,J23,Post,1221,905,149,167,0,44,1,0,0,6.4,0.7411957411957412
9,J24,Post,613,366,146,101,0,29,0,0,1,4.88,0.5970636215334421
9,J25,Post,1045,992,28,25,1,78,1,1,0,7.56,0.9492822966507177
10,J01,Post,173,49,60,64,1,83,0,0,1,5.83,0.2832369942196532
10,J02,Post,315,115,92,108,1,90,0,0,0,6.0,0.36507936507936506
10,J03,Post,241,71,71,99,0,35,0,0,0,6.07,0.2946058091286307
10,J05,Post,234,79,86,69,1,76,0,0,0,5.21,0.33760683760683763
10,J08,Post,190,34,84,72,0,32,0,0,0,5.49,0.17894736842105263
10,J09,Post,116,16,56,44,0,5,0,0,1,3.89,0.13793103448275862
10,J11,Post,358,92,130,136,1,90,0,0,0,5.87,0.2569832402234637
10,J12,Post,222,31,97,94,1,90,0,0,0,4.64,0.13963963963963963
10,J13,Post,249,61,83,105,0,32,0,0,0,5.07,0.24497991967871485
10,J14,Post,55,6,22,27,1,89,0,0,0,4.69,0.10909090909090909
10,J16,Post,171,64,63,44,1,90,0,0,0,6.09,0.3742690058479532
10,J17,Post,158,56,56,46,1,90,0,0,0,5.09,0.35443037974683544
10,J19,Post,225,48,82,95,1,71,0,0,1,4.92,0.21333333333333335
10,J22,Post,466,124,177,165,0,23,0,0,0,5.47,0.26609442060085836
10,J23,Post,871,346,190,335,1,79,1,0,0,5.55,0.39724454649827784
10,J24,Post,811,261,212,338,1,87,0,1,0,7.06,0.3218249075215783
11,J01,Post,167,44,68,55,0,30,0,0,0,5.49,0.2634730538922156
11,J02,Post,293,65,104,124,1,90,0,0,0,5.42,0.22184300341296928
11,J04,Post,494,134,149,211,1,62,0,0,0,6.47,0.27125506072874495
11,J06,Post,266,79,78,109,1,90,0,0,0,6.54,0.29699248120300753
11,J07,Post,376,134,95,147,1,90,0,0,0,6.21,0.35638297872340424
11,J08,Post,195,68,48,79,1,78,0,0,0,5.96,0.3487179487179487
11,J10,Post,115,23,40,52,1,90,0,0,0,4.98,0.2
11,J12,Post,249,56,93,100,0,14,0,0,0,4.89,0.2248995983935743
11,J13,Post,346,104,135,107,0,21,0,0,0,6.09,0.30057803468208094
11,J14,Post,73,14,23,36,1,81,0,0,0,4.96,0.1917808219178082
11,J15,Post,113,22,51,40,0,37,0,0,0,5.91,0.19469026548672566
11,J17,Post,309,74,115,120,1,90,0,0,0,5.66,0.23948220064724918
11,J19,Post,371,124,128,119,1,62,0,0,0,7.47,0.33423180592991913
11,J22,Post,645,222,180,243,1,74,0,0,0,6.4,0.34418604651162793
11,J23,Post,193,19,95,79,1,70,0,0,0,3.85,0.09844559585492228
11,J25,Post,308,78,123,107,0,1,0,0,0,5.38,0.2532467532467532
12,J01,Post,162,51,55,56,0,29,0,0,0,6.43,0.3148148148148148
12,J02,Post,418,147,141,130,1,88,0,0,0,6.84,0.35167464114832536
12,J03,Post,347,75,153,119,0,22,0,0,0,6.35,0.21613832853025935
12,J09,Post,418,131,149,138,1,90,0,0,0,6.43,0.3133971291866029
12,J10,Post,167,63,60,44,0,35,0,0,0,6.13,0.3772455089820359
12,J11,Post,353,77,118,158,0,11,0,0,1,5.23,0.21813031161473087
12,J12,Post,441,147,142,152,1,90,0,1,0,6.22,0.3333333333333333
12,J13,Post,369,104,113,152,1,68,0,0,1,6.61,0.28184281842818426
12,J14,Post,84,26,33,25,1,66,0,0,0,5.73,0.30952380952380953
12,J17,Post,294,90,107,97,1,77,0,0,0,6.08,0.30612244897959184
12,J18,Post,497,165,158,174,1,88,0,0,0,5.71,0.3319919517102616
12,J20,Post,335,84,111,140,1,80,0,0,0,5.42,0.2507462686567164
12,J21,Post,464,123,134,207,1,71,0,0,0,5.8,0.2650862068965517
12,J22,Post,580,267,110,203,0,14,0,0,1,7.64,0.4603448275862069
12,J23,Post,456,140,184,132,1,58,0,0,0,5.83,0.30701754385964913
12,J24,Post,400,77,158,165,1,90,0,0,0,5.86,0.1925
13,J01,Post,213,144,38,31,1,90,0,0,0,6.83,0.676056338028169
13,J03,Post,451,327,53,71,0,17,0,0,0,6.32,0.7250554323725056
13,J04,Post,653,440,112,101,1,90,0,0,0,6.18,0.6738131699846861
13,J06,Post,351,246,48,57,1,72,0,0,0,7.04,0.7008547008547008
13,J07,Post,513,344,63,106,1,90,0,0,0,6.92,0.6705653021442495
13,J08,Post,305,242,26,37,0,45,0,0,0,7.68,0.7934426229508197
13,J10,Post,242,158,45,39,0,21,0,0,0,6.0,0.6528925619834711
13,J11,Post,505,351,64,90,1,68,0,1,0,6.29,0.695049504950495
13,J12,Post,296,205,50,41,1,81,0,0,0,5.55,0.6925675675675675
13,J13,Post,804,619,102,83,1,90,1,0,0,6.58,0.7699004975124378
13,J15,Post,184,119,31,34,0,13,0,0,0,7.05,0.6467391304347826
13,J17,Post,422,260,56,106,0,23,0,0,0,5.84,0.6161137440758294
13,J20,Post,548,303,133,112,1,84,0,0,0,6.01,0.5529197080291971
13,J22,Post,676,470,93,113,1,88,0,0,1,6.95,0.6952662721893491
13,J24,Post,851,615,111,125,1,88,0,0,0,7.57,0.7226792009400705
13,J25,Post,465,286,89,90,1,73,0,0,0,5.67,0.6150537634408603
14,J02,Post,481,301,88,92,0,25,0,0,0,6.17,0.6257796257796258
14,J03,Post,331,220,39,72,0,27,0,0,0,5.94,0.6646525679758308
14,J04,Post,655,384,97,174,1,81,0,0,0,7.0,0.5862595419847328
14,J05,Post,413,249,61,103,1,71,0,0,0,5.64,0.6029055690072639
14,J06,Post,352,247,57,48,1,90,0,0,0,6.95,0.7017045454545454
14,J07,Post,423,313,61,49,0,45,0,0,0,6.85,0.7399527186761229
14,J09,Post,425,281,62,82,1,82,0,0,1,6.5,0.6611764705882353
14,J11,Post,387,246,68,73,0,43,0,0,0,6.18,0.6356589147286822
14,J12,Post,638,523,58,57,1,82,0,1,0,6.86,0.8197492163009404
14,J13,Post,779,568,109,102,1,89,1,0,0,6.19,0.7291399229781772
14,J15,Post,197,133,32,32,1,76,0,0,0,6.95,0.6751269035532995
14,J17,Post,361,247,44,70,1,73,0,0,0,6.59,0.6842105263157895
14,J18,Post,993,780,90,123,1,90,0,1,0,6.69,0.7854984894259819
14,J19,Post,591,405,82,104,0,26,0,0,1,7.26,0.6852791878172588
14,J22,Post,699,459,85,155,1,74,0,0,0,6.65,0.6566523605150214
14,J25,Post,1053,993,24,36,1,78,1,0,0,8.91,0.9430199430199431
15,J03,Post,285,106,66,113,0,38,0,0,1,6.21,0.3719298245614035
15,J05,Post,305,90,128,87,1,63,0,0,0,5.09,0.29508196721311475
15,J06,Post,199,54,80,65,0,13,0,0,0,6.16,0.271356783919598
15,J07,Post,271,55,76,140,1,84,0,0,0,4.61,0.2029520295202952
15,J09,Post,289,94,102,93,1,89,0,0,0,6.11,0.32525951557093424
15,J11,Post,304,57,144,103,0,22,0,0,1,5.32,0.1875
15,J12,Post,365,114,100,151,1,53,0,0,0,5.4,0.31232876712328766
15,J13,Post,205,46,84,75,0,6,0,0,0,4.52,0.22439024390243903
15,J14,Post,65,16,23,26,1,66,0,0,1,5.8,0.24615384615384617
15,J15,Post,87,20,27,40,1,83,0,0,0,5.84,0.22988505747126436
15,J16,Post,201,90,49,62,0,35,0,0,0,6.68,0.44776119402985076
15,J17,Post,656,317,136,203,1,90,1,1,0,6.97,0.48323170731707316
15,J18,Post,327,85,141,101,1,90,0,0,0,5.35,0.2599388379204893
15,J19,Post,375,155,92,128,1,84,0,0,0,7.13,0.41333333333333333
15,J20,Post,446,123,187,136,1,85,0,0,1,6.02,0.2757847533632287
15,J21,Post,515,133,207,175,1,68,0,0,0,5.55,0.258252427184466
16,J01,Post,234,171,26,37,1,82,0,0,0,6.74,0.7307692307692307
16,J02,Post,812,669,68,75,1,75,0,1,0,7.91,0.8238916256157636
16,J05,Post,592,361,119,112,1,89,0,0,0,7.54,0.6097972972972973
16,J06,Post,310,179,78,53,1,85,0,0,0,6.07,0.5774193548387097
16,J07,Post,526,403,46,77,0,28,0,0,0,7.51,0.7661596958174905
16,J08,Post,253,150,40,63,0,29,0,0,0,6.21,0.5928853754940712
16,J12,Post,517,394,45,78,1,88,0,0,0,7.62,0.7620889748549323
16,J13,Post,453,276,79,98,0,31,0,0,0,5.74,0.609271523178808
16,J14,Post,122,64,25,33,1,82,0,0,0,5.7,0.5245901639344263
16,J15,Post,146,81,26,39,0,39,0,0,0,5.07,0.5547945205479452
16,J17,Post,491,348,72,71,1,77,0,0,0,7.54,0.7087576374745418
16,J18,Post,1062,902,79,81,1,54,0,1,0,7.72,0.8493408662900188
16,J19,Post,618,454,78,86,1,62,0,1,0,7.88,0.7346278317152104
16,J21,Post,770,467,108,195,1,71,0,0,0,5.74,0.6064935064935065
16,J23,Post,1411,1305,48,58,1,90,1,0,0,7.94,0.92487597448618
16,J25,Post,468,306,96,66,0,33,0,0,0,5.83,0.6538461538461539
17,J01,Post,100,49,29,22,1,83,0,0,0,4.29,0.49
17,J06,Post,276,123,74,79,0,26,0,0,1,6.79,0.44565217391304346
17,J07,Post,359,162,106,91,0,16,0,0,0,5.73,0.45125348189415043
17,J08,Post,215,134,37,44,1,89,0,0,0,6.63,0.6232558139534884
17,J09,Post,424,236,66,122,1,64,0,0,0,6.39,0.5566037735849056
17,J12,Post,632,474,55,103,0,28,1,0,0,7.14,0.75
17,J14,Post,101,46,24,31,1,90,0,0,0,6.7,0.45544554455445546
17,J15,Post,133,59,34,40,1,90,0,0,0,5.57,0.44360902255639095
17,J16,Post,260,155,50,55,0,24,0,0,0,6.97,0.5961538461538461
17,J18,Post,639,371,126,142,1,79,0,0,0,6.55,0.5805946791862285
17,J19,Post,393,195,104,94,0,1,0,0,0,6.2,0.4961832061068702
17,J21,Post,623,305,139,179,1,60,0,0,0,6.19,0.4895666131621188
17,J22,Post,551,268,123,160,1,81,0,0,0,6.41,0.4863883847549909
17,J23,Post,448,209,103,136,1,81,0,0,0,5.21,0.46651785714285715
17,J24,Post,404,152,145,107,1,90,0,0,0,5.16,0.37623762376237624
17,J25,Post,379,199,78,102,1,87,0,0,0,5.97,0.525065963060686
18,J01,Post,206,121,34,51,0,34,0,0,0,6.24,0.587378640776699
18,J05,Post,474,290,96,88,0,34,0,0,0,6.24,0.6118143459915611
18,J06,Post,285,178,42,65,0,10,0,0,0,5.6,0.624561403508772
18,J07,Post,556,420,54,82,1,79,0,0,0,6.39,0.7553956834532374
18,J10,Post,303,215,49,39,1,81,0,0,0,6.78,0.7095709570957096
18,J11,Post,480,290,113,77,0,13,0,0,1,6.07,0.6041666666666666
18,J12,Post,538,333,78,127,1,83,0,0,0,6.56,0.6189591078066915
18,J13,Post,355,230,71,54,0,28,0,0,0,5.19,0.647887323943662
18,J14,Post,133,88,17,28,1,86,0,0,1,5.5,0.6616541353383458
18,J15,Post,331,292,18,21,1,77,1,0,0,7.19,0.8821752265861027
18,J16,Post,333,233,46,54,1,87,0,0,0,7.29,0.6996996996996997
18,J17,Post,378,225,61,92,1,78,0,0,0,5.92,0.5952380952380952
18,J18,Post,1243,991,146,106,1,84,1,0,0,7.56,0.7972646822204345
18,J21,Post,1084,825,136,123,1,90,0,1,0,6.78,0.761070110701107
18,J22,Post,615,436,72,107,1,81,0,0,0,6.56,0.7089430894308943
18,J25,Post,600,375,125,100,1,82,0,0,0,5.96,0.625
19,J03,Post,222,96,71,55,1,79,0,0,0,4.99,0.43243243243243246
19,J04,Post,477,248,131,98,1,81,0,0,0,6.54,0.519916142557652
19,J05,Post,373,162,88,123,1,90,0,0,0,6.27,0.4343163538873995
19,J06,Post,281,154,67,60,0,45,0,0,1,6.11,0.5480427046263345
19,J07,Post,410,186,119,105,1,90,0,0,0,7.0,0.45365853658536587
19,J08,Post,235,132,57,46,1,78,0,1,0,6.63,0.5617021276595745
19,J09,Post,333,116,94,123,1,65,0,0,0,5.26,0.3483483483483483
19,J10,Post,158,79,39,40,1,88,0,0,0,5.29,0.5
19,J11,Post,314,154,79,81,0,12,0,0,0,6.03,0.49044585987261147
19,J12,Post,677,419,135,123,0,25,1,0,0,6.9,0.6189069423929099
19,J14,Post,113,58,27,28,1,90,0,0,0,6.81,0.5132743362831859
19,J16,Post,164,67,43,54,1,64,0,0,0,5.09,0.40853658536585363
19,J18,Post,523,268,124,131,1,90,0,0,0,6.03,0.5124282982791587
19,J20,Post,357,149,116,92,0,39,0,0,0,5.2,0.4173669467787115
19,J21,Post,644,336,154,154,1,82,0,0,1,6.45,0.5217391304347826
19,J22,Post,484,212,157,115,0,24,0,0,0,5.69,0.4380165289256198
20,J01,Post,185,116,32,37,0,25,0,0,1,5.92,0.6270270270270271
20,J03,Post,461,266,80,115,1,72,0,0,0,6.5,0.5770065075921909
20,J04,Post,616,399,100,117,1,73,0,0,0,5.47,0.6477272727272727
20,J05,Post,561,328,116,117,1,77,0,0,0,5.63,0.5846702317290553
20,J07,Post,351,237,46,68,0,18,0,0,1,5.66,0.6752136752136753
20,J09,Post,464,273,79,112,1,90,0,0,1,5.69,0.5883620689655172
20,J10,Post,284,185,38,61,0,15,0,0,0,5.96,0.6514084507042254
20,J12,Post,665,503,73,89,1,90,0,1,0,7.19,0.7563909774436091
20,J16,Post,248,146,54,48,0,30,0,0,0,5.63,0.5887096774193549
20,J17,Post,380,254,49,77,1,79,0,0,0,6.06,0.6684210526315789
20,J18,Post,606,364,101,141,1,88,0,0,0,6.3,0.6006600660066007
20,J20,Post,512,319,68,125,1,62,0,0,0,6.38,0.623046875
20,J21,Post,780,498,151,131,1,90,0,0,1,6.44,0.6384615384615384
20,J22,Post,569,347,109,113,1,79,0,0,0,4.25,0.6098418277680141
20,J23,Post,851,532,112,207,0,16,0,0,0,7.01,0.6251468860164512
20,J24,Post,463,269,79,115,1,90,0,0,0,5.5,0.5809935205183585
21,J03,Post,396,121,134,141,1,75,0,0,0,6.98,0.3055555555555556
21,J04,Post,564,182,139,243,1,55,0,0,1,6.67,0.32269503546099293
21,J07,Post,374,159,121,94,0,27,0,0,1,7.11,0.42513368983957217
21,J08,Post,154,48,48,58,1,83,0,0,1,5.67,0.3116883116883117
21,J09,Post,279,99,73,107,1,90,0,0,0,5.45,0.3548387096774194
21,J12,Post,355,135,106,114,0,25,0,0,0,6.13,0.38028169014084506
21,J13,Post,259,46,104,109,1,78,0,0,1,5.29,0.1776061776061776
21,J14,Post,86,30,30,26,1,66,0,0,0,6.4,0.3488372093023256
21,J15,Post,96,27,39,30,0,1,0,0,0,5.05,0.28125
21,J16,Post,292,119,79,94,1,80,0,1,0,6.37,0.4075342465753425
21,J17,Post,259,91,92,76,0,10,0,0,0,5.61,0.35135135135135137
21,J19,Post,411,172,106,133,1,90,0,1,0,6.6,0.41849148418491483
21,J21,Post,392,89,140,163,1,90,0,0,0,5.61,0.22704081632653061
21,J22,Post,545,176,198,171,1,78,0,0,1,6.55,0.3229357798165138
21,J24,Post,588,148,165,275,1,90,0,0,0,6.54,0.25170068027210885
21,J25,Post,292,66,104,122,0,1,0,0,0,4.87,0.22602739726027396
22,J02,Post,239,52,92,95,1,89,0,0,0,5.02,0.2175732217573222
22,J03,Post,395,125,103,167,1,71,0,0,1,6.59,0.31645569620253167
22,J04,Post,513,173,142,198,0,13,0,0,0,6.37,0.33723196881091616
22,J05,Post,269,79,99,91,1,90,0,0,1,5.36,0.2936802973977695
22,J06,Post,223,62,65,96,1,81,0,0,0,5.62,0.27802690582959644
22,J08,Post,196,48,70,78,1,86,0,0,0,6.18,0.24489795918367346
22,J12,Post,327,102,117,108,0,19,0,0,0,6.29,0.3119266055045872
22,J13,Post,435,144,152,139,0,29,0,0,0,7.35,0.3310344827586207
22,J14,Post,76,22,28,26,1,77,0,0,0,5.59,0.2894736842105263
22,J15,Post,130,23,47,60,1,83,0,0,0,5.53,0.17692307692307693
22,J19,Post,349,117,83,149,1,70,0,0,0,5.88,0.335243553008596
22,J21,Post,557,146,225,186,0,15,0,0,0,6.0,0.2621184919210054
22,J22,Post,393,100,123,170,1,64,0,0,0,5.61,0.2544529262086514
22,J23,Post,807,345,228,234,1,90,0,1,0,6.62,0.4275092936802974
22,J24,Post,764,229,219,316,1,67,0,1,0,7.17,0.299738219895288
22,J25,Post,485,198,109,178,0,20,0,0,0,6.32,0.40824742268041236
23,J01,Post,115,34,41,40,1,90,0,0,1,5.2,0.2956521739130435
23,J02,Post,326,99,123,104,0,23,0,0,0,6.43,0.30368098159509205
23,J03,Post,183,36,75,72,0,44,0,0,0,5.1,0.19672131147540983
23,J04,Post,641,156,180,305,1,87,0,1,0,5.32,0.24336973478939158
23,J06,Post,198,37,96,65,1,87,0,0,1,4.47,0.18686868686868688
