post_id,fecha_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,jornada,jornada_etiqueta,resultado,rival,condicion,alcance,impresiones,likes,comentarios,compartidos,guardados,interacciones,comentarios_positivos,comentarios_negativos,comentarios_neutros,atipico
P00079,20240817,2024-08-17,YouTube,Resumen,Vídeo largo,1,1.0,J01,Empate,UE Montseny,Local,16046.0,19867.0,1147.0,100,86,67.0,1400.0,51,18,31,False
P00080,20240817,2024-08-17,YouTube,Resumen,Vídeo largo,1,1.0,J01,Empate,UE Montseny,Local,2530.0,3988.0,83.0,7,4,5.0,99.0,4,1,2,False
P00081,20240818,2024-08-18,Instagram,Efeméride,Imagen,0,,,,,,13172.0,16759.0,508.0,44,55,37.0,644.0,22,7,15,False
P00082,20240818,2024-08-18,Instagram,Previa,Vídeo largo,0,,,,,,19465.0,21865.0,398.0,32,31,12.0,473.0,15,6,11,False
P00083,20240818,2024-08-18,Instagram,Institucional,Carrusel,0,,,,,,31532.0,40881.0,1127.0,84,81,91.0,1383.0,40,18,26,False
P00084,20240818,2024-08-18,X,Entrenamiento,Vídeo corto,0,,,,,,23148.0,33325.0,267.0,22,23,22.0,334.0,11,4,7,False
P00085,20240818,2024-08-18,X,Previa,Texto,0,,,,,,19148.0,28657.0,88.0,5,7,9.0,109.0,2,1,2,False
P00086,20240818,2024-08-18,Facebook,Directo,Imagen,0,,,,,,23051.0,33845.0,282.0,18,17,32.0,349.0,8,4,6,False
P00087,20240819,2024-08-19,Instagram,Entrenamiento,Carrusel,0,,,,,,21050.0,26163.0,779.0,39,60,107.0,985.0,22,7,10,False
P00088,20240819,2024-08-19,Instagram,Efeméride,Vídeo corto,0,,,,,,28290.0,39021.0,2105.0,142,230,217.0,2694.0,67,41,34,False
P00089,20240819,2024-08-19,YouTube,Entrenamiento,Vídeo largo,0,,,,,,4668.0,6789.0,54.0,2,3,8.0,67.0,1,0,1,False
P00090,20240820,2024-08-20,Facebook,Entrenamiento,Vídeo largo,0,,,,,,16714.0,22502.0,100.0,8,9,4.0,121.0,4,1,3,False
P00091,20240821,2024-08-21,Instagram,Entrenamiento,Imagen,0,,,,,,11208.0,16099.0,350.0,22,26,22.0,420.0,11,6,5,False
P00092,20240821,2024-08-21,Instagram,Efeméride,Vídeo corto,0,,,,,,16197.0,26649.0,888.0,75,86,42.0,1091.0,40,18,17,False
P00093,20240821,2024-08-21,X,Efeméride,Carrusel,0,,,,,,12390.0,15634.0,324.0,21,26,9.0,380.0,13,3,5,False
P00094,20240821,2024-08-21,X,Patrocinador,Texto,0,,,,,,28251.0,46130.0,123.0,7,12,7.0,149.0,3,1,3,False
P00095,20240821,2024-08-21,TikTok,Entrenamiento,Vídeo corto,0,,,,,,5021.0,6848.0,284.0,24,29,11.0,348.0,13,6,5,False
P00096,20240822,2024-08-22,Instagram,Afición,Imagen,0,,,,,,17469.0,28757.0,1097.0,67,84,35.0,1283.0,40,14,13,False
P00097,20240822,2024-08-22,Instagram,Entrenamiento,Carrusel,0,,,,,,39193.0,59970.0,811.0,65,73,67.0,1016.0,32,19,14,False
P00098,20240822,2024-08-22,Facebook,Cantera,Imagen,0,,,,,,11474.0,17165.0,73.0,3,5,4.0,85.0,1,0,2,False
P00099,20240822,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,,,,,,18973.0,27939.0,139.0,11,8,17.0,175.0,5,2,4,False
P00100,20240822,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,,,,,,12137.0,19771.0,96.0,7,4,11.0,118.0,3,1,3,False
P00101,20240822,2024-08-22,Facebook,Cantera,Imagen,0,,,,,,9724.0,15321.0,55.0,4,3,8.0,70.0,2,0,2,False
P00102,20240822,2024-08-22,Facebook,Entrenamiento,Imagen,0,,,,,,22995.0,28905.0,331.0,19,18,26.0,394.0,8,6,5,False
P00103,20240822,2024-08-22,Facebook,Previa,Carrusel,0,,,,,,5257.0,7209.0,51.0,4,3,5.0,63.0,2,0,2,False
P00104,20240822,2024-08-22,TikTok,Patrocinador,Vídeo corto,0,,,,,,5854.0,9658.0,233.0,22,16,22.0,293.0,12,4,6,False
P00105,20240823,2024-08-23,Instagram,Cantera,Vídeo corto,0,,,,,,28764.0,44667.0,1357.0,134,153,80.0,1724.0,69,26,39,False
P00106,20240823,2024-08-23,Instagram,Fichajes,Carrusel,0,,,,,,23478.0,27264.0,2150.0,176,228,44.0,2598.0,92,37,47,False
P00107,20240823,2024-08-23,X,Patrocinador,Imagen,0,,,,,,7115.0,11104.0,29.0,2,2,4.0,37.0,0,0,2,False
P00108,20240823,2024-08-23,X,Entrenamiento,Vídeo largo,0,,,,,,29760.0,47683.0,439.0,26,23,46.0,534.0,14,5,7,False
P00109,20240823,2024-08-23,Facebook,Previa,Vídeo corto,0,,,,,,13275.0,18463.0,278.0,16,24,13.0,331.0,8,3,5,False
P00110,20240824,2024-08-24,X,Institucional,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,40560.0,66342.0,726.0,48,39,36.0,849.0,32,5,11,False
P00111,20240824,2024-08-24,X,Previa,Texto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,48831.0,67724.0,509.0,41,36,34.0,620.0,26,9,6,False
P00112,20240824,2024-08-24,Facebook,Directo,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,7935.0,11372.0,179.0,14,11,10.0,214.0,10,1,3,False
P00113,20240824,2024-08-24,Facebook,Resumen,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,17255.0,28374.0,556.0,42,52,62.0,712.0,30,5,7,False
P00114,20240824,2024-08-24,TikTok,Directo,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,7451.0,9241.0,858.0,55,63,69.0,1045.0,42,5,8,False
P00115,20240824,2024-08-24,TikTok,Resumen,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,8710.0,11669.0,1864.0,143,204,92.0,2303.0,96,28,19,False
P00116,20240824,2024-08-24,YouTube,Patrocinador,Vídeo largo,1,2.0,J02,Victoria,Atlético Sierra,Visitante,4058.0,5627.0,42.0,2,4,3.0,51.0,1,0,1,False
P00117,20240824,2024-08-24,YouTube,Resumen,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,5376.0,10673.0,525.0,45,39,57.0,666.0,30,8,7,True
P00118,20240824,2024-08-24,YouTube,Previa,Vídeo corto,1,2.0,J02,Victoria,Atlético Sierra,Visitante,6147.0,9345.0,256.0,19,27,26.0,328.0,13,2,4,False
P00119,20240825,2024-08-25,Instagram,Resumen,Imagen,0,,,,,,23611.0,29110.0,1319.0,99,89,50.0,1557.0,55,26,18,False
P00120,20240825,2024-08-25,X,Fichajes,Imagen,0,,,,,,22937.0,32258.0,549.0,51,57,21.0,678.0,26,8,17,False
P00121,20240825,2024-08-25,Facebook,Efeméride,Imagen,0,,,,,,9666.0,11151.0,41.0,2,3,3.0,49.0,1,0,1,False
P00122,20240825,2024-08-25,TikTok,Patrocinador,Vídeo corto,0,,,,,,8306.0,2975.0,115.0,10,8,11.0,144.0,5,2,3,False
P00123,20240825,2024-08-25,TikTok,Efeméride,Vídeo corto,0,,,,,,7097.0,7966.0,493.0,43,36,29.0,601.0,21,10,12,False
P00124,20240826,2024-08-26,X,Entrenamiento,Vídeo corto,0,,,,,,10042.0,14312.0,170.0,14,8,22.0,214.0,5,3,6,False
P00125,20240826,2024-08-26,X,Previa,Vídeo corto,0,,,,,,18476.0,25908.0,265.0,20,20,21.0,326.0,9,5,6,False
P00126,20240826,2024-08-26,TikTok,Cantera,Vídeo corto,0,,,,,,11568.0,17595.0,941.0,89,57,42.0,1129.0,52,21,16,False
P00127,20240827,2024-08-27,Facebook,Efeméride,Carrusel,0,,,,,,14017.0,20063.0,156.0,14,12,5.0,187.0,5,3,6,False
P00128,20240827,2024-08-27,Facebook,Entrenamiento,Texto,0,,,,,,12844.0,18518.0,113.0,6,12,5.0,136.0,2,1,3,False
P00129,20240827,2024-08-27,Facebook,Fichajes,Vídeo corto,0,,,,,,13209.0,16408.0,224.0,17,11,23.0,275.0,10,2,5,False
P00130,20240827,2024-08-27,Facebook,Efeméride,Carrusel,0,,,,,,6082.0,8494.0,60.0,4,5,6.0,75.0,1,1,2,False
P00131,20240827,2024-08-27,Facebook,Patrocinador,Vídeo corto,0,,,,,,11501.0,16822.0,97.0,7,5,8.0,117.0,4,1,2,False
P00132,20240828,2024-08-28,X,Entrenamiento,Texto,0,,,,,,32981.0,43886.0,383.0,30,37,25.0,475.0,16,8,6,False
P00133,20240828,2024-08-28,X,Efeméride,Texto,0,,,,,,22794.0,36812.0,171.0,11,10,18.0,210.0,6,2,3,False
P00134,20240828,2024-08-28,Facebook,Efeméride,Vídeo largo,0,,,,,,6821.0,8520.0,52.0,3,4,6.0,65.0,1,0,2,False
P00135,20240828,2024-08-28,TikTok,Entrenamiento,Vídeo corto,0,,,,,,5449.0,6270.0,483.0,34,45,45.0,607.0,20,5,9,False
P00136,20240828,2024-08-28,TikTok,Afición,Vídeo corto,0,,,,,,5837.0,6787.0,847.0,53,55,87.0,1042.0,27,16,10,False
P00137,20240828,2024-08-28,TikTok,Patrocinador,Vídeo corto,0,,,,,,2915.0,4537.0,201.0,17,18,0.0,236.0,9,3,5,False
P00138,20240828,2024-08-28,TikTok,Afición,Vídeo corto,0,,,,,,7108.0,8417.0,732.0,49,71,24.0,876.0,27,13,9,False
P00139,20240828,2024-08-28,YouTube,Cantera,Vídeo largo,0,,,,,,4944.0,6709.0,101.0,7,11,7.0,126.0,4,1,2,False
P00140,20240829,2024-08-29,X,Institucional,Imagen,0,,,,,,26408.0,32079.0,179.0,11,13,14.0,217.0,5,3,3,False
P00141,20240829,2024-08-29,X,Afición,Texto,0,,,,,,14956.0,18838.0,169.0,9,15,22.5,215.5,5,2,2,False
P00142,20240829,2024-08-29,X,Institucional,Vídeo corto,0,,,,,,22531.0,28424.0,265.0,15,21,36.0,337.0,8,3,4,False
P00143,20240829,2024-08-29,YouTube,Cantera,Vídeo largo,0,,,,,,8946.0,10664.0,110.0,9,9,6.0,134.0,5,1,3,False
P00144,20240830,2024-08-30,Instagram,Institucional,Texto,0,,,,,,33703.0,53691.0,612.0,53,33,64.0,762.0,28,10,15,False
P00145,20240830,2024-08-30,X,Efeméride,Carrusel,0,,,,,,17676.0,21616.0,323.0,26,18,14.0,381.0,14,7,5,False
P00146,20240830,2024-08-30,Facebook,Entrenamiento,Imagen,0,,,,,,18877.0,27483.0,163.0,11,12,18.0,204.0,6,1,4,False
P00147,20240831,2024-08-31,Instagram,Afición,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,51962.0,66418.0,5894.0,360,592,340.0,7186.0,253,49,58,False
P00148,20240831,2024-08-31,Instagram,Cantera,Imagen,1,3.0,J03,Victoria,Real Villalba CF,Local,72492.0,117303.0,1797.0,114,188,110.0,2209.0,77,23,14,False
P00149,20240831,2024-08-31,X,Directo,Imagen,1,3.0,J03,Victoria,Real Villalba CF,Local,22964.0,34331.0,795.0,58,65,16.0,934.0,42,8,8,False
P00150,20240831,2024-08-31,X,Previa,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,46287.0,74800.0,1080.0,58,103,17.0,1258.0,35,11,12,False
P00151,20240831,2024-08-31,X,Resumen,Imagen,1,3.0,J03,Victoria,Real Villalba CF,Local,17580.0,26433.0,415.0,32,42,40.0,529.0,19,5,8,False
P00152,20240831,2024-08-31,Facebook,Previa,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,28416.0,38441.0,562.0,41,28,30.0,661.0,27,6,8,False
P00153,20240831,2024-08-31,TikTok,Previa,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,7103.0,9490.0,1231.0,71,76,74.0,1452.0,48,10,13,False
P00154,20240831,2024-08-31,TikTok,Resumen,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,13609.0,21553.0,2988.0,259,189,163.0,3599.0,181,27,51,False
P00155,20240831,2024-08-31,YouTube,Patrocinador,Vídeo corto,1,3.0,J03,Victoria,Real Villalba CF,Local,3967.0,5848.0,82.0,4,8,10.0,104.0,3,0,1,False
P00156,20240831,2024-08-31,YouTube,Directo,Vídeo largo,1,3.0,J03,Victoria,Real Villalba CF,Local,8196.0,9511.0,352.0,30,29,8.0,419.0,20,4,6,False
P00157,20240831,2024-08-31,YouTube,Resumen,Vídeo largo,1,3.0,J03,Victoria,Real Villalba CF,Local,5749.0,9357.0,186.0,9,13,8.0,216.0,5,2,2,False
P00158,20240901,2024-09-01,Instagram,Patrocinador,Imagen,0,,,,,,19375.0,29077.0,308.0,27,29,21.0,385.0,14,6,7,False
P00159,20240901,2024-09-01,Instagram,Fichajes,Imagen,0,,,,,,26015.0,29263.0,1227.0,65,128,84.0,1504.0,31,19,15,False
P00160,20240901,2024-09-01,X,Fichajes,Vídeo corto,0,,,,,,13822.0,21190.0,621.0,55,44,15.0,735.0,30,9,16,False
P00161,20240901,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,,,,,,17052.0,19365.0,149.0,13,12,7.0,181.0,8,2,3,False
P00162,20240901,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,,,,,,11149.0,17523.0,182.0,16,18,0.0,216.0,7,5,4,False
P00163,20240901,2024-09-01,YouTube,Institucional,Vídeo largo,0,,,,,,4768.0,6937.0,37.0,2,3,3.0,45.0,0,0,2,False
P00164,20240902,2024-09-02,Instagram,Efeméride,Vídeo largo,0,,,,,,18822.0,23892.0,808.0,45,49,46.0,948.0,27,10,8,False
P00165,20240902,2024-09-02,Instagram,Fichajes,Vídeo corto,0,,,,,,23656.0,35401.0,2871.0,172,254,234.0,3531.0,89,39,44,False
P00166,20240902,2024-09-02,Instagram,Entrenamiento,Imagen,0,,,,,,16716.0,18897.0,510.0,37,49,5.0,601.0,19,10,8,False
P00167,20240902,2024-09-02,X,Cantera,Carrusel,0,,,,,,30223.0,48018.0,286.0,26,19,6.0,337.0,13,6,7,False
P00168,20240902,2024-09-02,X,Patrocinador,Vídeo largo,0,,,,,,37245.0,54331.0,233.0,19,21,8.0,281.0,8,3,8,False
P00169,20240903,2024-09-03,Instagram,Institucional,Imagen,0,,,,,,25530.0,40102.0,522.0,40,52,2.0,616.0,20,7,13,False
P00170,20240903,2024-09-03,Instagram,Entrenamiento,Vídeo corto,0,,,,,,20325.0,24733.0,1647.0,155,85,111.0,1998.0,93,34,28,False
P00171,20240903,2024-09-03,Instagram,Afición,Vídeo corto,0,,,,,,72858.0,113850.0,9616.0,797,825,295.0,11533.0,393,236,168,False
P00172,20240903,2024-09-03,X,Cantera,Imagen,0,,,,,,14225.0,17436.0,258.0,15,26,31.0,330.0,8,3,4,False
P00173,20240903,2024-09-03,Facebook,Fichajes,Vídeo corto,0,,,,,,8191.0,12396.0,246.0,19,18,24.0,307.0,11,4,4,False
P00174,20240903,2024-09-03,TikTok,Institucional,Vídeo corto,0,,,,,,3886.0,4921.0,234.0,18,22,2.0,276.0,9,4,5,False
P00175,20240904,2024-09-04,X,Afición,Imagen,0,,,,,,15961.0,23928.0,163.0,8,12,11.0,194.0,4,1,3,False
P00176,20240904,2024-09-04,Facebook,Previa,Imagen,0,,,,,,11226.0,12742.0,96.0,5,6,6.0,113.0,2,1,2,False
P00177,20240904,2024-09-04,Facebook,Afición,Imagen,0,,,,,,12796.0,14840.0,130.0,7,11,5.0,153.0,2,1,4,False
P00178,20240905,2024-09-05,X,Patrocinador,Vídeo corto,0,,,,,,26665.0,32448.0,333.0,27,22,13.0,395.0,16,4,7,False
P00179,20240905,2024-09-05,Facebook,Fichajes,Imagen,0,,,,,,14564.0,23939.0,134.0,9,9,10.0,162.0,5,1,3,False
