aficionado_id,plataforma,sigue,interacciones_temporada
AF-B34405C874,YouTube,0,0
AF-EFCA65B407,Instagram,1,23
AF-EFCA65B407,X,0,0
AF-EFCA65B407,Facebook,1,21
AF-EFCA65B407,TikTok,0,0
AF-EFCA65B407,YouTube,0,0
AF-E8DC663CE9,Instagram,0,0
AF-E8DC663CE9,X,0,0
AF-E8DC663CE9,Facebook,0,0
AF-E8DC663CE9,TikTok,1,7
AF-E8DC663CE9,YouTube,0,0
AF-015C0ED11F,Instagram,0,0
AF-015C0ED11F,X,0,0
AF-015C0ED11F,Facebook,0,0
AF-015C0ED11F,TikTok,0,0
AF-015C0ED11F,YouTube,0,0
AF-57CD8166FE,Instagram,1,3
AF-57CD8166FE,X,0,0
AF-57CD8166FE,Facebook,1,12
AF-57CD8166FE,TikTok,0,0
AF-57CD8166FE,YouTube,0,0
AF-1B0CD3857E,Instagram,0,0
AF-1B0CD3857E,X,1,14
AF-1B0CD3857E,Facebook,1,25
AF-1B0CD3857E,TikTok,0,0
AF-1B0CD3857E,YouTube,0,0
AF-0D781ADF95,Instagram,1,21
AF-0D781ADF95,X,0,0
AF-0D781ADF95,Facebook,1,70
AF-0D781ADF95,TikTok,0,0
AF-0D781ADF95,YouTube,0,0
AF-8BB1300615,Instagram,1,109
AF-8BB1300615,X,1,93
AF-8BB1300615,Facebook,1,26
AF-8BB1300615,TikTok,1,161
AF-8BB1300615,YouTube,0,0
AF-D79AA1B6BC,Instagram,1,64
AF-D79AA1B6BC,X,1,11
AF-D79AA1B6BC,Facebook,0,0
AF-D79AA1B6BC,TikTok,1,28
AF-D79AA1B6BC,YouTube,0,0
AF-6044142FC9,Instagram,1,57
AF-6044142FC9,X,1,29
AF-6044142FC9,Facebook,1,12
AF-6044142FC9,TikTok,0,0
AF-6044142FC9,YouTube,1,31
AF-887AD8C467,Instagram,1,50
AF-887AD8C467,X,0,0
AF-887AD8C467,Facebook,0,0
AF-887AD8C467,TikTok,0,0
AF-887AD8C467,YouTube,0,0
AF-9EA547B4B8,Instagram,1,13
AF-9EA547B4B8,X,0,0
AF-9EA547B4B8,Facebook,1,25
AF-9EA547B4B8,TikTok,0,0
AF-9EA547B4B8,YouTube,1,3
AF-6A1E16C160,Instagram,1,13
AF-6A1E16C160,X,0,0
AF-6A1E16C160,Facebook,1,52
AF-6A1E16C160,TikTok,0,0
AF-6A1E16C160,YouTube,0,0
AF-B2A08918A3,Instagram,1,15
AF-B2A08918A3,X,1,4
AF-B2A08918A3,Facebook,0,0
AF-B2A08918A3,TikTok,1,14
AF-B2A08918A3,YouTube,0,0
AF-6ABC201CF7,Instagram,0,0
AF-6ABC201CF7,X,1,14
AF-6ABC201CF7,Facebook,1,8
AF-6ABC201CF7,TikTok,0,0
AF-6ABC201CF7,YouTube,0,0
AF-D9326E0A8A,Instagram,1,42
AF-D9326E0A8A,X,0,0
AF-D9326E0A8A,Facebook,0,0
AF-D9326E0A8A,TikTok,0,0
AF-D9326E0A8A,YouTube,0,0
AF-F6C6A752B8,Instagram,1,24
AF-F6C6A752B8,X,1,23
AF-F6C6A752B8,Facebook,0,0
AF-F6C6A752B8,TikTok,1,43
AF-F6C6A752B8,YouTube,0,0
AF-BBCABD4F64,Instagram,1,3
AF-BBCABD4F64,X,1,1
AF-BBCABD4F64,Facebook,1,7
AF-BBCABD4F64,TikTok,0,0
AF-BBCABD4F64,YouTube,1,17
AF-7219BB587C,Instagram,1,22
AF-7219BB587C,X,0,0
AF-7219BB587C,Facebook,0,0
AF-7219BB587C,TikTok,0,0
AF-7219BB587C,YouTube,1,7
AF-97CD301DFB,Instagram,0,0
AF-97CD301DFB,X,0,0
AF-97CD301DFB,Facebook,0,0
AF-97CD301DFB,TikTok,0,0
AF-97CD301DFB,YouTube,1,34
AF-B77EF57FB9,Instagram,1,8
AF-B77EF57FB9,X,0,0
AF-B77EF57FB9,Facebook,1,7
AF-B77EF57FB9,TikTok,0,0
AF-B77EF57FB9,YouTube,1,18
AF-9D53E81E23,Instagram,1,28
AF-9D53E81E23,X,1,9
AF-9D53E81E23,Facebook,0,0
AF-9D53E81E23,TikTok,1,32
AF-9D53E81E23,YouTube,1,12
AF-8D4685AD67,Instagram,1,46
AF-8D4685AD67,X,0,0
AF-8D4685AD67,Facebook,0,0
AF-8D4685AD67,TikTok,0,0
AF-8D4685AD67,YouTube,0,0
AF-65EF21247A,Instagram,1,18
AF-65EF21247A,X,1,5
AF-65EF21247A,Facebook,1,11
AF-65EF21247A,TikTok,0,0
AF-65EF21247A,YouTube,1,14
AF-2B3AB5061B,Instagram,1,9
AF-2B3AB5061B,X,1,7
AF-2B3AB5061B,Facebook,0,0
AF-2B3AB5061B,TikTok,0,0
AF-2B3AB5061B,YouTube,1,7
AF-6F90121F11,Instagram,1,6
AF-6F90121F11,X,0,0
AF-6F90121F11,Facebook,0,0
AF-6F90121F11,TikTok,1,6
AF-6F90121F11,YouTube,0,0
AF-C1D4C0AE84,Instagram,1,41
AF-C1D4C0AE84,X,0,0
AF-C1D4C0AE84,Facebook,0,0
AF-C1D4C0AE84,TikTok,0,0
AF-C1D4C0AE84,YouTube,0,0
AF-763D1AE32E,Instagram,1,24
AF-763D1AE32E,X,0,0
AF-763D1AE32E,Facebook,1,121
AF-763D1AE32E,TikTok,0,0
AF-763D1AE32E,YouTube,0,0
AF-49C5626CAB,Instagram,1,72
AF-49C5626CAB,X,0,0
AF-49C5626CAB,Facebook,0,0
AF-49C5626CAB,TikTok,0,0
AF-49C5626CAB,YouTube,1,33
AF-1474CF8C01,Instagram,1,13
AF-1474CF8C01,X,0,0
AF-1474CF8C01,Facebook,1,23
AF-1474CF8C01,TikTok,0,0
AF-1474CF8C01,YouTube,1,9
AF-3481B694D0,Instagram,1,50
AF-3481B694D0,X,1,22
AF-3481B694D0,Facebook,0,0
AF-3481B694D0,TikTok,0,0
AF-3481B694D0,YouTube,0,0
AF-9971FFA859,Instagram,1,53
AF-9971FFA859,X,1,25
AF-9971FFA859,Facebook,1,32
AF-9971FFA859,TikTok,0,0
AF-9971FFA859,YouTube,1,87
AF-4C7273FFED,Instagram,1,9
AF-4C7273FFED,X,0,0
AF-4C7273FFED,Facebook,0,0
AF-4C7273FFED,TikTok,0,0
AF-4C7273FFED,YouTube,0,0
AF-A5B3697FB4,Instagram,1,10
AF-A5B3697FB4,X,0,0
AF-A5B3697FB4,Facebook,1,47
AF-A5B3697FB4,TikTok,0,0
AF-A5B3697FB4,YouTube,0,0
AF-4FB9134E94,Instagram,1,40
AF-4FB9134E94,X,1,59
AF-4FB9134E94,Facebook,0,0
AF-4FB9134E94,TikTok,1,33
AF-4FB9134E94,YouTube,0,0
AF-A815B06120,Instagram,1,83
AF-A815B06120,X,0,0
AF-A815B06120,Facebook,1,1
AF-A815B06120,TikTok,1,104
AF-A815B06120,YouTube,1,96
AF-C1A4896EF2,Instagram,1,61
AF-C1A4896EF2,X,1,24
AF-C1A4896EF2,Facebook,0,0
AF-C1A4896EF2,TikTok,0,0
AF-C1A4896EF2,YouTube,1,41
AF-603AD841D5,Instagram,0,0
AF-603AD841D5,X,0,0
AF-603AD841D5,Facebook,1,42
AF-603AD841D5,TikTok,0,0
AF-603AD841D5,YouTube,0,0
AF-0854353552,Instagram,1,131
AF-0854353552,X,1,67
AF-0854353552,Facebook,1,4
AF-0854353552,TikTok,0,0
AF-0854353552,YouTube,1,28
AF-4168AD29C5,Instagram,1,14
AF-4168AD29C5,X,1,130
AF-4168AD29C5,Facebook,0,0
AF-4168AD29C5,TikTok,0,0
AF-4168AD29C5,YouTube,0,0
AF-DD6658753A,Instagram,1,58
AF-DD6658753A,X,0,0
AF-DD6658753A,Facebook,1,1
AF-DD6658753A,TikTok,0,0
AF-DD6658753A,YouTube,1,15
AF-03D31D32D1,Instagram,1,33
AF-03D31D32D1,X,0,0
AF-03D31D32D1,Facebook,0,0
AF-03D31D32D1,TikTok,0,0
AF-03D31D32D1,YouTube,1,39
AF-3E2E4F6732,Instagram,1,34
AF-3E2E4F6732,X,0,0
AF-3E2E4F6732,Facebook,0,0
AF-3E2E4F6732,TikTok,0,0
AF-3E2E4F6732,YouTube,1,13
AF-FD7B174E7D,Instagram,0,0
AF-FD7B174E7D,X,1,28
AF-FD7B174E7D,Facebook,1,7
AF-FD7B174E7D,TikTok,0,0
AF-FD7B174E7D,YouTube,0,0
AF-CB5C4B455C,Instagram,1,71
AF-CB5C4B455C,X,0,0
AF-CB5C4B455C,Facebook,1,44
AF-CB5C4B455C,TikTok,0,0
AF-CB5C4B455C,YouTube,0,0
AF-49783091D1,Instagram,1,15
AF-49783091D1,X,0,0
AF-49783091D1,Facebook,1,26
AF-49783091D1,TikTok,0,0
AF-49783091D1,YouTube,0,0
AF-410E6E8E11,Instagram,1,41
AF-410E6E8E11,X,0,0
AF-410E6E8E11,Facebook,0,0
AF-410E6E8E11,TikTok,0,0
AF-410E6E8E11,YouTube,0,0
AF-19A52AA62C,Instagram,0,0
AF-19A52AA62C,X,1,6
AF-19A52AA62C,Facebook,0,0
AF-19A52AA62C,TikTok,1,11
AF-19A52AA62C,YouTube,1,5
AF-E252B9DEB0,Instagram,0,0
AF-E252B9DEB0,X,1,12
AF-E252B9DEB0,Facebook,0,0
AF-E252B9DEB0,TikTok,1,5
AF-E252B9DEB0,YouTube,1,37
AF-B5451C7FBC,Instagram,0,0
AF-B5451C7FBC,X,0,0
AF-B5451C7FBC,Facebook,1,17
AF-B5451C7FBC,TikTok,0,0
AF-B5451C7FBC,YouTube,0,0
AF-456DBCBD82,Instagram,1,25
AF-456DBCBD82,X,0,0
AF-456DBCBD82,Facebook,0,0
AF-456DBCBD82,TikTok,0,0
AF-456DBCBD82,YouTube,0,0
AF-394723D4CA,Instagram,0,0
AF-394723D4CA,X,1,10
AF-394723D4CA,Facebook,1,15
AF-394723D4CA,TikTok,0,0
AF-394723D4CA,YouTube,1,7
AF-1EBC6DF383,Instagram,1,22
AF-1EBC6DF383,X,1,77
AF-1EBC6DF383,Facebook,1,17
AF-1EBC6DF383,TikTok,0,0
AF-1EBC6DF383,YouTube,0,0
AF-10CB24817B,Instagram,0,0
AF-10CB24817B,X,1,21
AF-10CB24817B,Facebook,1,41
AF-10CB24817B,TikTok,0,0
AF-10CB24817B,YouTube,1,10
AF-8CC0E4BAC9,Instagram,1,2
AF-8CC0E4BAC9,X,1,63
AF-8CC0E4BAC9,Facebook,1,6
AF-8CC0E4BAC9,TikTok,1,22
AF-8CC0E4BAC9,YouTube,0,0
AF-652002CCB4,Instagram,1,14
AF-652002CCB4,X,0,0
AF-652002CCB4,Facebook,0,0
AF-652002CCB4,TikTok,0,0
AF-652002CCB4,YouTube,0,0
AF-3A22B90256,Instagram,1,35
AF-3A22B90256,X,0,0
AF-3A22B90256,Facebook,0,0
AF-3A22B90256,TikTok,0,0
AF-3A22B90256,YouTube,0,0
AF-A7795441E2,Instagram,0,0
AF-A7795441E2,X,0,0
AF-A7795441E2,Facebook,0,0
AF-A7795441E2,TikTok,1,14
AF-A7795441E2,YouTube,0,0
AF-411A35070F,Instagram,1,13
AF-411A35070F,X,1,3
AF-411A35070F,Facebook,1,28
AF-411A35070F,TikTok,1,15
AF-411A35070F,YouTube,0,0
AF-144466BB86,Instagram,1,9
AF-144466BB86,X,1,1
AF-144466BB86,Facebook,0,0
AF-144466BB86,TikTok,1,9
AF-144466BB86,YouTube,0,0
AF-909FBC00C1,Instagram,0,0
AF-909FBC00C1,X,0,0
AF-909FBC00C1,Facebook,0,0
AF-909FBC00C1,TikTok,0,0
AF-909FBC00C1,YouTube,1,34
AF-BC7AF3562A,Instagram,0,0
AF-BC7AF3562A,X,0,0
AF-BC7AF3562A,Facebook,0,0
AF-BC7AF3562A,TikTok,0,0
AF-BC7AF3562A,YouTube,1,53
AF-2773ADC12A,Instagram,1,27
AF-2773ADC12A,X,0,0
AF-2773ADC12A,Facebook,0,0
AF-2773ADC12A,TikTok,0,0
AF-2773ADC12A,YouTube,0,0
AF-11372DB658,Instagram,0,0
AF-11372DB658,X,1,31
AF-11372DB658,Facebook,0,0
AF-11372DB658,TikTok,0,0
AF-11372DB658,YouTube,0,0
AF-E34428C513,Instagram,1,36
AF-E34428C513,X,0,0
AF-E34428C513,Facebook,1,11
AF-E34428C513,TikTok,1,5
AF-E34428C513,YouTube,0,0
AF-89936EF1BD,Instagram,1,96
AF-89936EF1BD,X,0,0
AF-89936EF1BD,Facebook,0,0
AF-89936EF1BD,TikTok,1,149
AF-89936EF1BD,YouTube,0,0
AF-FF0A5628C3,Instagram,0,0
AF-FF0A5628C3,X,1,50
AF-FF0A5628C3,Facebook,0,0
AF-FF0A5628C3,TikTok,1,161
AF-FF0A5628C3,YouTube,0,0
AF-2DD887D95A,Instagram,1,20
AF-2DD887D95A,X,0,0
AF-2DD887D95A,Facebook,0,0
AF-2DD887D95A,TikTok,1,36
AF-2DD887D95A,YouTube,0,0
AF-CCC266A90D,Instagram,1,7
AF-CCC266A90D,X,0,0
AF-CCC266A90D,Facebook,0,0
AF-CCC266A90D,TikTok,0,0
AF-CCC266A90D,YouTube,0,0
AF-45E34ED468,Instagram,1,64
AF-45E34ED468,X,1,30
AF-45E34ED468,Facebook,0,0
AF-45E34ED468,TikTok,0,0
AF-45E34ED468,YouTube,1,29
AF-1638AB16C0,Instagram,1,19
AF-1638AB16C0,X,0,0
AF-1638AB16C0,Facebook,1,4
AF-1638AB16C0,TikTok,0,0
AF-1638AB16C0,YouTube,0,0
AF-EF380CD6EF,Instagram,1,23
AF-EF380CD6EF,X,1,20
AF-EF380CD6EF,Facebook,0,0
AF-EF380CD6EF,TikTok,1,9
AF-EF380CD6EF,YouTube,0,0
AF-7A61605A98,Instagram,1,11
AF-7A61605A98,X,0,0
AF-7A61605A98,Facebook,0,0
AF-7A61605A98,TikTok,1,39
AF-7A61605A98,YouTube,1,16
AF-3769394122,Instagram,0,0
AF-3769394122,X,1,84
AF-3769394122,Facebook,1,18
AF-3769394122,TikTok,0,0
AF-3769394122,YouTube,0,0
AF-5042777831,Instagram,1,14
AF-5042777831,X,0,0
AF-5042777831,Facebook,1,20
AF-5042777831,TikTok,0,0
AF-5042777831,YouTube,0,0
AF-EAB0CDA669,Instagram,1,2
AF-EAB0CDA669,X,1,15
AF-EAB0CDA669,Facebook,1,67
AF-EAB0CDA669,TikTok,0,0
AF-EAB0CDA669,YouTube,0,0
AF-212B327B44,Instagram,1,18
AF-212B327B44,X,0,0
AF-212B327B44,Facebook,0,0
AF-212B327B44,TikTok,0,0
AF-212B327B44,YouTube,0,0
AF-B42405808F,Instagram,0,0
AF-B42405808F,X,0,0
AF-B42405808F,Facebook,1,88
AF-B42405808F,TikTok,1,90
AF-B42405808F,YouTube,0,0
AF-A07E59016D,Instagram,1,33
AF-A07E59016D,X,0,0
AF-A07E59016D,Facebook,1,13
AF-A07E59016D,TikTok,0,0
AF-A07E59016D,YouTube,0,0
AF-DB248B5054,Instagram,0,0
AF-DB248B5054,X,0,0
AF-DB248B5054,Facebook,1,35
AF-DB248B5054,TikTok,0,0
AF-DB248B5054,YouTube,0,0
AF-57A3CA65E8,Instagram,0,0
AF-57A3CA65E8,X,0,0
AF-57A3CA65E8,Facebook,0,0
AF-57A3CA65E8,TikTok,1,9
AF-57A3CA65E8,YouTube,0,0
AF-54BEA61E2E,Instagram,0,0
AF-54BEA61E2E,X,1,6
AF-54BEA61E2E,Facebook,0,0
AF-54BEA61E2E,TikTok,0,0
AF-54BEA61E2E,YouTube,0,0
AF-DC91E7DC07,Instagram,1,23
AF-DC91E7DC07,X,1,64
AF-DC91E7DC07,Facebook,1,28
AF-DC91E7DC07,TikTok,0,0
AF-DC91E7DC07,YouTube,0,0
AF-EB0C8B61A0,Instagram,1,4
AF-EB0C8B61A0,X,1,1
AF-EB0C8B61A0,Facebook,1,15
AF-EB0C8B61A0,TikTok,0,0
AF-EB0C8B61A0,YouTube,0,0
AF-5CEC3B7B77,Instagram,1,7
AF-5CEC3B7B77,X,0,0
AF-5CEC3B7B77,Facebook,1,35
AF-5CEC3B7B77,TikTok,0,0
AF-5CEC3B7B77,YouTube,0,0
AF-31D143245D,Instagram,1,47
AF-31D143245D,X,1,20
AF-31D143245D,Facebook,0,0
AF-31D143245D,TikTok,0,0
AF-31D143245D,YouTube,0,0
AF-1D477AE65D,Instagram,0,0
AF-1D477AE65D,X,1,5
AF-1D477AE65D,Facebook,1,20
AF-1D477AE65D,TikTok,0,0
AF-1D477AE65D,YouTube,0,0
AF-93907029AF,Instagram,1,4
AF-93907029AF,X,1,22
AF-93907029AF,Facebook,0,0
AF-93907029AF,TikTok,0,0
AF-93907029AF,YouTube,0,0
AF-D65659ABAF,Instagram,0,0
AF-D65659ABAF,X,0,0
AF-D65659ABAF,Facebook,0,0
AF-D65659ABAF,TikTok,0,0
AF-D65659ABAF,YouTube,1,15
AF-CC61FCCE2F,Instagram,1,15
AF-CC61FCCE2F,X,1,33
AF-CC61FCCE2F,Facebook,1,6
AF-CC61FCCE2F,TikTok,0,0
AF-CC61FCCE2F,YouTube,1,45
AF-1414D8F783,Instagram,1,119
AF-1414D8F783,X,1,28
AF-1414D8F783,Facebook,1,63
AF-1414D8F783,TikTok,1,32
AF-1414D8F783,YouTube,0,0
AF-D392C2E5DA,Instagram,1,67
AF-D392C2E5DA,X,1,75
AF-D392C2E5DA,Facebook,0,0
AF-D392C2E5DA,TikTok,1,27
AF-D392C2E5DA,YouTube,1,39
AF-26CA954AD3,Instagram,1,51
AF-26CA954AD3,X,1,26
AF-26CA954AD3,Facebook,0,0
AF-26CA954AD3,TikTok,1,71
AF-26CA954AD3,YouTube,0,0
AF-D6DDD71315,Instagram,0,0
AF-D6DDD71315,X,0,0
AF-D6DDD71315,Facebook,1,41
AF-D6DDD71315,TikTok,0,0
AF-D6DDD71315,YouTube,1,21
AF-FE827538B4,Instagram,1,9
AF-FE827538B4,X,1,34
AF-FE827538B4,Facebook,0,0
AF-FE827538B4,TikTok,0,0
AF-FE827538B4,YouTube,0,0
AF-D58924D2B0,Instagram,1,7
AF-D58924D2B0,X,0,0
AF-D58924D2B0,Facebook,0,0
AF-D58924D2B0,TikTok,0,0
AF-D58924D2B0,YouTube,0,0
AF-6C34A76A92,Instagram,0,0
AF-6C34A76A92,X,1,10
AF-6C34A76A92,Facebook,0,0
AF-6C34A76A92,TikTok,0,0
AF-6C34A76A92,YouTube,0,0
AF-6E053AA9EF,Instagram,1,14
AF-6E053AA9EF,X,1,105
AF-6E053AA9EF,Facebook,0,0
AF-6E053AA9EF,TikTok,1,33
AF-6E053AA9EF,YouTube,0,0
AF-EE99C4E2F9,Instagram,1,19
AF-EE99C4E2F9,X,0,0
AF-EE99C4E2F9,Facebook,0,0
AF-EE99C4E2F9,TikTok,0,0
AF-EE99C4E2F9,YouTube,1,5
AF-0EDCAE5ACC,Instagram,1,34
AF-0EDCAE5ACC,X,0,0
AF-0EDCAE5ACC,Facebook,1,6
AF-0EDCAE5ACC,TikTok,0,0
AF-0EDCAE5ACC,YouTube,1,33
AF-F55FCC8A41,Instagram,1,98
AF-F55FCC8A41,X,1,40
AF-F55FCC8A41,Facebook,0,0
AF-F55FCC8A41,TikTok,1,50
AF-F55FCC8A41,YouTube,1,6
AF-24C5F81B6B,Instagram,0,0
AF-24C5F81B6B,X,0,0
AF-24C5F81B6B,Facebook,0,0
AF-24C5F81B6B,TikTok,0,0
AF-24C5F81B6B,YouTube,0,0
AF-175D5B9CC0,Instagram,1,4
AF-175D5B9CC0,X,1,26
AF-175D5B9CC0,Facebook,0,0
AF-175D5B9CC0,TikTok,0,0
AF-175D5B9CC0,YouTube,1,10
AF-740FB848AA,Instagram,0,0
AF-740FB848AA,X,0,0
AF-740FB848AA,Facebook,0,0
AF-740FB848AA,TikTok,0,0
AF-740FB848AA,YouTube,1,10
AF-6F7B99F922,Instagram,1,17
AF-6F7B99F922,X,1,8
AF-6F7B99F922,Facebook,0,0
AF-6F7B99F922,TikTok,1,167
AF-6F7B99F922,YouTube,1,41
AF-999C79DAA3,Instagram,0,0
AF-999C79DAA3,X,1,39
AF-999C79DAA3,Facebook,0,0
AF-999C79DAA3,TikTok,0,0
AF-999C79DAA3,YouTube,0,0
AF-C40C492835,Instagram,1,14
AF-C40C492835,X,1,77
AF-C40C492835,Facebook,0,0
AF-C40C492835,TikTok,0,0
AF-C40C492835,YouTube,1,14
AF-B26803DFB9,Instagram,1,5
AF-B26803DFB9,X,0,0
AF-B26803DFB9,Facebook,0,0
AF-B26803DFB9,TikTok,0,0
AF-B26803DFB9,YouTube,0,0
AF-12B11DAE37,Instagram,1,105
AF-12B11DAE37,X,0,0
AF-12B11DAE37,Facebook,0,0
AF-12B11DAE37,TikTok,1,129
AF-12B11DAE37,YouTube,0,0
AF-1628E653BD,Instagram,1,11
AF-1628E653BD,X,1,28
AF-1628E653BD,Facebook,1,49
AF-1628E653BD,TikTok,1,86
AF-1628E653BD,YouTube,1,37
AF-A333470BFF,Instagram,1,11
AF-A333470BFF,X,0,0
AF-A333470BFF,Facebook,0,0
AF-A333470BFF,TikTok,0,0
AF-A333470BFF,YouTube,0,0
AF-17BAD2C4FA,Instagram,1,88
AF-17BAD2C4FA,X,0,0
AF-17BAD2C4FA,Facebook,0,0
AF-17BAD2C4FA,TikTok,1,25
AF-17BAD2C4FA,YouTube,1,54
AF-7DC4ABFDF1,Instagram,0,0
AF-7DC4ABFDF1,X,0,0
AF-7DC4ABFDF1,Facebook,1,13
AF-7DC4ABFDF1,TikTok,0,0
AF-7DC4ABFDF1,YouTube,0,0
AF-F3702708F3,Instagram,1,12
AF-F3702708F3,X,0,0
AF-F3702708F3,Facebook,0,0
AF-F3702708F3,TikTok,0,0
AF-F3702708F3,YouTube,0,0
AF-34F4154B2A,Instagram,1,37
AF-34F4154B2A,X,0,0
AF-34F4154B2A,Facebook,0,0
AF-34F4154B2A,TikTok,0,0
AF-34F4154B2A,YouTube,1,29
AF-4A517DC606,Instagram,0,0
AF-4A517DC606,X,1,13
AF-4A517DC606,Facebook,1,43
AF-4A517DC606,TikTok,1,50
AF-4A517DC606,YouTube,0,0
AF-2C5E0CD6CB,Instagram,1,7
AF-2C5E0CD6CB,X,1,14
AF-2C5E0CD6CB,Facebook,0,0
AF-2C5E0CD6CB,TikTok,1,41
AF-2C5E0CD6CB,YouTube,0,0
AF-32A91B7529,Instagram,1,45
AF-32A91B7529,X,1,30
AF-32A91B7529,Facebook,0,0
AF-32A91B7529,TikTok,0,0
AF-32A91B7529,YouTube,1,72
AF-6208D16BFB,Instagram,1,10
AF-6208D16BFB,X,0,0
AF-6208D16BFB,Facebook,0,0
AF-6208D16BFB,TikTok,1,19
AF-6208D16BFB,YouTube,0,0
AF-6D7CB56261,Instagram,1,29
AF-6D7CB56261,X,1,22
AF-6D7CB56261,Facebook,1,0
AF-6D7CB56261,TikTok,0,0
AF-6D7CB56261,YouTube,0,0
AF-22BE0089F9,Instagram,1,35
AF-22BE0089F9,X,0,0
AF-22BE0089F9,Facebook,0,0
AF-22BE0089F9,TikTok,1,33
AF-22BE0089F9,YouTube,1,111
AF-600BB58746,Instagram,0,0
AF-600BB58746,X,1,9
AF-600BB58746,Facebook,0,0
AF-600BB58746,TikTok,0,0
AF-600BB58746,YouTube,0,0
AF-4A556848A6,Instagram,1,11
AF-4A556848A6,X,1,116
AF-4A556848A6,Facebook,1,37
AF-4A556848A6,TikTok,0,0
AF-4A556848A6,YouTube,1,34
AF-402AD584CD,Instagram,1,44
AF-402AD584CD,X,1,30
AF-402AD584CD,Facebook,0,0
AF-402AD584CD,TikTok,0,0
AF-402AD584CD,YouTube,1,121
AF-C96BAE872D,Instagram,0,0
AF-C96BAE872D,X,0,0
AF-C96BAE872D,Facebook,0,0
AF-C96BAE872D,TikTok,0,0
AF-C96BAE872D,YouTube,0,0
AF-8A05485085,Instagram,1,30
AF-8A05485085,X,0,0
AF-8A05485085,Facebook,0,0
AF-8A05485085,TikTok,0,0
AF-8A05485085,YouTube,1,13
AF-DAFD40896B,Instagram,1,19
AF-DAFD40896B,X,0,0
AF-DAFD40896B,Facebook,1,121
AF-DAFD40896B,TikTok,0,0
AF-DAFD40896B,YouTube,0,0
AF-143CB2A0E2,Instagram,1,9
AF-143CB2A0E2,X,0,0
AF-143CB2A0E2,Facebook,0,0
AF-143CB2A0E2,TikTok,0,0
AF-143CB2A0E2,YouTube,0,0
AF-F460442BFB,Instagram,1,51
AF-F460442BFB,X,1,36
AF-F460442BFB,Facebook,0,0
AF-F460442BFB,TikTok,0,0
AF-F460442BFB,YouTube,0,0
AF-06953068FD,Instagram,1,23
AF-06953068FD,X,1,51
AF-06953068FD,Facebook,1,63
AF-06953068FD,TikTok,0,0
AF-06953068FD,YouTube,1,66
AF-98C34A97B2,Instagram,1,51
AF-98C34A97B2,X,1,6
AF-98C34A97B2,Facebook,0,0
AF-98C34A97B2,TikTok,0,0
AF-98C34A97B2,YouTube,1,1
AF-896C5F3793,Instagram,1,16
AF-896C5F3793,X,1,10
AF-896C5F3793,Facebook,1,14
AF-896C5F3793,TikTok,0,0
AF-896C5F3793,YouTube,0,0
AF-DA94774B70,Instagram,1,47
AF-DA94774B70,X,1,22
AF-DA94774B70,Facebook,0,0
