aficionado_id,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia,segmento,cluster
AF-C1A4896EF2,45-54,Hombre,Abonado,6.0,A Coruña,Hincha digital intensivo,3
AF-603AD841D5,45-54,Hombre,Socio digital,12.0,Barcelona,Seguidor social,2
AF-0854353552,25-34,Hombre,Abonado,7.0,A Coruña,Hincha digital intensivo,3
AF-4168AD29C5,25-34,Hombre,No socio,7.0,Otras,Seguidor social,2
AF-DD6658753A,55+,Mujer,Socio digital,9.0,Lugo,Comprador de servicios,1
AF-03D31D32D1,55+,Hombre,No socio,2.0,Otras,Sin segmentar,-1
AF-3E2E4F6732,25-34,Mujer,No socio,10.0,Madrid,Sin segmentar,-1
AF-FD7B174E7D,45-54,Hombre,Abonado,8.0,Asturias,Comprador de servicios,1
AF-CB5C4B455C,25-34,Hombre,Abonado,11.0,A Coruña,Hincha digital intensivo,3
AF-49783091D1,18-24,Hombre,No socio,5.0,Madrid,Sin segmentar,-1
AF-410E6E8E11,45-54,Mujer,Socio digital,2.0,Otras,Seguidor social,2
AF-19A52AA62C,18-24,Mujer,No socio,13.0,A Coruña,Sin segmentar,-1
AF-E252B9DEB0,35-44,Hombre,Abonado,12.0,Otras,Seguidor social,2
AF-B5451C7FBC,45-54,Mujer,Abonado,9.0,A Coruña,Comprador de servicios,1
AF-456DBCBD82,45-54,Hombre,Abonado,2.0,A Coruña,Aficionado latente,0
AF-394723D4CA,35-44,Hombre,Abonado,6.0,A Coruña,Comprador de servicios,1
AF-1EBC6DF383,45-54,Hombre,Socio digital,8.0,A Coruña,Sin segmentar,-1
AF-10CB24817B,45-54,Hombre,Abonado,1.0,Madrid,Seguidor social,2
AF-8CC0E4BAC9,45-54,Mujer,No socio,9.0,Pontevedra,Seguidor social,2
AF-652002CCB4,18-24,Hombre,No socio,13.0,Otras,Aficionado latente,0
AF-3A22B90256,35-44,Hombre,No socio,13.0,Asturias,Aficionado latente,0
AF-A7795441E2,25-34,Hombre,Abonado,4.0,Barcelona,Aficionado latente,0
AF-411A35070F,25-34,Mujer,Abonado,2.0,Pontevedra,Aficionado latente,0
AF-144466BB86,18-24,Hombre,Socio digital,3.0,Barcelona,Sin segmentar,-1
AF-909FBC00C1,25-34,Hombre,No socio,16.0,A Coruña,Sin segmentar,-1
AF-BC7AF3562A,55+,Mujer,Abonado,3.0,A Coruña,Aficionado latente,0
AF-2773ADC12A,45-54,Mujer,No socio,12.0,Otras,Comprador de servicios,1
AF-11372DB658,35-44,Hombre,No socio,7.0,A Coruña,Aficionado latente,0
AF-E34428C513,25-34,Hombre,Socio digital,5.0,A Coruña,Sin segmentar,-1
AF-89936EF1BD,25-34,Hombre,No socio,7.0,A Coruña,Sin segmentar,-1
AF-FF0A5628C3,35-44,Hombre,Socio digital,8.0,Madrid,Hincha digital intensivo,3
AF-2DD887D95A,25-34,Hombre,Abonado,25.0,Otras,Sin segmentar,-1
AF-CCC266A90D,55+,Hombre,Abonado,14.0,A Coruña,Comprador de servicios,1
AF-45E34ED468,45-54,Mujer,Abonado,4.0,Madrid,Comprador de servicios,1
AF-1638AB16C0,45-54,Mujer,No socio,6.0,Otras,Sin segmentar,-1
AF-EF380CD6EF,35-44,Mujer,No socio,7.0,A Coruña,Seguidor social,2
AF-7A61605A98,55+,Hombre,Socio digital,5.0,A Coruña,Comprador de servicios,1
AF-3769394122,55+,Mujer,Socio digital,15.0,A Coruña,Seguidor social,2
AF-5042777831,55+,Hombre,No socio,15.0,A Coruña,Sin segmentar,-1
AF-EAB0CDA669,45-54,Mujer,No socio,21.0,Madrid,Aficionado latente,0
AF-212B327B44,25-34,Hombre,No socio,12.0,Lugo,Sin segmentar,-1
AF-B42405808F,55+,Hombre,Socio digital,2.0,A Coruña,Sin segmentar,-1
AF-A07E59016D,35-44,Hombre,No socio,8.0,A Coruña,Aficionado latente,0
AF-DB248B5054,35-44,Hombre,No socio,14.0,A Coruña,Comprador de servicios,1
AF-57A3CA65E8,18-24,Hombre,Socio digital,4.0,A Coruña,Aficionado latente,0
AF-54BEA61E2E,35-44,Mujer,Socio digital,8.0,Pontevedra,Sin segmentar,-1
AF-DC91E7DC07,35-44,Mujer,Socio digital,9.0,Pontevedra,Seguidor social,2
AF-EB0C8B61A0,55+,Hombre,Socio digital,11.0,Madrid,Seguidor social,2
AF-5CEC3B7B77,45-54,Mujer,Socio digital,6.0,Asturias,Seguidor social,2
AF-31D143245D,35-44,Hombre,Abonado,11.0,A Coruña,Comprador de servicios,1
AF-1D477AE65D,45-54,Hombre,Socio digital,14.0,A Coruña,Aficionado latente,0
AF-93907029AF,55+,Hombre,Abonado,4.0,A Coruña,Comprador de servicios,1
AF-D65659ABAF,25-34,Hombre,Socio digital,10.0,A Coruña,Aficionado latente,0
AF-CC61FCCE2F,35-44,Hombre,Abonado,5.0,Lugo,Comprador de servicios,1
AF-1414D8F783,18-24,Hombre,Socio digital,9.0,Madrid,Hincha digital intensivo,3
AF-D392C2E5DA,25-34,Hombre,Abonado,8.0,A Coruña,Sin segmentar,-1
AF-26CA954AD3,18-24,Mujer,No socio,15.0,Otras,Sin segmentar,-1
AF-D6DDD71315,55+,Hombre,Abonado,7.0,Barcelona,Comprador de servicios,1
AF-FE827538B4,25-34,Hombre,Socio digital,9.0,Barcelona,Aficionado latente,0
AF-D58924D2B0,45-54,Mujer,No socio,6.0,A Coruña,Aficionado latente,0
AF-6C34A76A92,35-44,Hombre,Abonado,2.0,A Coruña,Aficionado latente,0
AF-6E053AA9EF,55+,Hombre,No socio,0.0,A Coruña,Sin segmentar,-1
AF-EE99C4E2F9,25-34,Hombre,Socio digital,6.0,A Coruña,Aficionado latente,0
AF-0EDCAE5ACC,45-54,Hombre,Socio digital,1.0,Otras,Hincha digital intensivo,3
AF-F55FCC8A41,18-24,Mujer,Abonado,9.0,Lugo,Sin segmentar,-1
AF-24C5F81B6B,55+,Mujer,No socio,6.0,A Coruña,Sin segmentar,-1
AF-175D5B9CC0,35-44,Hombre,Abonado,7.0,A Coruña,Sin segmentar,-1
AF-740FB848AA,35-44,Mujer,Socio digital,17.0,Otras,Sin segmentar,-1
AF-6F7B99F922,25-34,Hombre,Abonado,2.0,Pontevedra,Sin segmentar,-1
AF-999C79DAA3,55+,Hombre,Abonado,4.0,Pontevedra,Sin segmentar,-1
AF-C40C492835,35-44,Hombre,Abonado,2.0,Madrid,Seguidor social,2
AF-B26803DFB9,35-44,Mujer,Socio digital,6.0,Pontevedra,Aficionado latente,0
AF-12B11DAE37,18-24,Mujer,Abonado,2.0,Asturias,Hincha digital intensivo,3
AF-1628E653BD,25-34,Hombre,No socio,13.0,Otras,Sin segmentar,-1
AF-A333470BFF,55+,Hombre,Socio digital,6.0,A Coruña,Aficionado latente,0
AF-17BAD2C4FA,25-34,Hombre,No socio,7.0,Ourense,Seguidor social,2
AF-7DC4ABFDF1,35-44,Mujer,Abonado,12.0,Otras,Sin segmentar,-1
AF-F3702708F3,18-24,Mujer,Socio digital,4.0,A Coruña,Seguidor social,2
AF-34F4154B2A,45-54,Mujer,Abonado,14.0,Pontevedra,Comprador de servicios,1
AF-4A517DC606,35-44,Hombre,Socio digital,14.0,Pontevedra,Seguidor social,2
AF-2C5E0CD6CB,25-34,Hombre,Socio digital,12.0,Pontevedra,Comprador de servicios,1
AF-32A91B7529,18-24,Hombre,No socio,9.0,Lugo,Sin segmentar,-1
AF-6208D16BFB,25-34,Hombre,Socio digital,13.0,Otras,Aficionado latente,0
AF-6D7CB56261,35-44,Hombre,No socio,12.0,Otras,Aficionado latente,0
AF-22BE0089F9,18-24,Hombre,No socio,10.0,Ourense,Hincha digital intensivo,3
AF-600BB58746,25-34,Hombre,Socio digital,5.0,Madrid,Aficionado latente,0
AF-4A556848A6,55+,Hombre,No socio,3.0,A Coruña,Sin segmentar,-1
AF-402AD584CD,35-44,Hombre,No socio,5.0,A Coruña,Seguidor social,2
AF-C96BAE872D,35-44,Hombre,No socio,4.0,Pontevedra,Aficionado latente,0
AF-8A05485085,25-34,Hombre,No socio,14.0,A Coruña,Aficionado latente,0
AF-DAFD40896B,35-44,Hombre,Abonado,9.0,Lugo,Sin segmentar,-1
AF-143CB2A0E2,55+,Hombre,Abonado,5.0,Pontevedra,Comprador de servicios,1
AF-F460442BFB,25-34,Hombre,No socio,8.0,Pontevedra,Seguidor social,2
AF-06953068FD,45-54,Hombre,Socio digital,5.0,A Coruña,Hincha digital intensivo,3
AF-98C34A97B2,45-54,Hombre,Abonado,3.0,A Coruña,Comprador de servicios,1
AF-896C5F3793,55+,Mujer,Abonado,7.0,A Coruña,Comprador de servicios,1
AF-DA94774B70,35-44,Mujer,Abonado,9.0,A Coruña,Sin segmentar,-1
AF-F400E58470,55+,Hombre,Socio digital,22.0,A Coruña,Seguidor social,2
AF-30342EA8A4,25-34,Hombre,Abonado,9.0,A Coruña,Aficionado latente,0
AF-1CB7246457,55+,Mujer,No socio,8.0,Asturias,Sin segmentar,-1
AF-6BA793D80F,35-44,Mujer,Abonado,4.0,A Coruña,Sin segmentar,-1
AF-BBD69AADDF,18-24,Hombre,Socio digital,4.0,A Coruña,Hincha digital intensivo,3
AF-6CD26D3F1C,25-34,Hombre,Abonado,12.0,A Coruña,Sin segmentar,-1
AF-A50691A828,25-34,Mujer,No socio,8.0,A Coruña,Seguidor social,2
AF-D17BE07C0D,35-44,Mujer,No socio,21.0,Pontevedra,Hincha digital intensivo,3
AF-CFCA38D54A,25-34,Mujer,No socio,8.0,Ourense,Aficionado latente,0
AF-AA67DE87B4,35-44,Hombre,Abonado,4.0,Otras,Seguidor social,2
AF-D0668D260E,35-44,Hombre,Abonado,2.0,A Coruña,Seguidor social,2
AF-6B5DFF30F4,55+,Hombre,No socio,5.0,Ourense,Sin segmentar,-1
AF-04F75F1049,35-44,Hombre,Abonado,4.0,Asturias,Sin segmentar,-1
AF-05B986C441,45-54,Mujer,Abonado,13.0,Madrid,Comprador de servicios,1
AF-8B077178D3,25-34,Hombre,No socio,7.0,Lugo,Sin segmentar,-1
AF-30873AE9E8,25-34,Hombre,Socio digital,13.0,Lugo,Sin segmentar,-1
AF-0ED9E9E99B,45-54,Hombre,No socio,11.0,A Coruña,Aficionado latente,0
AF-BC3CC8F485,45-54,Hombre,Socio digital,2.0,A Coruña,Aficionado latente,0
AF-7213AE94AB,25-34,Hombre,No socio,10.0,Ourense,Sin segmentar,-1
AF-67297445DE,35-44,Hombre,No socio,23.0,Lugo,Hincha digital intensivo,3
AF-43BA9BE1C9,25-34,Hombre,No socio,18.0,Lugo,Sin segmentar,-1
AF-590175AA46,18-24,Hombre,Abonado,11.0,A Coruña,Sin segmentar,-1
AF-109665EFBB,55+,Hombre,Abonado,7.0,Pontevedra,Seguidor social,2
AF-0310578487,35-44,Mujer,Abonado,2.0,A Coruña,Aficionado latente,0
AF-A5E26504A3,45-54,Hombre,No socio,9.0,A Coruña,Aficionado latente,0
AF-8D91D0AC31,45-54,Hombre,Abonado,3.0,Pontevedra,Sin segmentar,-1
AF-5E49F400D5,35-44,Mujer,Abonado,11.0,Lugo,Sin segmentar,-1
AF-851DB5B373,55+,Hombre,Socio digital,5.0,A Coruña,Seguidor social,2
AF-4B05943E7E,25-34,Hombre,Socio digital,7.0,Asturias,Sin segmentar,-1
AF-EFCDCAADF4,45-54,Hombre,Abonado,6.0,Lugo,Comprador de servicios,1
AF-0CA96F5218,55+,Hombre,Abonado,6.0,A Coruña,Comprador de servicios,1
AF-627DE66A57,45-54,Hombre,Abonado,8.0,Barcelona,Aficionado latente,0
AF-ED0F0DFAB5,18-24,Hombre,Abonado,15.0,A Coruña,Seguidor social,2
AF-AA97544E0C,55+,Hombre,Abonado,3.0,Barcelona,Comprador de servicios,1
AF-FD64D12480,35-44,Mujer,No socio,2.0,Pontevedra,Aficionado latente,0
AF-2A695FC7CF,55+,Mujer,No socio,21.0,Lugo,Sin segmentar,-1
AF-5A30EADD73,55+,Hombre,Abonado,11.0,A Coruña,Sin segmentar,-1
AF-79AF3DC633,45-54,Hombre,No socio,2.0,A Coruña,Aficionado latente,0
AF-FB007511E8,35-44,Hombre,Abonado,6.0,Madrid,Sin segmentar,-1
AF-7B435C933B,25-34,Hombre,Abonado,14.0,A Coruña,Sin segmentar,-1
AF-BE3747E8CE,25-34,Mujer,Abonado,5.0,Madrid,Sin segmentar,-1
AF-DF9D95D570,35-44,Hombre,Socio digital,7.0,A Coruña,Seguidor social,2
AF-6CB5A19644,35-44,Hombre,No socio,5.0,A Coruña,Aficionado latente,0
AF-1B195FCA16,45-54,Mujer,Socio digital,5.0,Asturias,Hincha digital intensivo,3
AF-A40362A298,25-34,Mujer,No socio,3.0,A Coruña,Aficionado latente,0
AF-2373DEFEFF,35-44,Hombre,Socio digital,2.0,A Coruña,Comprador de servicios,1
AF-7CFAAD0E4F,45-54,Hombre,Socio digital,1.0,Barcelona,Sin segmentar,-1
AF-96B11E01C7,55+,Hombre,No socio,7.0,A Coruña,Seguidor social,2
AF-999742BD15,55+,Hombre,Socio digital,6.0,A Coruña,Aficionado latente,0
AF-643D81931C,55+,Hombre,Abonado,6.0,Pontevedra,Sin segmentar,-1
AF-1CFB2E5001,18-24,Mujer,Socio digital,11.0,A Coruña,Seguidor social,2
AF-CA75C1A6E9,18-24,Mujer,Socio digital,9.0,A Coruña,Comprador de servicios,1
AF-8BA1F283B6,35-44,Hombre,Abonado,5.0,Pontevedra,Comprador de servicios,1
AF-600104F386,45-54,Mujer,No socio,10.0,Otras,Sin segmentar,-1
AF-FD358DC954,25-34,Hombre,Abonado,10.0,Pontevedra,Sin segmentar,-1
AF-22A56BDD5F,55+,Hombre,Abonado,6.0,A Coruña,Sin segmentar,-1
AF-654CEF3F7E,55+,Hombre,No socio,1.0,Lugo,Sin segmentar,-1
AF-1E52CA2E4F,45-54,Mujer,No socio,9.0,Asturias,Aficionado latente,0
AF-EA6C039823,55+,Mujer,No socio,12.0,A Coruña,Seguidor social,2
AF-6BD9730D51,35-44,Mujer,Socio digital,2.0,A Coruña,Seguidor social,2
AF-AE5402B762,35-44,Hombre,No socio,19.0,A Coruña,Sin segmentar,-1
AF-EBD5DE8DBC,55+,Hombre,No socio,13.0,A Coruña,Seguidor social,2
AF-57CBA26542,55+,Hombre,Abonado,12.0,Otras,Aficionado latente,0
AF-15E29CC1AE,25-34,Mujer,Abonado,7.0,Madrid,Comprador de servicios,1
AF-82598CD404,35-44,Hombre,Abonado,16.0,Asturias,Seguidor social,2
AF-41551BABE4,18-24,Hombre,Abonado,12.0,A Coruña,Sin segmentar,-1
AF-1E2E07EE37,35-44,Hombre,No socio,12.0,Otras,Sin segmentar,-1
AF-726A3BD3D6,55+,Mujer,Socio digital,4.0,A Coruña,Comprador de servicios,1
AF-0CB4F643E4,35-44,Mujer,Abonado,19.0,A Coruña,Sin segmentar,-1
AF-84FFD8A2B7,45-54,Hombre,Abonado,4.0,A Coruña,Sin segmentar,-1
AF-5D576E670F,45-54,Hombre,No socio,19.0,Pontevedra,Aficionado latente,0
AF-084100F6BA,25-34,Hombre,Abonado,3.0,A Coruña,Sin segmentar,-1
AF-669495C696,35-44,Mujer,No socio,8.0,Pontevedra,Sin segmentar,-1
AF-BE4F399505,25-34,Mujer,Abonado,12.0,Pontevedra,Comprador de servicios,1
AF-50835C43DB,45-54,Mujer,Socio digital,13.0,Madrid,Sin segmentar,-1
AF-E4411B9DA3,55+,Hombre,No socio,3.0,A Coruña,Seguidor social,2
AF-EA85019ABD,25-34,Hombre,Socio digital,20.0,Pontevedra,Aficionado latente,0
AF-A80934298E,35-44,Mujer,No socio,6.0,Madrid,Seguidor social,2
AF-9A273826EF,55+,Hombre,Socio digital,4.0,A Coruña,Sin segmentar,-1
AF-B5DF7AE365,55+,Hombre,No socio,2.0,Pontevedra,Seguidor social,2
AF-BDDBD950A0,18-24,Mujer,Abonado,10.0,Lugo,Sin segmentar,-1
AF-AB31BCBB77,25-34,Hombre,Abonado,25.0,Barcelona,Comprador de servicios,1
AF-63E9337F52,45-54,Mujer,No socio,11.0,Lugo,Aficionado latente,0
AF-3657255DA5,45-54,Hombre,Socio digital,7.0,A Coruña,Hincha digital intensivo,3
AF-F651274BD0,35-44,Hombre,No socio,1.0,A Coruña,Comprador de servicios,1
AF-27800CCF31,45-54,Hombre,No socio,10.0,A Coruña,Aficionado latente,0
AF-CF6CE97B3D,35-44,Mujer,Socio digital,5.0,A Coruña,Sin segmentar,-1
AF-3D8B6C1E09,25-34,Hombre,Socio digital,12.0,A Coruña,Seguidor social,2
AF-CFFC781C73,35-44,Mujer,Abonado,2.0,A Coruña,Sin segmentar,-1
AF-7433C9438C,25-34,Hombre,Abonado,0.0,Otras,Sin segmentar,-1
AF-5DA1ADF1E9,25-34,Hombre,Abonado,4.0,A Coruña,Seguidor social,2
AF-598AB2DA8A,45-54,Mujer,Abonado,8.0,Pontevedra,Sin segmentar,-1
AF-761658F2BD,25-34,Mujer,Abonado,3.0,Otras,Sin segmentar,-1
AF-3F7F9DC5F1,45-54,Hombre,Abonado,4.0,A Coruña,Aficionado latente,0
AF-499A26AB8C,25-34,Hombre,No socio,2.0,Ourense,Sin segmentar,-1
AF-6A0BDB3C30,55+,Mujer,Abonado,2.0,Ourense,Seguidor social,2
AF-F3E564F927,35-44,Hombre,Socio digital,1.0,Madrid,Aficionado latente,0
AF-76CEA2C66A,55+,Hombre,Socio digital,14.0,A Coruña,Sin segmentar,-1
AF-863C2B41ED,35-44,Hombre,No socio,4.0,A Coruña,Seguidor social,2
AF-14C1F00E40,25-34,Hombre,Socio digital,5.0,Pontevedra,Comprador de servicios,1
AF-3E6A03AEB3,45-54,Mujer,No socio,7.0,Otras,Aficionado latente,0
AF-64F4858FEE,18-24,Mujer,No socio,26.0,Pontevedra,Sin segmentar,-1
AF-675978FEF2,25-34,Hombre,Socio digital,3.0,A Coruña,Comprador de servicios,1
AF-25C1C84C96,35-44,Hombre,Socio digital,7.0,Pontevedra,Comprador de servicios,1
AF-ADA410271E,18-24,Mujer,No socio,3.0,Otras,Seguidor social,2
AF-4EAC975B19,45-54,Hombre,Abonado,2.0,Ourense,Seguidor social,2
AF-7FF96A0E40,35-44,Mujer,Socio digital,3.0,Barcelona,Aficionado latente,0
AF-AC0CFF5D63,35-44,Mujer,Socio digital,4.0,Pontevedra,Comprador de servicios,1
AF-E54BDDDC16,35-44,Hombre,Abonado,10.0,A Coruña,Sin segmentar,-1
AF-38C2B6EB67,18-24,Hombre,Socio digital,4.0,Madrid,Hincha digital intensivo,3
AF-C3589AFEC7,45-54,Hombre,Abonado,6.0,A Coruña,Sin segmentar,-1
AF-314C770EEA,35-44,Hombre,No socio,17.0,A Coruña,Sin segmentar,-1
AF-A1671A4891,45-54,Hombre,No socio,12.0,A Coruña,Sin segmentar,-1
AF-AD04FBE72A,45-54,Hombre,Abonado,12.0,Ourense,Seguidor social,2
AF-6EEC8A1495,55+,Hombre,Abonado,10.0,A Coruña,Comprador de servicios,1
AF-9F4D3130C3,55+,Mujer,Abonado,2.0,Madrid,Seguidor social,2
AF-D8F72C4218,18-24,Hombre,Socio digital,8.0,A Coruña,Sin segmentar,-1
AF-158AEACECF,18-24,Mujer,Abonado,7.0,A Coruña,Seguidor social,2
AF-975B6BDE94,35-44,Hombre,Socio digital,13.0,A Coruña,Hincha digital intensivo,3
AF-6778112FE1,45-54,Hombre,No socio,9.0,A Coruña,Aficionado latente,0
AF-D63E2893EC,55+,Hombre,Abonado,9.0,A Coruña,Comprador de servicios,1
AF-3E62E6665C,55+,Mujer,No socio,6.0,A Coruña,Seguidor social,2
AF-D01CA12D7A,45-54,Hombre,Abonado,1.0,Asturias,Comprador de servicios,1
AF-28F2950862,45-54,Mujer,No socio,6.0,A Coruña,Sin segmentar,-1
AF-00AF58751E,35-44,Hombre,No socio,5.0,A Coruña,Sin segmentar,-1
AF-2628BC21AE,45-54,Hombre,Socio digital,6.0,A Coruña,Seguidor social,2
AF-F98BFAF0F4,35-44,Hombre,Socio digital,4.0,Pontevedra,Aficionado latente,0
AF-C80C626CD6,35-44,Mujer,Socio digital,7.0,A Coruña,Hincha digital intensivo,3
AF-827EBC2AC6,55+,Hombre,No socio,12.0,Lugo,Sin segmentar,-1
AF-24B8528E33,35-44,Mujer,No socio,8.0,A Coruña,Sin segmentar,-1
AF-B8336155FF,18-24,Hombre,No socio,4.0,A Coruña,Hincha digital intensivo,3
AF-4F2DE3F242,25-34,Mujer,No socio,5.0,A Coruña,Sin segmentar,-1
AF-C714133C8D,45-54,Hombre,No socio,2.0,A Coruña,Sin segmentar,-1
AF-9B97A27F79,25-34,Hombre,Socio digital,4.0,A Coruña,Seguidor social,2
AF-7B47FAD197,18-24,Hombre,No socio,5.0,Lugo,Aficionado latente,0
AF-C47B01CF84,25-34,Mujer,Socio digital,5.0,Lugo,Hincha digital intensivo,3
AF-0C9CC4E4EE,25-34,Mujer,Abonado,2.0,Asturias,Sin segmentar,-1
AF-971986CA93,18-24,Hombre,Abonado,9.0,A Coruña,Comprador de servicios,1
AF-DA1D163EF6,18-24,Hombre,Socio digital,1.0,Lugo,Sin segmentar,-1
AF-20E590D37E,45-54,Mujer,No socio,5.0,Asturias,Sin segmentar,-1
AF-2942AC1745,35-44,Mujer,Socio digital,15.0,Pontevedra,Comprador de servicios,1
AF-6EAC1C4E52,45-54,Mujer,Abonado,18.0,Madrid,Hincha digital intensivo,3
AF-B7AB9D06AE,55+,Hombre,No socio,6.0,Lugo,Aficionado latente,0
AF-8B0B040615,25-34,Hombre,No socio,11.0,A Coruña,Seguidor social,2
AF-DA1E27813C,25-34,Mujer,Socio digital,4.0,Ourense,Sin segmentar,-1
AF-4AFBC4265B,35-44,Hombre,Socio digital,20.0,Otras,Seguidor social,2
AF-71F0689277,55+,Hombre,Socio digital,3.0,A Coruña,Sin segmentar,-1
AF-4ECA50849E,35-44,Mujer,No socio,13.0,Pontevedra,Hincha digital intensivo,3
AF-58273DDA6C,18-24,Hombre,Socio digital,14.0,Pontevedra,Sin segmentar,-1
AF-85E44E732B,25-34,Mujer,Abonado,2.0,Otras,Seguidor social,2
AF-646E8D15A2,35-44,Hombre,Abonado,14.0,A Coruña,Comprador de servicios,1
AF-0CB99E2C3D,25-34,Mujer,No socio,7.0,Asturias,Seguidor social,2
AF-7826A82F9C,18-24,Mujer,No socio,4.0,Barcelona,Seguidor social,2
AF-29C3EECA07,45-54,Mujer,Abonado,3.0,Pontevedra,Sin segmentar,-1
AF-03D405D2E1,35-44,Hombre,Abonado,10.0,Otras,Sin segmentar,-1
AF-2CFBB16FDC,25-34,Hombre,No socio,11.0,Lugo,Hincha digital intensivo,3
AF-9E1E2EACC0,18-24,Hombre,Socio digital,10.0,A Coruña,Aficionado latente,0
AF-450CD59F6A,25-34,Hombre,No socio,9.0,A Coruña,Seguidor social,2
AF-D4860A84B1,25-34,Mujer,Abonado,5.0,Otras,Comprador de servicios,1
AF-C2D0DB0134,45-54,Hombre,No socio,6.0,Pontevedra,Hincha digital intensivo,3
AF-5A1ABBCCE9,45-54,Hombre,Socio digital,3.0,A Coruña,Seguidor social,2
AF-59542D6595,18-24,Hombre,Socio digital,1.0,Barcelona,Comprador de servicios,1
AF-E253835673,35-44,Mujer,Abonado,18.0,Pontevedra,Aficionado latente,0
