jornada,jugador_id,titular,minutos,goles,asistencias,tarjetas,valoracion
14,J22,1,74,0,0,0,6.65
14,J05,1,71,0,0,0,5.64
14,J17,1,73,0,0,0,6.59
14,J12,1,82,0,1,0,6.86
14,J11,0,43,0,0,0,6.18
14,J07,0,45,0,0,0,6.85
14,J03,0,27,0,0,0,5.94
14,J19,0,26,0,0,1,7.26
14,J02,0,25,0,0,0,6.17
15,J20,1,85,0,0,1,6.02
15,J12,1,53,0,0,0,5.4
15,J21,1,68,0,0,0,5.55
15,J19,1,84,0,0,0,7.13
15,J14,1,66,0,0,1,5.8
15,J17,1,90,1,1,0,6.97
15,J05,1,63,0,0,0,5.09
15,J18,1,90,0,0,0,5.35
15,J15,1,83,0,0,0,5.84
15,J09,1,89,0,0,0,6.11
15,J07,1,84,0,0,0,4.61
15,J06,0,13,0,0,0,6.16
15,J13,0,6,0,0,0,4.52
15,J03,0,38,0,0,1,6.21
15,J16,0,35,0,0,0,6.68
15,J11,0,22,0,0,1,5.32
16,J17,1,77,0,0,0,7.54
16,J01,1,82,0,0,0,6.74
16,J23,1,90,1,0,0,7.94
16,J12,1,88,0,0,0,7.62
16,J19,1,62,0,1,0,7.88
16,J21,1,71,0,0,0,5.74
16,J05,1,89,0,0,0,7.54
16,J02,1,75,0,1,0,7.91
16,J14,1,82,0,0,0,5.7
16,J18,1,54,0,1,0,7.72
16,J06,1,85,0,0,0,6.07
16,J13,0,31,0,0,0,5.74
16,J15,0,39,0,0,0,5.07
16,J25,0,33,0,0,0,5.83
16,J08,0,29,0,0,0,6.21
16,J07,0,28,0,0,0,7.51
17,J09,1,64,0,0,0,6.39
17,J21,1,60,0,0,0,6.19
17,J15,1,90,0,0,0,5.57
17,J24,1,90,0,0,0,5.16
17,J01,1,83,0,0,0,4.29
17,J25,1,87,0,0,0,5.97
17,J18,1,79,0,0,0,6.55
17,J23,1,81,0,0,0,5.21
17,J22,1,81,0,0,0,6.41
17,J14,1,90,0,0,0,6.7
17,J08,1,89,0,0,0,6.63
17,J19,0,1,0,0,0,6.2
17,J16,0,24,0,0,0,6.97
17,J07,0,16,0,0,0,5.73
17,J12,0,28,1,0,0,7.14
17,J06,0,26,0,0,1,6.79
18,J07,1,79,0,0,0,6.39
18,J21,1,90,0,1,0,6.78
18,J22,1,81,0,0,0,6.56
18,J10,1,81,0,0,0,6.78
18,J18,1,84,1,0,0,7.56
18,J15,1,77,1,0,0,7.19
18,J25,1,82,0,0,0,5.96
18,J17,1,78,0,0,0,5.92
18,J14,1,86,0,0,1,5.5
18,J12,1,83,0,0,0,6.56
18,J16,1,87,0,0,0,7.29
18,J01,0,34,0,0,0,6.24
18,J05,0,34,0,0,0,6.24
18,J13,0,28,0,0,0,5.19
18,J06,0,10,0,0,0,5.6
18,J11,0,13,0,0,1,6.07
19,J16,1,64,0,0,0,5.09
19,J18,1,90,0,0,0,6.03
19,J03,1,79,0,0,0,4.99
19,J07,1,90,0,0,0,7.0
19,J21,1,82,0,0,1,6.45
19,J08,1,78,0,1,0,6.63
19,J04,1,81,0,0,0,6.54
19,J05,1,90,0,0,0,6.27
19,J14,1,90,0,0,0,6.81
19,J09,1,65,0,0,0,5.26
19,J10,1,88,0,0,0,5.29
19,J12,0,25,1,0,0,6.9
19,J11,0,12,0,0,0,6.03
19,J06,0,45,0,0,1,6.11
19,J22,0,24,0,0,0,5.69
19,J20,0,39,0,0,0,5.2
20,J04,1,73,0,0,0,5.47
20,J12,1,90,0,1,0,7.19
20,J18,1,88,0,0,0,6.3
20,J22,1,79,0,0,0,4.25
20,J17,1,79,0,0,0,6.06
20,J20,1,62,0,0,0,6.38
20,J03,1,72,0,0,0,6.5
20,J24,1,90,0,0,0,5.5
20,J21,1,90,0,0,1,6.44
20,J09,1,90,0,0,1,5.69
20,J05,1,77,0,0,0,5.63
20,J07,0,18,0,0,1,5.66
20,J23,0,16,0,0,0,7.01
20,J16,0,30,0,0,0,5.63
20,J10,0,15,0,0,0,5.96
20,J01,0,25,0,0,1,5.92
21,J22,1,78,0,0,1,6.55
21,J21,1,90,0,0,0,5.61
21,J14,1,66,0,0,0,6.4
21,J09,1,90,0,0,0,5.45
21,J16,1,80,0,1,0,6.37
21,J03,1,75,0,0,0,6.98
21,J19,1,90,0,1,0,6.6
21,J04,1,55,0,0,1,6.67
21,J24,1,90,0,0,0,6.54
21,J13,1,78,0,0,1,5.29
21,J08,1,83,0,0,1,5.67
21,J15,0,1,0,0,0,5.05
21,J17,0,10,0,0,0,5.61
21,J12,0,25,0,0,0,6.13
21,J25,0,1,0,0,0,4.87
21,J07,0,27,0,0,1,7.11
22,J23,1,90,0,1,0,6.62
22,J02,1,89,0,0,0,5.02
22,J22,1,64,0,0,0,5.61
22,J15,1,83,0,0,0,5.53
22,J06,1,81,0,0,0,5.62
22,J05,1,90,0,0,1,5.36
22,J14,1,77,0,0,0,5.59
22,J24,1,67,0,1,0,7.17
22,J19,1,70,0,0,0,5.88
22,J03,1,71,0,0,1,6.59
22,J08,1,86,0,0,0,6.18
22,J21,0,15,0,0,0,6.0
22,J25,0,20,0,0,0,6.32
22,J04,0,13,0,0,0,6.37
22,J12,0,19,0,0,0,6.29
22,J13,0,29,0,0,0,7.35
23,J14,1,90,0,0,1,4.77
23,J20,1,90,0,0,0,5.47
23,J09,1,71,0,0,0,5.78
23,J12,1,87,0,0,0,5.95
23,J06,1,87,0,0,1,4.47
23,J23,1,76,0,1,0,4.69
23,J04,1,87,0,1,0,5.32
23,J08,1,90,0,0,0,5.88
23,J21,1,76,0,0,0,4.47
23,J22,1,77,0,1,0,5.46
23,J01,1,90,0,0,1,5.2
23,J11,0,18,0,0,0,4.23
23,J03,0,44,0,0,0,5.1
23,J19,0,8,0,0,0,5.5
23,J25,0,11,0,0,0,5.08
23,J02,0,23,0,0,0,6.43
24,J10,1,82,0,0,0,5.03
24,J03,1,68,0,0,1,6.26
24,J02,1,75,0,0,0,5.64
24,J12,1,70,0,0,0,3.87
24,J24,1,90,1,0,0,6.3
24,J22,1,80,0,0,0,6.2
24,J11,1,83,0,0,0,5.35
24,J07,1,81,0,0,0,6.32
24,J16,1,90,0,0,1,5.05
24,J18,1,90,1,0,0,6.0
24,J21,1,88,0,0,1,5.65
24,J23,0,45,0,0,0,4.67
24,J05,0,14,0,0,0,6.46
24,J25,0,23,0,0,1,5.9
24,J08,0,19,0,0,0,5.45
24,J04,0,29,0,0,0,5.13
25,J24,1,74,0,0,0,5.83
25,J03,1,90,0,0,0,5.13
25,J11,1,81,0,0,0,4.48
25,J23,1,87,1,0,0,6.72
25,J05,1,78,0,0,0,4.92
25,J08,1,86,0,0,0,5.03
25,J17,1,83,0,0,1,6.13
25,J20,1,90,1,0,0,4.96
25,J25,1,72,0,0,1,5.7
25,J22,1,78,0,0,0,4.86
25,J16,1,85,0,0,0,5.87
25,J01,0,26,0,0,1,4.81
25,J07,0,42,0,1,0,6.24
25,J12,0,17,0,0,0,6.54
25,J21,0,23,0,0,0,5.17
25,J15,0,23,0,0,1,6.33
26,J18,1,88,0,0,0,6.51
26,J19,1,65,0,0,0,5.79
26,J12,1,90,0,0,0,5.66
26,J04,1,85,0,0,0,5.79
26,J06,1,74,0,1,1,6.21
26,J23,1,80,0,0,1,5.55
26,J24,1,79,0,1,0,6.96
26,J21,1,66,0,0,0,4.66
26,J22,1,71,0,0,0,4.88
26,J13,1,87,0,0,0,5.54
26,J08,1,59,0,0,0,6.45
26,J14,0,24,0,0,0,5.5
26,J03,0,21,0,0,0,6.46
26,J16,0,26,0,0,0,6.07
26,J20,0,10,0,0,0,6.8
26,J09,0,28,0,0,0,5.95
27,J21,1,73,0,0,0,5.55
27,J12,1,90,1,0,0,6.09
27,J15,1,90,0,0,0,5.55
27,J07,1,74,0,1,1,5.59
27,J18,1,83,0,1,0,6.93
27,J17,1,70,0,0,0,6.88
27,J11,1,90,0,1,0,6.04
27,J04,1,87,0,0,0,6.68
27,J01,1,90,0,0,0,6.17
27,J14,1,60,0,0,0,4.85
27,J16,1,86,0,0,0,4.71
27,J08,0,14,0,0,0,6.73
27,J02,0,29,0,0,0,6.82
27,J19,0,20,0,0,0,5.58
27,J22,0,26,0,0,0,5.85
27,J06,0,30,0,0,1,6.83
28,J11,1,77,0,0,1,4.35
28,J22,1,74,0,0,0,6.25
28,J10,1,90,0,0,0,5.53
28,J18,1,82,0,1,0,4.78
28,J09,1,79,0,0,0,5.22
28,J20,1,72,0,0,0,5.98
28,J16,1,90,0,0,0,5.17
28,J07,1,82,0,0,0,6.06
28,J12,1,82,0,0,0,5.69
28,J03,1,85,0,0,0,6.02
28,J01,1,69,0,0,0,6.12
28,J05,0,30,0,0,0,6.07
28,J21,0,45,0,0,1,5.46
28,J25,0,18,0,0,0,4.99
28,J04,0,13,0,0,0,4.27
28,J15,0,26,0,0,0,5.36
29,J16,1,83,0,0,1,5.89
29,J21,1,83,0,0,0,5.66
29,J08,1,90,0,0,0,5.79
29,J14,1,60,0,0,0,5.28
29,J13,1,86,1,0,0,5.7
29,J01,1,90,0,1,0,5.49
29,J07,1,82,0,0,0,5.42
29,J24,1,80,0,0,0,6.1
29,J22,1,79,0,0,1,4.55
29,J17,1,80,0,0,0,5.85
29,J18,1,89,0,0,1,4.52
29,J09,0,17,0,0,0,6.2
29,J12,0,45,0,0,0,4.47
29,J02,0,17,0,0,1,6.58
29,J11,0,44,0,0,0,5.64
29,J19,0,45,0,0,0,5.31
30,J06,1,90,0,0,0,5.69
30,J01,1,77,0,0,0,5.96
30,J14,1,83,0,0,0,4.78
30,J02,1,60,0,1,0,6.28
30,J07,1,83,0,0,0,6.71
30,J12,1,63,0,0,0,5.1
30,J09,1,90,0,0,0,5.43
30,J21,1,64,0,0,0,5.47
30,J03,1,89,0,0,0,5.26
30,J10,1,62,0,0,0,5.72
30,J13,1,90,0,1,0,5.5
30,J23,0,45,1,0,0,6.59
30,J04,0,22,0,0,0,6.18
30,J24,0,33,0,0,0,6.18
30,J19,0,21,0,0,0,6.21
30,J05,0,7,0,0,0,5.0
31,J25,1,90,0,0,0,6.0
31,J14,1,77,0,0,0,5.86
31,J07,1,87,1,0,0,6.04
31,J19,1,75,0,0,0,5.69
31,J06,1,90,0,0,1,4.95
31,J09,1,86,0,0,0,5.77
31,J10,1,71,0,0,0,5.18
31,J23,1,76,0,0,0,4.35
31,J03,1,90,0,1,0,5.96
31,J01,1,70,0,0,0,4.07
31,J16,1,85,0,1,1,4.95
31,J21,0,30,0,0,0,5.61
31,J08,0,11,0,0,0,5.62
31,J22,0,37,0,0,0,4.73
31,J17,0,14,0,0,0,5.76
31,J24,0,26,0,0,0,5.39
32,J09,1,73,0,1,0,6.44
32,J19,1,72,0,0,0,6.38
32,J22,1,90,0,0,0,5.22
32,J24,1,87,0,0,0,5.69
32,J14,1,78,0,0,0,6.33
32,J18,1,83,0,0,0,5.36
32,J17,1,90,0,0,0,4.87
32,J23,1,70,0,0,0,4.83
32,J12,1,84,0,0,0,6.21
32,J02,1,90,0,0,0,6.4
32,J04,1,73,0,0,0,5.48
32,J25,0,7,0,0,1,3.07
32,J10,0,33,0,0,0,4.96
32,J16,0,37,0,0,0,5.85
32,J03,0,20,0,0,0,5.56
32,J11,0,7,0,0,1,5.64
33,J12,1,79,0,0,0,5.57
33,J18,1,81,1,0,0,6.67
33,J24,1,83,0,0,0,5.89
33,J15,1,87,0,0,0,5.53
33,J14,1,84,1,0,0,7.42
33,J10,1,74,0,0,0,5.31
33,J06,1,70,0,0,0,6.83
33,J19,1,86,0,0,1,5.78
33,J16,1,84,1,0,0,7.47
33,J03,1,86,0,1,0,6.99
33,J21,1,78,0,0,0,6.61
33,J25,0,16,0,0,0,6.75
33,J20,0,41,0,0,0,5.6
33,J05,0,16,0,0,0,5.74
33,J04,0,25,0,0,1,5.39
33,J09,0,41,0,0,0,5.66
34,J25,1,87,1,0,0,7.79
34,J05,1,74,0,1,0,6.63
34,J11,1,79,0,0,0,5.24
34,J15,1,90,0,0,0,4.42
34,J03,1,81,0,0,0,5.72
34,J23,1,69,0,0,0,5.2
34,J04,1,72,0,0,0,5.52
34,J24,1,90,1,0,0,6.99
34,J14,1,90,0,0,0,5.23
34,J06,1,89,0,0,1,5.94
34,J22,1,75,0,0,0,6.06
34,J08,0,1,0,0,1,6.11
34,J01,0,32,0,0,0,4.91
34,J17,0,13,0,0,0,5.7
34,J07,0,38,0,0,0,5.88
34,J09,0,7,0,0,0,6.93
35,J19,1,83,0,0,1,5.07
35,J13,1,90,0,0,0,5.77
35,J04,1,71,0,0,0,5.29
35,J25,1,69,1,0,0,7.23
35,J16,1,73,0,0,0,5.4
35,J01,1,85,0,0,0,6.13
35,J24,1,72,0,0,0,5.94
35,J09,1,90,0,0,0,6.43
35,J23,1,76,0,0,0,5.48
35,J17,1,80,0,1,0,7.11
35,J12,1,81,0,0,0,5.46
35,J03,0,7,0,0,0,6.14
35,J10,0,7,0,0,1,5.66
35,J06,0,4,0,0,0,6.28
35,J11,0,45,0,0,0,4.84
35,J08,0,17,0,0,1,5.51
36,J22,1,90,0,0,0,6.02
36,J18,1,90,0,0,0,5.93
36,J23,1,88,0,0,0,5.11
36,J01,1,74,0,0,0,5.67
36,J12,1,81,0,0,1,5.9
36,J21,1,77,0,0,0,5.76
36,J03,1,80,0,0,0,5.66
36,J11,1,74,0,0,1,4.55
36,J13,1,80,0,0,0,5.47
36,J05,1,88,0,1,1,5.88
36,J25,1,85,0,0,0,6.76
36,J07,0,23,0,0,0,5.1
36,J17,0,4,0,0,0,4.33
36,J20,0,27,0,0,0,5.79
36,J04,0,41,1,0,0,6.34
36,J06,0,28,0,0,0,5.04
37,J17,1,76,0,0,1,5.93
37,J13,1,79,0,0,1,6.1
37,J10,1,77,0,0,0,6.36
37,J09,1,90,0,0,0,7.15
37,J14,1,90,0,0,0,5.2
37,J16,1,84,0,0,0,5.76
37,J04,1,58,0,0,0,5.77
37,J23,1,85,0,0,1,5.79
37,J19,1,59,0,0,0,6.16
37,J15,1,76,0,0,1,6.33
37,J24,1,73,0,0,0,5.36
37,J01,0,13,0,0,0,4.77
37,J05,0,5,0,0,1,5.97
37,J12,0,10,0,0,0,5.91
37,J25,0,1,0,0,0,6.09
37,J20,0,33,0,0,0,6.44
38,J06,1,83,0,0,0,6.09
38,J12,1,82,0,0,0,6.95
38,J23,1,74,0,0,1,7.24
38,J20,1,90,0,0,1,6.41
38,J05,1,79,0,0,0,5.86
38,J25,1,86,0,0,0,5.93
38,J21,1,85,0,0,0,6.42
38,J03,1,67,0,0,0,5.39
38,J13,1,66,0,0,0,6.55
38,J22,1,79,0,0,0,6.97
38,J14,1,60,0,0,0,5.86
38,J04,0,18,0,0,0,6.43
38,J09,0,14,0,0,0,6.74
38,J07,0,24,0,0,1,6.52
38,J11,0,24,0,0,0,6.62
38,J02,0,27,0,0,0,6.41
39,J04,1,78,0,0,0,4.6
39,J19,1,78,0,0,1,6.55
39,J14,1,90,0,0,0,5.29
39,J08,1,73,0,0,0,6.65
39,J18,1,85,0,1,0,6.83
39,J09,1,82,0,0,0,5.74
39,J10,1,90,0,0,0,5.85
39,J22,1,72,1,0,0,8.18
39,J23,1,74,0,0,0,5.9
39,J15,1,84,0,0,0,6.89
39,J06,1,90,0,0,0,5.94
39,J02,0,13,0,0,0,5.98
39,J21,0,16,0,0,1,6.75
39,J01,0,7,0,0,1,5.79
39,J07,0,11,0,0,1,6.98
39,J24,0,39,0,1,1,5.84
40,J14,1,81,0,0,0,4.66
40,J11,1,81,0,0,0,4.89
40,J06,1,82,0,0,0,6.67
40,J12,1,81,0,0,0,6.01
40,J09,1,87,0,0,1,6.44
40,J22,1,85,0,0,0,4.71
40,J18,1,90,0,1,0,6.04
40,J04,1,90,0,0,0,7.82
40,J08,1,73,0,0,0,5.55
40,J21,1,72,0,0,1,5.86
40,J17,1,81,0,0,0,5.71
40,J10,0,26,0,0,0,5.34
40,J20,0,45,0,0,0,6.05
40,J03,0,45,0,1,0,5.91
40,J16,0,2,0,0,0,5.79
40,J19,0,45,0,1,0,6.58
41,J25,1,90,0,1,0,6.77
41,J20,1,81,0,0,0,5.45
41,J09,1,79,0,0,1,5.32
41,J15,1,90,0,0,0,6.36
41,J07,1,66,0,0,0,7.27
41,J04,1,87,0,0,0,7.1
41,J22,1,82,0,0,0,6.47
41,J14,1,88,0,0,0,6.47
41,J02,1,83,0,0,0,6.03
41,J18,1,73,0,0,0,6.22
41,J23,1,90,0,0,0,5.47
41,J06,0,22,0,0,0,6.06
41,J12,0,45,0,0,0,6.03
41,J03,0,27,0,0,0,5.41
41,J08,0,19,0,0,1,5.68
41,J17,0,33,0,0,1,5.35
42,J22,1,90,0,0,0,7.21
42,J03,1,73,0,0,1,5.81
42,J10,1,90,0,0,0,5.25
42,J01,1,90,0,0,0,6.49
42,J09,1,78,0,0,0,6.52
42,J23,1,90,0,0,1,6.23
42,J17,1,75,0,0,0,5.98
42,J14,1,90,0,0,0,6.02
42,J24,1,58,1,0,1,7.49
42,J16,1,90,0,0,1,5.38
42,J12,1,90,0,0,0,6.47
42,J04,0,24,0,0,0,7.3
42,J11,0,20,0,0,0,6.84
42,J15,0,44,0,0,0,6.21
42,J25,0,32,0,0,0,6.6
42,J07,0,25,0,0,0,6.43
