aficionado_id,vp_1,vp_2,vp_3,vp_4,ewom_1,ewom_2,ewom_3,ewom_4,info_1,info_2
AF-08AE35D132,5,5,6,5,3,4,4,4,4,4
AF-3657255DA5,6,6,7,5,3,4,3,2,3,4
AF-900F1AAC08,3,4,4,3,3,4,3,4,5,4
AF-B4F7F766FE,6,6,5,5,1,3,3,3,4,3
AF-887AD8C467,4,3,4,3,5,5,5,4,3,4
AF-7E033842E2,3,4,4,4,2,2,2,3,5,5
AF-47DD2669D9,5,5,5,5,4,3,3,3,5,5
AF-946C2AC3B0,5,4,5,3,5,3,2,4,2,3
AF-646E8D15A2,7,7,6,7,4,3,4,4,6,7
AF-771D836FA3,4,5,4,4,2,3,4,3,7,6
AF-5726AA5B69,5,5,7,4,7,6,5,7,5,5
AF-F1AE71CD27,5,5,5,5,2,4,5,3,5,2
AF-C9CBEEA8D8,7,6,6,7,4,4,5,5,6,6
AF-DC91E7DC07,4,4,4,4,5,4,4,3,2,3
AF-79AF3DC633,6,5,5,5,3,4,3,3,4,5
AF-7286602DA8,5,5,6,4,3,5,4,5,4,2
AF-1CF8D4F535,5,4,5,4,5,5,5,5,3,3
AF-6044142FC9,6,6,6,5,4,1,5,3,5,4
AF-2F95F1C24B,6,6,6,4,6,5,7,7,6,7
AF-6031C61A44,5,6,5,4,3,4,2,4,5,4
AF-0FEF8001D4,5,6,5,6,4,4,5,4,4,4
AF-90A22B1047,6,3,4,5,6,3,4,5,3,3
AF-99901FA73C,5,5,4,5,1,2,3,2,4,2
AF-8E007AC831,6,6,6,4,5,5,6,7,4,4
AF-793B7228F8,5,6,6,5,5,4,6,4,5,4
AF-DB4A0EB5D7,2,4,4,5,4,4,3,5,3,3
AF-E252B9DEB0,5,5,5,6,3,4,6,3,4,4
AF-059CA66583,4,4,4,3,4,3,5,5,3,3
AF-F2BC9C6A4A,2,3,2,4,4,4,4,5,2,2
AF-C47B01CF84,4,6,6,4,6,6,5,7,5,4
AF-A5BCAA21AA,6,6,5,6,7,4,5,5,3,4
AF-A9542529D0,4,5,5,5,6,4,4,4,3,3
AF-BFE4BEF742,4,3,4,3,5,4,4,4,6,5
AF-BBCABD4F64,4,5,5,3,3,2,3,3,2,4
AF-04DBEBA3C5,6,6,6,6,4,4,4,3,2,2
AF-3B299DF653,6,7,7,4,6,5,4,4,4,4
AF-B2117015C6,3,5,5,6,4,4,4,4,4,5
AF-B6A480694B,4,3,3,4,3,4,1,4,4,5
AF-C06997C531,4,5,4,2,3,4,3,3,2,3
AF-BA66C3835B,6,5,6,5,2,3,5,2,5,5
AF-53D9381CF3,5,5,4,3,4,2,2,1,3,5
AF-4751412723,5,6,6,5,2,6,5,5,4,3
AF-BBD69AADDF,7,5,6,4,5,5,6,6,5,4
AF-A53B452B11,5,5,5,5,5,5,5,5,2,4
AF-CAA11DA12E,4,5,5,3,3,7,7,6,3,4
AF-3EB5B4557D,3,4,3,3,2,3,3,2,3,4
AF-80579ABDDC,6,5,6,4,5,4,4,4,3,3
AF-7F077038DA,4,5,4,6,5,6,4,5,5,4
AF-F42F27000D,6,7,6,4,5,5,4,5,4,4
AF-0EF78F399C,5,5,5,6,3,2,3,2,4,4
AF-29C3C53493,3,3,3,5,4,3,4,4,4,4
AF-394723D4CA,6,6,6,5,3,3,4,4,5,4
AF-B09FB446E3,5,6,6,4,4,4,5,6,5,5
AF-9655F1CE81,4,5,5,3,3,4,3,3,4,5
AF-5503C9A8B6,3,3,3,5,3,2,3,2,3,3
AF-977879AE34,3,4,4,4,2,3,5,4,3,3
AF-6BD9730D51,4,5,6,6,5,5,7,7,3,4
AF-E4411B9DA3,4,5,4,6,5,4,3,5,4,4
AF-69E234ECF6,6,5,6,3,3,4,3,3,2,3
AF-82598CD404,5,5,6,4,3,5,2,4,4,4
AF-2C5E0CD6CB,6,6,6,4,4,4,4,5,7,6
AF-F8B3798CFF,6,5,6,4,5,5,6,6,6,6
AF-10CB24817B,5,5,5,6,4,3,4,4,2,3
AF-664C935608,5,4,5,6,2,4,2,2,4,3
AF-BA6218848A,5,5,5,4,4,5,4,7,4,4
AF-BEE709EF3C,4,4,5,3,3,4,5,4,3,4
AF-6778112FE1,5,4,5,3,2,1,2,2,5,5
AF-9B38096B16,4,5,4,4,5,3,3,4,3,5
AF-2716298DF0,6,6,6,5,4,5,6,5,6,5
AF-DDAC028467,5,3,4,3,3,2,6,4,3,5
AF-B26803DFB9,4,4,4,5,5,5,4,5,3,4
AF-22BE0089F9,5,7,6,5,6,7,6,6,6,6
AF-FF88D0731A,3,4,4,4,4,3,3,4,3,5
AF-0CB99E2C3D,5,6,4,5,4,4,5,5,5,5
AF-06E796FFEA,7,5,5,4,3,4,3,3,6,6
AF-BFACCABAAF,5,5,4,4,4,2,4,2,6,3
AF-3AF0E48B90,7,6,6,6,5,4,7,7,5,5
AF-EC06C49A1E,5,7,7,5,5,5,5,5,5,4
AF-5C7EC9EFC8,4,5,5,5,5,4,5,5,4,5
AF-4EC82DA97D,4,6,6,5,7,5,5,6,6,6
AF-7826A82F9C,3,4,4,6,4,2,4,4,4,2
AF-BBA4AD9A29,4,5,5,3,4,4,4,4,5,4
AF-71240194AA,5,5,7,5,5,3,6,5,4,4
AF-41088CF5D8,5,4,4,5,4,4,3,2,6,5
AF-BF2AA16B02,6,5,5,6,3,3,4,2,4,4
AF-F5AF38DE4D,7,6,7,5,4,5,6,7,6,5
AF-5ED170D014,4,6,5,5,4,6,6,5,7,5
AF-6659B1026E,5,5,5,4,6,6,4,6,4,3
AF-9924F174D9,4,4,4,5,1,2,2,2,2,2
AF-45E34ED468,6,6,6,4,3,3,4,3,5,6
AF-456DBCBD82,4,5,5,5,2,4,3,3,2,3
AF-3D8B6C1E09,4,5,4,4,7,6,6,5,5,4
AF-B17A0635D6,4,5,6,5,3,2,3,3,3,3
AF-61D4F0275F,5,5,5,5,2,4,4,3,4,5
AF-975B6BDE94,6,6,6,6,4,3,4,5,2,2
AF-C2E44A7EF9,5,5,5,4,4,4,4,4,6,6
AF-C1A4896EF2,6,6,6,5,6,5,5,5,4,4
AF-17229F8639,4,5,6,5,3,3,3,4,6,6
AF-EEA32A92A8,5,6,6,5,5,6,6,6,5,4
AF-5CEC3B7B77,4,4,3,3,4,4,2,2,3,4
AF-95C66B4A9F,5,4,5,4,4,5,5,4,6,5
AF-FD64D12480,4,4,4,4,4,2,4,2,2,2
AF-1414D8F783,5,6,6,4,6,5,6,6,3,3
AF-49B98FC918,5,4,5,5,2,4,4,4,4,4
AF-A7795441E2,2,3,3,2,4,3,4,2,3,4
AF-76BBA056AB,5,5,5,3,4,4,4,4,5,5
AF-C1D4C0AE84,5,5,5,4,6,6,6,6,3,3
AF-6461685C3C,4,3,4,3,4,5,4,5,4,4
AF-1026E625A3,3,4,4,2,4,3,2,3,5,4
AF-1B195FCA16,5,5,6,5,7,7,5,7,5,5
AF-E14DC17E78,4,4,4,4,4,3,3,3,6,7
AF-D5545C86D5,6,7,7,6,4,4,6,5,4,3
AF-752BBBE3E8,4,4,4,4,3,5,4,3,4,4
AF-B76471C88F,6,6,6,6,3,3,4,3,3,4
AF-ADA410271E,4,2,3,2,6,5,5,4,2,1
AF-FBF5B7FB5B,6,7,6,7,3,2,2,4,2,3
AF-D6DDD71315,6,7,7,7,4,5,5,5,6,4
AF-2AC349106C,5,6,7,5,3,3,2,3,4,4
AF-B7402D83BE,3,5,5,4,3,4,3,4,4,3
AF-600BB58746,3,3,4,4,3,2,2,3,5,4
AF-3F4CB2F03C,7,7,5,6,6,6,6,7,4,4
AF-411A35070F,5,4,5,4,4,4,3,4,3,4
AF-C76051026A,3,3,3,2,5,6,4,5,6,5
AF-AD04FBE72A,4,5,4,5,5,5,5,5,4,4
AF-B8AE9590A6,4,3,4,3,5,6,5,4,6,4
AF-E51BBBA74D,4,5,5,3,5,3,3,2,1,1
AF-57809F6A2C,5,4,5,4,4,3,2,2,2,4
AF-7F94C3FD21,4,5,5,3,5,6,5,5,4,4
AF-064EE74A7A,6,5,6,5,4,5,7,6,4,4
AF-F651274BD0,5,5,4,5,1,3,2,1,5,4
AF-B8336155FF,5,6,6,5,4,5,6,5,4,4
AF-68C90610D5,5,5,5,3,3,4,5,3,4,4
AF-1E52CA2E4F,4,4,4,4,2,2,3,2,4,3
AF-210A4263F3,3,4,4,4,6,4,3,5,3,3
AF-D63E2893EC,5,4,4,4,4,2,3,4,6,6
AF-84C284C488,6,5,6,6,3,5,6,4,2,2
AF-EA6C039823,5,4,5,5,5,5,5,5,3,3
AF-D3A901A139,5,5,6,3,3,3,5,3,5,6
AF-D2CFE82CF0,6,5,7,4,6,6,4,5,5,5
AF-EE8EE096FF,4,3,5,5,2,2,2,2,3,3
AF-D60E0395A7,5,7,6,5,1,2,1,2,3,4
AF-CCA56DB742,3,4,4,3,5,5,5,5,3,3
AF-7425A4BA73,3,3,4,3,5,4,5,5,4,4
AF-94BFB9A14F,4,5,5,6,4,4,3,4,4,5
AF-8BA1F283B6,5,5,4,5,3,2,4,3,5,5
AF-4964E872B3,6,5,5,4,3,5,4,3,2,3
AF-BC7AF3562A,5,4,4,5,3,4,4,3,3,3
AF-C43A2C0728,5,6,6,5,6,6,5,6,5,6
AF-450CD59F6A,6,6,5,5,4,5,4,5,5,5
AF-97D3FFD809,4,4,5,5,4,4,3,3,6,5
AF-04D0F10B98,5,5,5,4,5,3,3,3,3,5
AF-D58924D2B0,5,5,4,3,1,1,3,1,2,3
AF-D4812056DA,5,4,4,4,6,4,5,5,4,4
AF-143CB2A0E2,6,6,7,5,2,3,3,4,6,6
AF-CCC266A90D,5,6,4,6,6,4,6,5,4,5
AF-0D057E3DE5,5,7,6,6,3,4,3,4,3,4
AF-C93EC18D53,4,5,5,3,4,4,3,3,7,6
AF-B3125BD73A,4,5,4,6,3,5,4,3,4,6
AF-B7AB9D06AE,5,3,4,2,5,2,4,3,1,3
AF-E6B1572580,5,5,6,4,2,4,4,4,7,5
AF-8462CBCD11,6,4,3,4,3,3,3,2,4,6
AF-6048248F7E,7,6,6,5,6,5,5,6,4,3
AF-A1CFD4FB2C,6,6,6,5,4,5,6,7,4,3
AF-73F2EAC649,4,6,5,6,4,4,6,5,3,4
AF-4A5049FDAB,4,4,4,3,4,4,2,3,3,4
AF-873F9F3CFE,4,5,4,4,5,5,6,6,4,3
AF-84880B8446,4,3,3,5,3,2,3,4,5,6
AF-B73B717D4A,6,5,4,5,3,4,4,4,4,6
AF-1F0102AF9E,4,4,4,3,5,5,4,6,3,4
AF-5F45F8E1B7,2,3,3,3,3,3,3,3,3,3
AF-A8BA719393,4,5,5,5,3,4,3,4,6,6
AF-D68A3F1010,4,4,4,3,1,1,2,2,4,5
AF-410E6E8E11,4,5,4,2,5,6,4,6,2,3
AF-B6CE9C5AFC,3,4,4,4,5,6,5,4,3,4
AF-14C1F00E40,4,5,5,4,6,4,4,3,5,5
AF-A3CF75FE5F,5,5,5,5,5,6,5,6,5,4
AF-B4875A483E,5,6,6,4,6,4,4,4,7,5
AF-ECFDDC9758,7,6,6,6,4,5,5,4,6,6
AF-2CFBB16FDC,5,5,5,5,5,6,7,7,4,3
AF-9F4D3130C3,5,6,5,5,2,5,4,4,3,2
AF-E810EC3CBE,3,4,3,3,7,5,4,4,2,2
AF-2373DEFEFF,7,6,6,6,3,4,4,4,6,5
AF-861F059B5E,4,4,4,6,4,2,4,3,2,2
AF-E157D93074,6,5,5,5,5,5,7,6,5,5
AF-3E86F37048,6,7,5,4,5,4,3,5,3,4
AF-8A05485085,3,2,3,4,4,3,3,1,2,1
AF-4873F34A84,4,4,5,3,3,3,3,3,5,5
AF-4C7273FFED,4,4,5,5,3,3,2,3,2,2
AF-C96BAE872D,5,5,5,5,3,3,3,2,2,2
AF-73A82986B4,6,6,6,4,3,3,2,4,6,4
AF-EFCDCAADF4,4,3,3,3,4,7,5,5,5,4
AF-38C2B6EB67,6,6,6,5,4,5,3,5,3,4
AF-9B396B4AC8,5,5,6,6,2,5,4,4,7,7
AF-F205E2718D,4,4,4,3,4,5,5,4,4,4
AF-B5451C7FBC,7,6,6,7,5,5,3,5,7,6
AF-3A97ABB22B,5,4,5,5,3,3,4,3,4,5
AF-EDE444A92F,3,4,4,4,4,5,3,5,4,4
AF-19D6808718,5,6,5,5,5,4,3,3,3,2
AF-11372DB658,4,4,4,6,4,3,2,4,2,3
AF-33757C42FE,5,5,5,5,5,5,5,6,6,5
AF-6589720021,2,3,4,4,4,3,4,4,4,3
AF-55F2EBDC8C,4,4,4,3,6,4,3,5,1,1
AF-4BC871B236,4,4,3,3,2,4,5,3,3,5
AF-2B0497B464,5,5,6,6,3,3,4,3,4,4
AF-5FCB5267D7,4,5,4,5,4,4,3,4,6,6
AF-F03361363C,5,5,5,5,3,2,3,2,4,4
AF-F7815FC299,6,6,5,5,5,4,6,7,7,5
AF-E4E53CE38A,6,5,5,3,4,3,3,3,5,5
AF-FB1D6759B9,6,5,5,4,5,4,5,4,4,5
AF-9B339FE3D7,4,4,5,4,2,3,5,4,4,4
AF-627DE66A57,4,5,5,4,4,3,5,3,2,4
AF-05B986C441,5,6,5,4,3,3,1,2,6,7
AF-6CF7ED4E31,5,4,4,4,3,3,5,3,2,4
AF-00BC714C5D,6,5,5,6,5,4,4,4,5,5
AF-F06C58B2ED,5,3,4,4,3,2,3,2,3,3
AF-18E12F0877,4,2,2,3,1,2,1,3,3,2
AF-34F4154B2A,6,6,6,7,4,2,3,3,3,4
AF-9AEC85D6A7,5,7,6,5,5,5,4,4,5,6
AF-726BAB374E,5,5,5,4,3,2,2,2,3,4
AF-D65191B26C,5,6,6,4,4,6,7,6,5,5
AF-C950718288,3,3,3,5,3,5,5,5,4,4
AF-5F0A0060C9,4,5,5,6,5,4,5,5,2,3
AF-7B0CB7D7CC,4,3,4,5,2,3,2,1,5,4
AF-0310578487,5,4,5,4,4,2,3,1,1,2
AF-A815B06120,6,5,6,5,3,3,4,5,5,4
AF-60831D4818,4,3,4,5,3,2,4,2,5,5
AF-6A0BDB3C30,6,6,6,4,4,6,4,4,5,4
AF-811B34569C,4,4,4,4,4,4,2,2,2,4
AF-FCAD3EDDDB,5,6,7,6,4,4,3,3,5,4
AF-67613077CA,7,5,6,5,5,6,6,7,5,5
AF-783CEED859,2,5,4,4,5,5,5,5,2,2
AF-A333470BFF,4,3,4,5,5,3,4,4,5,4
AF-1A96AEB0B6,4,4,5,6,4,4,4,4,5,5
AF-9B97A27F79,3,5,4,4,2,4,3,3,3,2
AF-2942AC1745,4,3,4,5,4,4,4,4,6,5
AF-EE99C4E2F9,5,5,4,5,2,4,3,4,2,3
AF-D39637D5B4,7,7,7,4,5,6,5,6,7,4
AF-12FA143294,6,5,6,4,7,5,5,5,5,5
AF-4A63AFC2B0,6,6,6,6,3,3,4,2,5,4
AF-D17BE07C0D,5,6,7,4,3,3,3,4,6,5
AF-063B0A5E2C,4,4,3,2,4,1,2,2,2,3
AF-C245DC3177,3,3,3,5,2,2,3,1,2,2
AF-C40C492835,6,6,6,6,4,6,7,4,3,4
AF-DA76A4ED37,4,5,5,4,3,3,3,3,7,6
AF-3120763946,3,4,4,4,1,3,3,3,5,3
AF-051D3F8133,7,6,6,4,5,6,5,6,6,7
AF-EE669B5438,3,4,3,4,3,4,3,3,2,2
AF-B45736132B,5,5,6,5,5,6,6,6,6,5
AF-863C2B41ED,6,4,4,5,4,5,4,4,3,4
AF-28ABDB39A6,5,5,5,5,4,4,4,3,4,4
AF-508613CFE6,5,4,4,4,5,4,2,3,4,4
AF-51C31238CB,4,4,4,3,4,3,4,3,4,4
AF-F460442BFB,5,4,5,4,3,5,5,4,4,4
AF-96B11E01C7,5,5,5,4,2,4,3,3,3,3
AF-508301F7A4,4,5,5,5,5,3,5,4,3,3
AF-3C8BF629BC,6,5,6,4,5,5,5,5,5,5
AF-BDA0BD8B3A,5,6,6,4,6,3,3,3,1,2
AF-51866E949E,4,5,5,4,4,3,6,4,4,4
AF-E8A89D0519,6,6,7,6,4,5,6,5,5,5
AF-CFCA38D54A,4,4,4,5,4,4,3,5,2,2
AF-6ABC201CF7,5,6,5,3,3,3,3,4,7,4
AF-41C7FA0A20,5,4,4,4,4,4,5,6,3,4
AF-67199B8249,5,4,5,6,5,6,5,5,6,5
AF-8CC0E4BAC9,4,3,4,5,4,4,3,4,3,3
AF-E17825CED2,5,5,5,5,4,4,3,4,5,5
AF-DD6658753A,4,4,5,4,3,3,3,2,6,6
AF-7168C9948C,4,4,3,5,2,1,3,2,5,5
AF-DF9D95D570,5,5,5,4,1,3,3,3,5,4
AF-D6874836A0,4,5,4,5,4,4,3,3,3,4
AF-B6AA621009,3,4,4,6,4,4,6,5,4,4
AF-A5B3697FB4,4,3,4,4,2,3,4,2,3,3
AF-896C5F3793,5,6,5,4,3,3,3,1,4,4
AF-BC2E7E9522,4,5,4,5,2,4,2,4,5,5
AF-56F4273020,3,4,4,3,3,3,2,3,3,4
AF-015C0ED11F,3,4,3,2,4,5,5,5,2,3
AF-AA67DE87B4,5,6,5,4,5,5,5,3,3,4
AF-4A517DC606,5,4,4,7,4,6,6,5,3,4
AF-109665EFBB,5,6,6,6,3,4,4,2,4,3
AF-09BA2BDDC8,5,5,5,5,4,3,5,3,2,3
AF-54C581C079,4,4,3,3,4,2,5,4,3,2
AF-8519E2EC4B,6,6,6,6,2,3,3,3,6,4
AF-89CA51108A,6,4,5,6,5,5,5,5,6,5
AF-973F075E1B,6,5,5,5,6,7,7,5,5,4
AF-7BDAD8F932,4,4,5,4,6,5,4,5,4,5
AF-3F7F9DC5F1,5,3,4,5,4,2,5,4,3,3
AF-5057911E8E,4,6,5,4,3,4,3,3,5,5
AF-FA61232878,6,6,6,3,6,5,7,6,5,5
AF-26725729A2,6,5,5,5,5,4,4,6,5,4
AF-50BC47A6C5,5,4,5,5,2,2,3,3,6,6
AF-F3702708F3,5,3,4,6,2,3,4,3,3,3
AF-F98BFAF0F4,4,4,5,6,2,4,3,3,2,3
AF-7B47FAD197,5,5,5,3,5,3,2,3,4,4
AF-DE402FBFD6,4,4,3,5,3,2,2,3,4,4
AF-7C70190008,5,4,5,6,4,5,6,4,4,5
AF-F43DBABDC9,3,4,3,4,5,5,5,5,2,1
AF-6E7ADDFE8E,5,5,7,5,4,5,5,5,6,5
AF-C0BC49E0DD,4,4,5,4,3,1,2,1,3,4
AF-FEB5BD5D9D,5,5,5,5,2,4,2,3,2,1
AF-2773ADC12A,6,5,5,5,3,5,6,4,5,4
AF-063725924D,5,5,5,4,6,4,4,5,6,5
AF-9E7489D6B8,5,5,4,6,4,3,4,3,3,2
AF-C6A3BFEBC0,5,5,5,3,5,5,4,4,5,4
AF-73A51A19A8,5,4,5,3,4,3,3,3,4,5
AF-1A078F03DE,6,6,6,4,6,5,5,5,5,5
AF-344FFC8646,5,5,4,4,4,4,4,3,4,3
AF-3005BC14AD,4,3,3,5,3,4,4,2,2,1
AF-652002CCB4,6,5,5,4,3,3,2,2,4,3
AF-333B9067DB,4,4,5,5,4,6,4,5,4,3
AF-118042060B,6,6,6,6,4,4,3,5,3,3
AF-A1D89D1E17,5,6,5,6,1,2,1,2,3,4
AF-71DE95CC9E,5,4,5,3,4,3,3,3,6,6
AF-E304D4E58A,6,6,6,7,6,5,5,5,4,4
AF-00FA2D2BC6,5,5,6,6,4,5,5,6,4,4
AF-C2C72E4F69,4,4,4,2,2,3,4,2,5,6
AF-9E1E2EACC0,4,4,4,5,4,3,3,3,3,4
AF-37BE65B678,5,5,5,4,3,2,2,3,4,5
AF-3481B694D0,4,4,3,4,7,6,5,6,5,4
AF-7DDE00B981,6,5,5,6,4,5,5,6,4,5
AF-EEC77204DC,3,4,4,5,3,6,4,4,2,3
AF-89D81DE43B,5,5,6,5,7,4,4,6,4,4
AF-AC748947E0,5,6,5,4,2,2,3,2,4,3
AF-E233B7A0A7,5,5,5,6,6,6,5,6,3,3
AF-CE7F276EB8,5,5,6,6,5,5,3,4,6,6
AF-313D47FAE8,4,3,4,5,1,2,4,2,5,4
AF-0DFE1A6CDC,5,4,5,4,3,3,2,3,3,5
AF-763D1AE32E,5,4,4,4,4,3,4,4,4,4
AF-25D59959DF,4,4,5,4,3,5,4,4,6,6
AF-E54814A591,5,5,5,4,3,3,3,3,6,5
AF-57A3CA65E8,4,4,4,3,2,2,3,1,1,2
AF-553ACB8B1B,5,6,4,3,4,3,4,4,4,4
AF-785C76ACA5,3,3,4,5,3,2,3,3,2,2
AF-EDC9062F13,5,5,6,5,5,4,4,4,1,2
AF-EBD5DE8DBC,4,4,5,3,5,5,4,4,5,5
AF-A963AD08D2,4,5,4,5,3,2,3,2,3,5
AF-8B0B040615,5,5,5,5,4,3,4,4,3,2
AF-2D0CAF1507,5,5,5,7,4,5,4,5,6,5
AF-D01CA12D7A,6,5,5,4,3,4,4,4,6,5
AF-DAA504E9E4,4,3,5,5,3,5,3,4,3,2
AF-4786E9AFE4,5,6,4,3,4,5,4,5,6,6
AF-3650CA33C1,5,7,6,4,5,3,3,4,6,6
AF-E8DC663CE9,5,6,6,6,2,4,5,3,6,6
AF-A50691A828,3,3,2,3,2,3,3,3,1,2
AF-388E6F4188,5,5,6,4,7,6,6,6,3,3
AF-CC61FCCE2F,3,5,5,4,2,1,1,1,4,5
AF-7730FD8905,4,5,5,3,4,5,4,5,5,4
AF-8D4685AD67,5,6,5,4,3,4,6,4,4,3
AF-0B4AC5DB6A,5,4,4,4,3,5,3,4,5,5
AF-666FF1AF72,5,4,4,5,3,3,3,3,3,4
AF-AB085FFE9D,3,3,4,4,4,4,5,5,5,4
AF-C487B546D4,6,5,5,3,3,3,3,3,4,4
AF-DCE9CF55E3,4,4,3,5,6,4,3,3,4,4
AF-888DAD15D5,5,6,5,5,3,2,2,2,5,4
AF-5A65CCA561,5,5,4,4,4,3,3,2,2,2
AF-6C34A76A92,4,4,4,3,2,2,4,1,2,1
AF-E6C403B3D1,4,4,4,4,3,3,3,3,5,4
AF-39084F7A21,5,5,5,5,5,5,4,6,3,5
AF-B6A9ABC3B4,5,4,4,5,5,7,7,6,4,3
AF-4ECA50849E,5,7,7,5,4,6,5,5,7,6
AF-E1E0CC4964,4,5,5,3,4,2,4,3,5,3
AF-603AD841D5,4,4,4,6,4,2,4,5,3,3
AF-2424356104,5,6,6,5,5,4,2,3,3,4
AF-31D143245D,5,5,6,6,5,3,4,2,3,4
AF-FD7B174E7D,6,5,6,5,5,5,5,5,4,4
AF-B1E9529394,3,4,4,4,2,1,3,3,3,4
AF-7FF96A0E40,5,5,6,5,4,3,3,3,5,5
AF-4A902DE8AB,5,4,4,4,4,4,3,4,6,5
AF-74C32E08F3,5,4,5,4,5,4,5,5,6,6
AF-7ED928D619,6,7,6,3,5,4,6,5,2,3
AF-1B37904844,6,5,6,4,4,3,4,3,2,2
AF-AFE492EFA8,4,5,5,4,3,5,5,5,5,4
AF-EF380CD6EF,5,4,5,4,3,5,3,3,3,3
AF-6CB5A19644,5,5,5,7,4,5,3,3,3,3
AF-20A9CA7871,5,6,6,6,5,4,6,3,2,2
AF-F400E58470,5,6,7,5,3,3,4,4,3,2
AF-F09419F9A4,5,6,6,6,5,4,4,4,2,2
AF-209893DA06,5,4,5,5,4,5,4,6,3,4
AF-E0A8AA3606,5,4,4,4,3,5,3,5,3,3
AF-D5A6C63BAF,7,5,6,6,5,5,4,5,5,4
AF-AA97544E0C,6,6,6,6,3,5,2,3,6,5
AF-DB248B5054,3,4,4,5,3,2,4,3,5,4
AF-DAAB6FFE3D,5,5,6,6,4,4,5,5,1,4
AF-4AFBC4265B,5,5,5,5,4,4,4,5,4,3
AF-767FCA3290,3,2,3,5,3,2,2,1,5,4
AF-12B11DAE37,5,6,6,5,5,4,6,6,5,4
