post_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,alcance,impresiones,likes,comentarios,compartidos,guardados,comentarios_positivos,comentarios_negativos
P00076,2024-08-17,TIKTOK,Afición,Vídeo corto,1,6846.0,8334.0,886,50,73,110.0,25,11
P00077,2024-08-17,TikTok,Resumen,Vídeo corto,1,4333.0,4941.0,1172,93,90,79.0,40,27
P00078,2024-08-17,YouTube,Previa,Vídeo corto,1,8582.0,12972.0,279,22,17,37.0,11,4
P00079,2024-08-17,YouTube,Resumen,Vídeo largo,1,16046.0,19867.0,1147,100,86,67.0,51,18
P00080,2024-08-17,YouTube,Resumen,Vídeo largo,1,2530.0,3988.0,83,7,4,5.0,4,1
P00081,2024-08-18,Instagram,Efeméride,Imagen,0,13172.0,16759.0,508,44,55,37.0,22,7
P00082,2024-08-18,Instagram,Previa,Vídeo largo,0,19465.0,21865.0,398,32,31,12.0,15,6
P00083,2024-08-18,Instagram,Institucional,Carrusel,0,,40881.0,1127,84,81,91.0,40,18
P00084,2024-08-18,X,Entrenamiento,Vídeo corto,0,23148.0,33325.0,267,22,23,22.0,11,4
P00085,2024-08-18,X,Previa,Texto,0,19148.0,28657.0,88,5,7,9.0,2,1
P00086,2024-08-18,Facebook,Directo,Imagen,0,23051.0,33845.0,282,18,17,32.0,8,4
P00087,2024-08-19,Instagram,Entrenamiento,Carrusel,0,21050.0,26163.0,779,39,60,107.0,22,7
P00088,2024-08-19,Instagram,Efeméride,Vídeo corto,0,28290.0,39021.0,2105,142,230,217.0,67,41
P00089,2024-08-19,YouTube,Entrenamiento,Vídeo largo,0,4668.0,6789.0,54,2,3,8.0,1,0
P00090,2024-08-20,Facebook,Entrenamiento,Vídeo largo,0,16714.0,22502.0,100,8,9,4.0,4,1
P00091,2024-08-21,Instagram,Entrenamiento,Imagen,0,11208.0,16099.0,350,22,26,22.0,11,6
P00092,2024-08-21,Instagram,Efeméride,Vídeo corto,0,16197.0,26649.0,888,75,86,42.0,40,18
P00093,2024-08-21,X,Efeméride,Carrusel,0,12390.0,15634.0,324,21,26,9.0,13,3
P00094,2024-08-21,X,Patrocinador,Texto,0,28251.0,46130.0,123,7,12,7.0,3,1
P00095,2024-08-21,TikTok,Entrenamiento,Vídeo corto,0,5021.0,6848.0,284,24,29,11.0,13,6
P00096,2024-08-22,Instagram,Afición,Imagen,0,17469.0,28757.0,1097,67,84,35.0,40,14
P00097,2024-08-22,Instagram,Entrenamiento,Carrusel,0,39193.0,59970.0,811,65,73,67.0,32,19
P00098,2024-08-22,Facebook,Cantera,Imagen,0,11474.0,17165.0,73,3,5,4.0,1,0
P00099,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,18973.0,27939.0,139,11,8,17.0,5,2
P00100,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,12137.0,19771.0,96,7,4,11.0,3,1
P00101,2024-08-22,Facebook,Cantera,Imagen,0,9724.0,15321.0,55,4,3,8.0,2,0
P00102,2024-08-22,Facebook,Entrenamiento,Imagen,0,22995.0,28905.0,331,19,18,26.0,8,6
P00103,2024-08-22,Facebook,Previa,Carrusel,0,5257.0,7209.0,51,4,3,5.0,2,0
P00104,2024-08-22,TikTok,Patrocinador,Vídeo corto,0,5854.0,9658.0,233,22,16,22.0,12,4
P00105,2024-08-23,Instagram,Cantera,Vídeo corto,0,28764.0,44667.0,1357,134,153,80.0,69,26
P00106,2024-08-23,Instagram,Fichajes,Carrusel,0,23478.0,27264.0,2150,176,228,44.0,92,37
P00107,2024-08-23,X,Patrocinador,Imagen,0,7115.0,11104.0,29,2,2,4.0,0,0
P00108,2024-08-23,X,Entrenamiento,Vídeo largo,0,29760.0,47683.0,439,26,23,46.0,14,5
P00109,2024-08-23,Facebook,Previa,Vídeo corto,0,13275.0,18463.0,278,16,24,13.0,8,3
P00110,2024-08-24,X,Institucional,Vídeo corto,1,40560.0,66342.0,726,48,39,36.0,32,5
P00111,2024-08-24,X,Previa,Texto,1,48831.0,67724.0,509,41,36,34.0,26,9
P00112,2024-08-24,Facebook,Directo,Vídeo corto,1,7935.0,11372.0,179,14,11,10.0,10,1
P00113,2024-08-24,Facebook,Resumen,Vídeo corto,1,17255.0,28374.0,556,42,52,62.0,30,5
P00114,2024-08-24,TikTok,Directo,Vídeo corto,1,7451.0,9241.0,858,55,63,69.0,42,5
P00115,2024-08-24,TikTok,Resumen,Vídeo corto,1,8710.0,11669.0,1864,143,204,92.0,96,28
P00116,2024-08-24,YouTube,Patrocinador,Vídeo largo,1,4058.0,5627.0,42,2,4,3.0,1,0
P00117,2024-08-24,YouTube,Resumen,Vídeo corto,1,,10673.0,525,45,39,57.0,30,8
P00118,2024-08-24,YouTube,Previa,Vídeo corto,1,6147.0,9345.0,256,19,27,26.0,13,2
P00119,2024-08-25,Instagram,Resumen,Imagen,0,23611.0,29110.0,1319,99,89,50.0,55,26
P00120,2024-08-25,X,Fichajes,Imagen,0,22937.0,32258.0,549,51,57,21.0,26,8
P00121,2024-08-25,Facebook,Efeméride,Imagen,0,9666.0,11151.0,41,2,3,3.0,1,0
P00122,2024-08-25,TikTok,Patrocinador,Vídeo corto,0,,2975.0,115,10,8,11.0,5,2
P00123,2024-08-25,TikTok,Efeméride,Vídeo corto,0,7097.0,7966.0,493,43,36,29.0,21,10
P00124,2024-08-26,X,Entrenamiento,Vídeo corto,0,10042.0,14312.0,170,14,8,22.0,5,3
P00125,2024-08-26,X,Previa,Vídeo corto,0,18476.0,25908.0,265,20,20,21.0,9,5
P00126,2024-08-26,TikTok,Cantera,Vídeo corto,0,11568.0,17595.0,941,89,57,42.0,52,21
P00127,2024-08-27,Facebook,Efeméride,Carrusel,0,14017.0,20063.0,156,14,12,5.0,5,3
P00128,2024-08-27,Facebook,Entrenamiento,Texto,0,12844.0,18518.0,113,6,12,5.0,2,1
P00129,2024-08-27,Facebook,Fichajes,Vídeo corto,0,13209.0,16408.0,224,17,11,23.0,10,2
P00130,2024-08-27,Facebook,Efeméride,Carrusel,0,6082.0,8494.0,60,4,5,6.0,1,1
P00131,2024-08-27,Facebook,Patrocinador,Vídeo corto,0,11501.0,16822.0,97,7,5,8.0,4,1
P00132,2024-08-28,x,Entrenamiento,Texto,0,32981.0,43886.0,383,30,37,25.0,16,8
P00133,2024-08-28,X,Efeméride,Texto,0,22794.0,36812.0,171,11,10,18.0,6,2
P00134,2024-08-28,Facebook,Efeméride,Vídeo largo,0,6821.0,8520.0,52,3,4,6.0,1,0
P00135,2024-08-28,TikTok,Entrenamiento,Vídeo corto,0,5449.0,6270.0,483,34,45,45.0,20,5
P00136,2024-08-28,TikTok,Afición,Vídeo corto,0,5837.0,6787.0,847,53,55,87.0,27,16
P00137,2024-08-28,TikTok,Patrocinador,Vídeo corto,0,2915.0,4537.0,201,17,18,0.0,9,3
P00138,2024-08-28,TikTok,Afición,Vídeo corto,0,7108.0,8417.0,732,49,71,24.0,27,13
P00139,2024-08-28,YouTube,Cantera,Vídeo largo,0,4944.0,6709.0,101,7,11,7.0,4,1
P00140,2024-08-29,X,Institucional,Imagen,0,26408.0,32079.0,179,11,13,14.0,5,3
P00141,2024-08-29,X,Afición,Texto,0,14956.0,18838.0,169,9,15,,5,2
P00142,2024-08-29,X,Institucional,Vídeo corto,0,22531.0,28424.0,265,15,21,36.0,8,3
P00143,2024-08-29,YouTube,Cantera,Vídeo largo,0,8946.0,10664.0,110,9,9,6.0,5,1
P00144,2024-08-30,Instagram,Institucional,Texto,0,33703.0,53691.0,612,53,33,64.0,28,10
P00145,2024-08-30,X,Efeméride,Carrusel,0,17676.0,21616.0,323,26,18,14.0,14,7
P00146,2024-08-30,Facebook,Entrenamiento,Imagen,0,18877.0,27483.0,163,11,12,18.0,6,1
P00147,2024-08-31,Instagram,Afición,Vídeo corto,1,51962.0,66418.0,5894,360,592,340.0,253,49
P00148,2024-08-31,Instagram,Cantera,Imagen,1,72492.0,117303.0,1797,114,188,110.0,77,23
P00149,2024-08-31,X,Directo,Imagen,1,22964.0,34331.0,795,58,65,16.0,42,8
P00150,2024-08-31,X,Previa,Vídeo corto,1,46287.0,74800.0,1080,58,103,17.0,35,11
P00151,2024-08-31,X,Resumen,Imagen,1,17580.0,26433.0,415,32,42,40.0,19,5
P00152,2024-08-31,Facebook,Previa,Vídeo corto,1,28416.0,38441.0,562,41,28,30.0,27,6
P00153,2024-08-31,TikTok,Previa,Vídeo corto,1,7103.0,9490.0,1231,71,76,74.0,48,10
P00154,2024-08-31,TikTok,Resumen,Vídeo corto,1,13609.0,21553.0,2988,259,189,163.0,181,27
P00155,2024-08-31,YouTube,Patrocinador,Vídeo corto,1,3967.0,5848.0,82,4,8,10.0,3,0
P00156,2024-08-31,youtube,Directo,Vídeo largo,1,8196.0,9511.0,352,30,29,8.0,20,4
P00157,2024-08-31,YouTube,Resumen,Vídeo largo,1,5749.0,9357.0,186,9,13,8.0,5,2
P00158,2024-09-01,Instagram,Patrocinador,Imagen,0,19375.0,29077.0,308,27,29,21.0,14,6
P00159,2024-09-01,Instagram,Fichajes,Imagen,0,26015.0,29263.0,1227,65,128,84.0,31,19
P00160,2024-09-01,X,Fichajes,Vídeo corto,0,13822.0,21190.0,621,55,44,15.0,30,9
P00161,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,17052.0,19365.0,149,13,12,7.0,8,2
P00162,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,11149.0,17523.0,182,16,18,0.0,7,5
P00163,2024-09-01,YouTube,Institucional,Vídeo largo,0,4768.0,6937.0,37,2,3,3.0,0,0
P00164,2024-09-02,Instagram,Efeméride,Vídeo largo,0,18822.0,23892.0,808,45,49,46.0,27,10
P00165,2024-09-02,Instagram,Fichajes,Vídeo corto,0,23656.0,35401.0,2871,172,254,234.0,89,39
P00166,2024-09-02,Instagram,Entrenamiento,Imagen,0,16716.0,18897.0,510,37,49,5.0,19,10
P00167,2024-09-02,X,Cantera,Carrusel,0,30223.0,48018.0,286,26,19,6.0,13,6
P00168,2024-09-02,X,Patrocinador,Vídeo largo,0,37245.0,54331.0,233,19,21,8.0,8,3
P00169,2024-09-03,Instagram,Institucional,Imagen,0,25530.0,40102.0,522,40,52,2.0,20,7
P00170,2024-09-03,Instagram,Entrenamiento,Vídeo corto,0,20325.0,24733.0,1647,155,85,111.0,93,34
P00171,2024-09-03,Instagram,Afición,Vídeo corto,0,72858.0,113850.0,9616,797,825,295.0,393,236
P00172,2024-09-03,X,Cantera,Imagen,0,14225.0,17436.0,258,15,26,31.0,8,3
P00173,2024-09-03,Facebook,Fichajes,Vídeo corto,0,8191.0,12396.0,246,19,18,24.0,11,4
P00174,2024-09-03,TikTok,Institucional,Vídeo corto,0,3886.0,4921.0,234,18,22,2.0,9,4
P00175,2024-09-04,X,Afición,Imagen,0,15961.0,23928.0,163,8,12,11.0,4,1
P00176,2024-09-04,Facebook,Previa,Imagen,0,11226.0,12742.0,96,5,6,6.0,2,1
P00177,2024-09-04,Facebook,Afición,Imagen,0,12796.0,14840.0,130,7,11,5.0,2,1
P00178,2024-09-05,X,Patrocinador,Vídeo corto,0,26665.0,32448.0,333,27,22,13.0,16,4
P00179,2024-09-05,Facebook,Fichajes,Imagen,0,14564.0,23939.0,134,9,9,10.0,5,1
P00180,2024-09-05,Facebook,Previa,Vídeo corto,0,21957.0,30622.0,236,15,11,20.0,8,4
P00181,2024-09-06,Instagram,Entrenamiento,Imagen,0,13839.0,20145.0,345,32,30,29.0,15,7
P00182,2024-09-06,Instagram,Efeméride,Imagen,0,9634.0,15424.0,416,30,33,7.0,15,9
P00183,2024-09-06,X,Cantera,Texto,0,18516.0,21083.0,144,11,15,0.0,5,3
P00184,2024-09-06,YouTube,Patrocinador,Vídeo corto,0,4187.0,4945.0,69,4,4,5.0,2,0
P00185,2024-09-06,YouTube,Resumen,Vídeo corto,0,4790.0,5506.0,461,27,46,4.0,14,7
P00186,2024-09-07,Instagram,Efeméride,Imagen,1,37175.0,55914.0,922,49,57,134.0,16,12
P00187,2024-09-07,Instagram,Resumen,Vídeo corto,1,28048.0,31768.0,1925,174,124,60.0,81,34
P00188,2024-09-07,Instagram,Previa,Imagen,1,28899.0,44512.0,1231,109,96,80.0,47,25
P00189,2024-09-07,Instagram,Previa,Carrusel,1,23624.0,37914.0,789,74,66,76.0,23,26
P00190,2024-09-07,Facebook,Afición,Carrusel,1,22756.0,37500.0,406,31,31,26.0,8,8
P00191,2024-09-07,Facebook,Directo,Vídeo corto,1,30437.0,35563.0,621,33,57,17.0,12,9
P00192,2024-09-07,Facebook,Directo,Imagen,1,15989.0,21414.0,155,13,7,16.0,5,3
P00193,2024-09-07,Facebook,Institucional,Vídeo largo,1,33794.0,44553.0,89,8,6,6.0,3,2
P00194,2024-09-07,TikTok,Directo,Vídeo corto,1,6280.0,9217.0,515,32,49,,9,9
P00195,2024-09-07,YouTube,Patrocinador,Vídeo corto,1,4899.0,8031.0,54,3,5,1.0,1,0
P00196,2024-09-07,YouTube,Efeméride,Vídeo corto,1,3150.0,4496.0,79,6,6,8.0,2,1
P00197,2024-09-07,YouTube,Resumen,Vídeo largo,1,9295.0,13619.0,196,19,14,15.0,6,4
P00198,2024-09-08,Instagram,Institucional,Imagen,0,36587.0,41812.0,714,41,57,59.0,22,8
P00199,2024-09-08,Instagram,Entrenamiento,Texto,0,25758.0,36688.0,358,30,35,32.0,16,7
P00200,2024-09-08,Instagram,Afición,Imagen,0,23821.0,31571.0,1171,91,108,108.0,48,16
P00201,2024-09-08,X,Efeméride,Vídeo corto,0,47306.0,65207.0,610,50,41,32.0,35,9
P00202,2024-09-08,X,Efeméride,Texto,0,26042.0,37496.0,183,14,20,14.0,6,3
P00203,2024-09-08,X,Afición,Texto,0,23890.0,34774.0,250,15,19,18.0,8,4
P00204,2024-09-08,X,Entrenamiento,Carrusel,0,12636.0,20303.0,207,15,14,21.0,8,4
P00205,2024-09-08,Facebook,Entrenamiento,Vídeo largo,0,8991.0,10890.0,91,7,6,3.0,3,2
P00206,2024-09-09,Instagram,Entrenamiento,Texto,0,33131.0,45527.0,936,51,95,83.0,26,10
P00207,2024-09-09,Instagram,Fichajes,Vídeo corto,0,36481.0,46488.0,2148,106,186,159.0,57,23
P00208,2024-09-09,Instagram,Institucional,Imagen,0,11578.0,17520.0,289,18,26,35.0,9,5
P00209,2024-09-09,Instagram,Afición,Vídeo corto,0,22825.0,37404.0,1264,119,90,80.0,69,28
P00210,2024-09-09,X,Institucional,Vídeo corto,0,18696.0,24790.0,95,5,6,5.0,2,0
P00211,2024-09-09,Facebook,Previa,Imagen,0,16157.0,18387.0,253,18,14,37.0,11,3
P00212,2024-09-09,Facebook,Entrenamiento,Carrusel,0,18586.0,29209.0,149,11,15,13.0,5,2
P00213,2024-09-10,Instagram,Afición,Carrusel,0,19894.0,24527.0,710,60,47,35.0,30,18
P00214,2024-09-10,Instagram,Efeméride,Imagen,0,15842.0,26109.0,728,68,43,51.0,29,20
P00215,2024-09-10,Facebook,Institucional,Carrusel,0,10791.0,13896.0,53,3,3,8.0,1,0
P00216,2024-09-10,facebook,Efeméride,Carrusel,0,9561.0,14689.0,72,4,7,5.0,1,0
P00217,2024-09-10,YouTube,Patrocinador,Vídeo largo,0,6726.0,8339.0,62,4,6,2.0,2,0
P00218,2024-09-11,Instagram,Cantera,Imagen,0,30380.0,38465.0,775,53,83,69.0,23,14
P00219,2024-09-11,X,Entrenamiento,Texto,0,21158.0,26849.0,152,14,15,11.0,7,3
P00220,2024-09-11,Facebook,Resumen,Imagen,0,50340.0,74958.0,530,27,54,6.0,15,4
P00221,2024-09-11,Facebook,Afición,Carrusel,0,9301.0,14300.0,91,6,4,,3,1
P00222,2024-09-11,TikTok,Patrocinador,Vídeo corto,0,5188.0,6415.0,192,12,16,23.0,6,3
P00223,2024-09-11,TikTok,Institucional,Vídeo corto,0,7005.0,11443.0,274,24,17,7.0,13,5
P00224,2024-09-11,YouTube,Efeméride,Vídeo largo,0,3693.0,4184.0,88,6,4,5.0,3,1
P00225,2024-09-12,Instagram,Cantera,Imagen,0,17486.0,26108.0,279,19,16,39.0,10,4
P00226,2024-09-12,Instagram,Previa,Imagen,0,28598.0,39097.0,1086,92,102,64.0,60,13
P00227,2024-09-12,Instagram,Patrocinador,Imagen,0,21534.0,32862.0,420,30,43,44.0,16,6
P00228,2024-09-12,X,Entrenamiento,Carrusel,0,11235.0,14318.0,191,12,13,22.0,6,2
P00229,2024-09-12,Facebook,Directo,Imagen,0,9681.0,12730.0,179,10,16,11.0,5,2
P00230,2024-09-12,Facebook,Fichajes,Vídeo corto,0,6441.0,7842.0,125,12,7,16.0,6,3
P00231,2024-09-12,TikTok,Institucional,Vídeo corto,0,6303.0,8943.0,377,19,33,26.0,9,4
P00232,2024-09-12,YouTube,Cantera,Vídeo largo,0,5626.0,7738.0,69,6,4,8.0,2,1
P00233,2024-09-12,YouTube,Fichajes,Vídeo corto,0,4411.0,6217.0,472,33,22,27.0,15,9
P00234,2024-09-13,Instagram,Efeméride,Vídeo corto,0,14596.0,17197.0,606,38,36,44.0,21,8
P00235,2024-09-13,X,Entrenamiento,Texto,0,10736.0,17075.0,87,8,7,9.0,3,2
P00236,2024-09-13,X,Entrenamiento,Carrusel,0,15770.0,20429.0,226,21,13,8.0,11,5
P00237,2024-09-13,Facebook,Fichajes,Imagen,0,13805.0,19670.0,233,16,13,24.0,8,3
P00238,2024-09-13,YouTube,Patrocinador,Vídeo corto,0,4285.0,6033.0,44,3,3,3.0,1,0
P00239,2024-09-14,Instagram,Resumen,Imagen,1,35668.0,52303.0,1389,124,113,41.0,39,34
P00240,2024-09-14,Instagram,Previa,Carrusel,1,47336.0,70628.0,1123,86,57,60.0,28,23
P00241,2024-09-14,Instagram,Afición,Vídeo corto,1,21377.0,24584.0,-1,101,86,107.0,35,30
P00242,2024-09-14,Instagram,Institucional,Vídeo largo,1,30692.0,50242.0,354,32,25,36.0,11,8
P00243,2024-09-14,instagram,Directo,Vídeo corto,1,29070.0,39927.0,1758,150,104,96.0,37,53
P00244,2024-09-14,X,Resumen,Vídeo corto,1,18197.0,21981.0,357,27,21,35.0,9,10
P00245,2024-09-14,X,Previa,Texto,1,26360.0,37134.0,169,11,18,11.0,3,4
P00246,2024-09-14,X,Directo,Carrusel,1,23171.0,29341.0,295,15,27,26.0,4,5
P00247,2024-09-14,X,Previa,Texto,1,47125.0,61483.0,296,21,14,16.0,5,7
P00248,2024-09-14,X,Patrocinador,Texto,1,14846.0,19754.0,35,2,3,1.0,0,0
P00249,2024-09-14,Facebook,Directo,Imagen,1,10575.0,15230.0,105,10,9,8.0,3,2
P00250,2024-09-14,Facebook,Efeméride,Carrusel,1,26699.0,31748.0,172,14,13,20.0,4,6
P00251,2024-09-14,Facebook,Previa,Texto,1,20806.0,26307.0,185,16,13,9.0,4,4
P00252,2024-09-14,TikTok,Efeméride,Vídeo corto,1,10653.0,14749.0,868,62,80,73.0,24,23
P00253,2024-09-14,TikTok,Directo,Vídeo corto,1,8066.0,10272.0,608,45,30,67.0,9,16
P00254,2024-09-14,tiktok,Previa,Vídeo corto,1,6635.0,9654.0,515,32,46,31.0,15,8
P00255,2024-09-14,YouTube,Entrenamiento,Vídeo corto,1,17852.0,23944.0,391,22,37,32.0,4,6
P00256,2024-09-14,YouTube,Fichajes,Vídeo largo,1,2762.0,3975.0,66,5,5,1.0,1,1
P00257,2024-09-15,Instagram,Afición,Texto,0,12944.0,14521.0,658,42,58,27.0,24,7
P00258,2024-09-15,Facebook,Cantera,Vídeo corto,0,16861.0,23971.0,197,13,18,19.0,6,3
