aficionado_id,semana,sesiones,duracion_media_min,pantallas_vistas,notificaciones_recibidas,notificaciones_abiertas,compras_entradas,gasto_tienda_eur
AF-DD360253B0,2025-03-10,9,9.52,11.0,2,2,0,0.0
AF-DD360253B0,2025-03-17,17,4.75,8.0,7,5,1,0.0
AF-DD360253B0,2025-03-24,9,11.56,12.0,6,4,0,0.0
AF-DD360253B0,2025-03-31,7,14.59,12.0,4,3,0,0.0
AF-DD360253B0,2025-04-07,7,9.96,16.0,3,2,0,0.0
AF-DD360253B0,2025-04-14,7,3.06,4.0,8,7,1,0.0
AF-DD360253B0,2025-04-21,4,7.58,14.0,2,1,0,0.0
AF-DD360253B0,2025-04-28,10,5.93,15.0,7,1,0,0.0
AF-DD360253B0,2025-05-05,12,7.84,9.0,7,3,0,0.0
AF-DD360253B0,2025-05-12,8,12.29,22.0,2,2,1,0.0
AF-DD360253B0,2025-05-19,9,8.87,12.0,5,4,0,0.0
AF-DD360253B0,2025-05-26,10,9.86,12.0,3,1,1,0.0
AF-DD360253B0,2025-06-02,9,15.13,27.0,6,5,1,9.9
AF-DD360253B0,2025-06-09,11,9.22,14.0,7,4,1,0.0
AF-098A269628,2024-08-12,8,11.64,19.0,6,3,0,0.0
AF-098A269628,2024-08-19,6,5.28,7.0,5,3,0,0.0
AF-098A269628,2024-08-26,13,8.65,16.0,2,2,0,0.0
AF-098A269628,2024-09-02,10,5.85,8.0,3,1,0,0.0
AF-098A269628,2024-09-09,13,13.32,13.0,7,4,1,0.0
AF-098A269628,2024-09-16,4,2.24,2.0,6,3,0,0.0
AF-098A269628,2024-09-23,15,5.27,2.0,3,2,0,0.0
AF-098A269628,2024-09-30,13,4.96,5.0,6,4,0,3.49
AF-098A269628,2024-10-07,9,5.76,12.0,4,2,0,0.0
AF-098A269628,2024-10-14,7,9.01,14.0,5,4,1,46.59
AF-098A269628,2024-10-21,7,5.83,12.0,6,2,0,0.0
AF-098A269628,2024-10-28,3,13.92,33.0,6,4,0,0.0
AF-098A269628,2024-11-04,7,13.94,21.0,2,1,0,0.0
AF-098A269628,2024-11-11,13,6.04,11.0,6,4,0,0.0
AF-098A269628,2024-11-18,12,4.72,6.0,4,4,0,0.0
AF-098A269628,2024-11-25,17,21.91,26.0,7,2,0,0.0
AF-098A269628,2024-12-02,14,6.08,8.0,8,5,0,0.0
AF-098A269628,2024-12-09,6,20.73,26.0,2,1,0,0.0
AF-098A269628,2024-12-16,14,19.42,36.0,6,3,0,0.0
AF-098A269628,2024-12-23,12,10.33,11.0,4,3,0,0.0
AF-098A269628,2024-12-30,11,4.29,5.0,4,3,0,0.0
AF-098A269628,2025-01-06,5,4.38,9.0,2,2,0,0.0
AF-098A269628,2025-01-13,9,3.92,5.0,4,3,0,0.0
AF-098A269628,2025-01-20,10,3.93,5.0,6,5,0,0.0
AF-098A269628,2025-01-27,7,5.25,5.0,2,1,0,0.0
AF-098A269628,2025-02-03,7,16.61,19.0,6,4,0,0.0
AF-098A269628,2025-02-10,12,11.18,13.0,7,2,1,0.0
AF-098A269628,2025-02-17,7,9.16,16.0,4,4,1,0.0
AF-098A269628,2025-02-24,4,8.12,10.0,6,6,0,0.0
AF-098A269628,2025-03-03,13,4.02,6.0,4,4,0,0.0
AF-098A269628,2025-03-10,15,5.19,3.0,5,4,0,0.0
AF-098A269628,2025-03-17,10,4.91,11.0,8,5,0,0.0
AF-098A269628,2025-03-24,16,25.89,27.0,4,4,0,0.0
AF-098A269628,2025-03-31,10,25.37,41.0,2,1,0,0.0
AF-098A269628,2025-04-07,8,16.95,33.0,4,3,0,0.0
AF-098A269628,2025-04-14,10,14.56,17.0,2,1,1,0.0
AF-098A269628,2025-04-21,5,13.32,9.0,3,1,0,0.0
AF-098A269628,2025-04-28,5,6.16,8.0,3,3,0,0.0
AF-098A269628,2025-05-05,15,16.56,18.0,2,2,0,0.0
AF-098A269628,2025-05-12,9,2.8,2.0,6,5,0,0.0
AF-098A269628,2025-05-19,8,27.5,40.0,6,3,0,0.0
AF-098A269628,2025-05-26,12,5.4,11.0,8,4,0,0.0
AF-098A269628,2025-06-02,8,5.09,5.0,3,1,0,0.0
AF-098A269628,2025-06-09,13,6.32,4.0,2,2,0,0.0
AF-0DA851833C,2024-08-12,3,8.55,9.0,3,1,0,0.0
AF-0DA851833C,2024-08-19,1,1.7,5.0,4,0,0,0.0
AF-0DA851833C,2024-08-26,0,0.0,0.0,2,0,0,0.0
AF-0DA851833C,2024-09-02,1,4.03,4.0,5,3,0,0.0
AF-0DA851833C,2024-09-09,0,0.0,0.0,2,0,0,0.0
AF-0DA851833C,2024-09-16,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2024-09-23,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2024-09-30,1,3.89,11.0,4,1,0,0.0
AF-0DA851833C,2024-10-07,1,1.58,1.0,6,2,0,0.0
AF-0DA851833C,2024-10-14,0,0.0,0.0,6,0,0,0.0
AF-0DA851833C,2024-10-21,1,1.64,3.0,5,2,0,0.0
AF-0DA851833C,2024-10-28,0,0.0,0.0,6,0,0,0.0
AF-0DA851833C,2024-11-04,1,1.1,1.0,8,3,0,0.0
AF-0DA851833C,2024-11-11,2,2.07,2.0,4,0,0,0.0
AF-0DA851833C,2024-11-18,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2024-11-25,1,2.31,2.0,8,0,0,0.0
AF-0DA851833C,2024-12-02,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2024-12-09,0,0.0,0.0,3,0,0,0.0
AF-0DA851833C,2024-12-16,2,3.19,7.0,2,1,0,0.0
AF-0DA851833C,2024-12-23,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2024-12-30,0,0.0,0.0,3,0,0,0.0
AF-0DA851833C,2025-01-06,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2025-01-13,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2025-01-20,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2025-01-27,1,2.64,4.0,6,3,0,0.0
AF-0DA851833C,2025-02-03,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2025-02-10,1,1.58,2.0,4,2,0,0.0
AF-0DA851833C,2025-02-17,1,2.1,3.0,5,0,0,0.0
AF-0DA851833C,2025-02-24,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2025-03-03,1,7.34,12.0,4,0,0,0.0
AF-0DA851833C,2025-03-10,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2025-03-17,0,0.0,0.0,2,0,0,0.0
AF-0DA851833C,2025-03-24,0,0.0,0.0,3,0,0,0.0
AF-0DA851833C,2025-03-31,1,5.16,8.0,6,1,0,0.0
AF-0DA851833C,2025-04-07,0,0.0,0.0,6,0,0,0.0
AF-0DA851833C,2025-04-14,0,0.0,0.0,3,0,0,0.0
AF-0DA851833C,2025-04-21,0,0.0,0.0,6,0,0,0.0
AF-0DA851833C,2025-04-28,1,4.02,7.0,3,2,0,0.0
AF-0DA851833C,2025-05-05,0,0.0,0.0,5,0,0,0.0
AF-0DA851833C,2025-05-12,1,1.64,1.0,8,0,0,0.0
AF-0DA851833C,2025-05-19,1,2.98,2.0,7,0,0,0.0
AF-0DA851833C,2025-05-26,0,0.0,0.0,2,0,0,0.0
AF-0DA851833C,2025-06-02,0,0.0,0.0,4,0,0,0.0
AF-0DA851833C,2025-06-09,1,4.9,8.0,5,1,0,0.0
AF-F9CFA62FD2,2024-08-12,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2024-08-19,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2024-08-26,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2024-09-02,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2024-09-09,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2024-09-16,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2024-09-23,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2024-09-30,1,2.14,3.0,2,1,0,0.0
AF-F9CFA62FD2,2024-10-07,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2024-10-14,1,1.86,4.0,3,0,0,0.0
AF-F9CFA62FD2,2024-10-21,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2024-10-28,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2024-11-04,1,4.99,7.0,3,0,0,0.0
AF-F9CFA62FD2,2024-11-11,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2024-11-18,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2024-11-25,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2024-12-02,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2024-12-09,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2024-12-16,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2024-12-23,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2024-12-30,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2025-01-06,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2025-01-13,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-01-20,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-01-27,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-02-03,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2025-02-10,0,0.0,0.0,5,0,0,0.0
AF-F9CFA62FD2,2025-02-17,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2025-02-24,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2025-03-03,1,3.91,7.0,4,1,0,0.0
AF-F9CFA62FD2,2025-03-10,1,2.39,3.0,5,3,0,0.0
AF-F9CFA62FD2,2025-03-17,0,0.0,0.0,3,0,0,0.0
AF-F9CFA62FD2,2025-03-24,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2025-03-31,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2025-04-07,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2025-04-14,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-04-21,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2025-04-28,0,0.0,0.0,6,0,0,0.0
AF-F9CFA62FD2,2025-05-05,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-05-12,0,0.0,0.0,2,0,0,0.0
AF-F9CFA62FD2,2025-05-19,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-05-26,1,3.16,9.0,7,0,0,0.0
AF-F9CFA62FD2,2025-06-02,0,0.0,0.0,4,0,0,0.0
AF-F9CFA62FD2,2025-06-09,0,0.0,0.0,6,0,0,0.0
AF-06744EFE5F,2024-08-12,9,7.04,15.0,6,3,0,0.0
AF-06744EFE5F,2024-08-19,7,9.79,12.0,2,1,0,0.0
AF-06744EFE5F,2024-08-26,7,11.37,20.0,2,1,0,0.0
AF-06744EFE5F,2024-09-02,5,11.81,16.0,2,1,1,0.0
AF-06744EFE5F,2024-09-09,12,15.85,18.0,8,7,1,0.0
AF-06744EFE5F,2024-09-16,6,6.19,9.0,2,1,0,0.0
AF-06744EFE5F,2024-09-23,11,4.35,7.0,7,5,0,30.57
AF-06744EFE5F,2024-09-30,13,6.35,9.0,3,2,1,0.0
AF-06744EFE5F,2024-10-07,5,8.0,9.0,8,2,0,0.0
AF-06744EFE5F,2024-10-14,8,1.55,1.0,3,3,1,0.0
AF-06744EFE5F,2024-10-21,13,8.52,10.0,2,1,0,0.0
AF-06744EFE5F,2024-10-28,1,18.13,28.0,3,2,0,0.0
AF-06744EFE5F,2024-11-04,15,3.61,6.0,5,3,0,0.0
AF-06744EFE5F,2024-11-11,12,8.74,11.0,2,1,0,0.0
AF-06744EFE5F,2024-11-18,14,5.83,14.0,2,1,0,24.7
AF-06744EFE5F,2024-11-25,11,12.15,15.0,8,5,1,0.0
AF-06744EFE5F,2024-12-02,11,10.07,11.0,5,1,1,0.0
AF-06744EFE5F,2024-12-09,4,14.89,21.0,7,4,0,0.0
AF-06744EFE5F,2024-12-16,4,3.17,7.0,5,3,0,0.0
AF-06744EFE5F,2024-12-23,13,7.49,15.0,4,1,1,0.0
AF-06744EFE5F,2024-12-30,7,4.66,12.0,4,1,0,0.0
AF-06744EFE5F,2025-01-06,9,3.39,8.0,7,4,0,126.46
AF-06744EFE5F,2025-01-13,7,13.86,11.0,6,4,0,0.0
AF-06744EFE5F,2025-01-20,10,9.74,12.0,2,2,0,0.0
AF-06744EFE5F,2025-01-27,12,6.07,12.0,6,3,1,0.0
AF-06744EFE5F,2025-02-03,3,4.14,2.0,5,4,0,0.0
AF-06744EFE5F,2025-02-10,3,20.46,34.0,6,4,1,0.0
AF-06744EFE5F,2025-02-17,10,24.38,28.0,6,3,0,0.0
AF-06744EFE5F,2025-02-24,5,1.17,1.0,8,4,0,0.0
AF-06744EFE5F,2025-03-03,9,10.24,16.0,6,4,1,0.0
AF-06744EFE5F,2025-03-10,14,3.22,6.0,7,4,0,0.0
AF-06744EFE5F,2025-03-17,10,8.51,15.0,2,1,0,0.0
AF-06744EFE5F,2025-03-24,7,26.97,39.0,6,2,0,0.0
AF-06744EFE5F,2025-03-31,4,6.57,12.0,2,1,0,0.0
AF-06744EFE5F,2025-04-07,3,14.04,19.0,6,4,0,0.0
AF-06744EFE5F,2025-04-14,9,5.97,6.0,2,0,0,0.0
AF-06744EFE5F,2025-04-21,9,7.97,16.0,3,2,0,0.0
AF-06744EFE5F,2025-04-28,11,0.9,2.0,6,3,1,0.0
AF-06744EFE5F,2025-05-05,7,5.22,6.0,7,5,0,0.0
AF-06744EFE5F,2025-05-12,8,11.89,12.0,8,3,0,0.0
AF-06744EFE5F,2025-05-19,13,12.92,18.0,7,6,0,0.0
AF-06744EFE5F,2025-05-26,10,11.36,21.0,2,1,0,0.0
AF-06744EFE5F,2025-06-02,6,12.14,11.0,7,6,0,0.0
AF-06744EFE5F,2025-06-09,10,15.71,29.0,5,4,0,0.0
AF-02A7FBB908,2024-08-12,0,0.0,0.0,4,0,0,0.0
AF-02A7FBB908,2024-08-19,2,3.87,8.0,6,1,0,0.0
AF-02A7FBB908,2024-08-26,0,0.0,0.0,6,0,0,0.0
AF-02A7FBB908,2024-09-02,1,6.46,7.0,6,2,0,0.0
AF-02A7FBB908,2024-09-09,0,0.0,0.0,6,0,0,0.0
AF-02A7FBB908,2024-09-16,0,0.0,0.0,6,0,0,0.0
AF-02A7FBB908,2024-09-23,1,6.39,9.0,7,2,0,0.0
AF-02A7FBB908,2024-09-30,1,2.58,7.0,3,1,0,0.0
AF-02A7FBB908,2024-10-07,4,2.36,6.0,5,0,0,0.0
AF-02A7FBB908,2024-10-14,3,5.39,5.0,2,1,0,0.0
AF-02A7FBB908,2024-10-21,0,0.0,0.0,3,0,0,0.0
AF-02A7FBB908,2024-10-28,0,0.0,0.0,4,0,0,0.0
AF-02A7FBB908,2024-11-04,2,4.25,4.0,7,0,0,0.0
AF-02A7FBB908,2024-11-11,1,7.88,20.0,8,2,0,0.0
AF-02A7FBB908,2024-11-18,0,0.0,0.0,5,0,0,0.0
AF-02A7FBB908,2024-11-25,0,0.0,0.0,3,0,0,0.0
AF-02A7FBB908,2024-12-02,0,0.0,0.0,3,0,0,0.0
AF-02A7FBB908,2024-12-09,1,6.38,6.0,4,0,0,0.0
AF-02A7FBB908,2024-12-16,1,6.68,11.0,3,2,0,0.0
AF-02A7FBB908,2024-12-23,1,6.87,3.0,4,0,0,0.0
AF-02A7FBB908,2024-12-30,0,0.0,0.0,2,0,0,0.0
AF-02A7FBB908,2025-01-06,0,0.0,0.0,5,0,0,0.0
AF-02A7FBB908,2025-01-13,0,0.0,0.0,2,0,0,0.0
AF-02A7FBB908,2025-01-20,1,2.95,4.0,8,1,0,0.0
AF-02A7FBB908,2025-01-27,2,14.8,22.0,4,1,0,0.0
AF-02A7FBB908,2025-02-03,0,0.0,0.0,6,0,0,0.0
AF-02A7FBB908,2025-02-10,1,0.98,1.0,2,0,0,0.0
AF-02A7FBB908,2025-02-17,2,3.57,1.0,4,0,0,0.0
AF-02A7FBB908,2025-02-24,1,5.36,7.0,8,2,0,0.0
AF-02A7FBB908,2025-03-03,2,2.6,2.0,4,0,0,0.0
AF-02A7FBB908,2025-03-10,1,8.09,20.0,4,0,0,0.0
AF-02A7FBB908,2025-03-17,1,4.73,7.0,5,4,0,0.0
AF-02A7FBB908,2025-03-24,1,15.28,22.0,8,5,0,0.0
AF-02A7FBB908,2025-03-31,2,2.47,2.0,8,0,0,0.0
AF-02A7FBB908,2025-04-07,1,4.01,6.0,8,2,0,0.0
AF-02A7FBB908,2025-04-14,1,7.31,15.0,4,1,0,0.0
AF-02A7FBB908,2025-04-21,2,4.52,8.0,7,1,0,0.0
AF-02A7FBB908,2025-04-28,1,5.26,7.0,7,2,0,0.0
AF-02A7FBB908,2025-05-05,1,1.42,1.0,4,1,0,0.0
AF-02A7FBB908,2025-05-12,3,2.73,2.0,6,0,0,0.0
AF-02A7FBB908,2025-05-19,1,5.58,8.0,6,0,0,0.0
AF-02A7FBB908,2025-05-26,0,0.0,0.0,4,0,0,0.0
AF-02A7FBB908,2025-06-02,1,5.33,5.0,3,2,0,0.0
AF-02A7FBB908,2025-06-09,2,6.82,13.0,6,1,0,0.0
AF-AAC1AA1B94,2024-08-12,6,5.31,5.0,8,3,0,0.0
AF-AAC1AA1B94,2024-08-19,3,5.95,11.0,4,1,0,0.0
AF-AAC1AA1B94,2024-08-26,7,10.43,18.0,2,1,0,0.0
AF-AAC1AA1B94,2024-09-02,8,3.14,5.0,3,3,0,0.0
AF-AAC1AA1B94,2024-09-09,8,3.74,10.0,8,4,0,0.0
AF-AAC1AA1B94,2024-09-16,2,6.74,7.0,8,1,0,0.0
AF-AAC1AA1B94,2024-09-23,4,2.13,3.0,2,1,1,0.0
AF-AAC1AA1B94,2024-09-30,6,3.72,3.0,7,2,1,0.0
AF-AAC1AA1B94,2024-10-07,3,1.59,3.0,5,4,0,0.0
AF-AAC1AA1B94,2024-10-14,4,8.14,12.0,3,2,0,0.0
AF-AAC1AA1B94,2024-10-21,5,1.66,5.0,4,2,0,0.0
AF-AAC1AA1B94,2024-10-28,1,7.56,12.0,8,3,0,13.28
AF-AAC1AA1B94,2024-11-04,4,5.46,8.0,3,1,0,0.0
AF-AAC1AA1B94,2024-11-11,4,5.93,7.0,7,1,0,0.0
AF-AAC1AA1B94,2024-11-18,4,6.9,11.0,3,1,0,0.0
AF-AAC1AA1B94,2024-11-25,4,8.33,16.0,6,2,0,0.0
AF-AAC1AA1B94,2024-12-02,3,3.22,4.0,5,4,1,0.0
AF-AAC1AA1B94,2024-12-09,1,13.04,22.0,2,2,0,0.0
AF-AAC1AA1B94,2024-12-16,1,3.44,9.0,5,4,0,0.0
