aficionado_id,segmento_real,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia
AF-65EF21247A,Aficionado latente,45-54,Hombre,Socio digital,7.0,Pontevedra
AF-2B3AB5061B,Aficionado latente,25-34,Mujer,No socio,1.0,Pontevedra
AF-6F90121F11,Aficionado latente,25-34,Hombre,No socio,6.0,Madrid
AF-C1D4C0AE84,Consumidor de resultados,45-54,Hombre,No socio,15.0,Asturias
AF-763D1AE32E,Consumidor de resultados,45-54,Hombre,No socio,17.0,A Coruña
AF-49C5626CAB,Consumidor de resultados,55+,Hombre,Socio digital,3.0,A Coruña
AF-1474CF8C01,Aficionado latente,35-44,Hombre,No socio,5.0,A Coruña
AF-3481B694D0,Consumidor de resultados,35-44,Mujer,No socio,7.0,A Coruña
AF-9971FFA859,Hincha digital intensivo,45-54,Hombre,Abonado,0.0,Pontevedra
AF-4C7273FFED,Aficionado latente,18-24,Hombre,Socio digital,4.0,Pontevedra
AF-A5B3697FB4,Consumidor de resultados,55+,Hombre,Socio digital,5.0,Lugo
AF-4FB9134E94,Hincha digital intensivo,18-24,Hombre,Abonado,18.0,Madrid
AF-A815B06120,Hincha digital intensivo,18-24,Hombre,Abonado,9.0,A Coruña
AF-C1A4896EF2,Hincha digital intensivo,45-54,Hombre,Abonado,6.0,A Coruña
AF-603AD841D5,Consumidor de resultados,45-54,Hombre,Socio digital,12.0,Barcelona
AF-0854353552,Hincha digital intensivo,25-34,Hombre,Abonado,7.0,A Coruña
AF-4168AD29C5,Consumidor de resultados,25-34,Hombre,No socio,7.0,Otras
AF-DD6658753A,Comprador de servicios,55+,Mujer,Socio digital,9.0,Lugo
AF-03D31D32D1,Consumidor de resultados,55+,Hombre,No socio,2.0,Otras
AF-3E2E4F6732,Comprador de servicios,25-34,Mujer,No socio,10.0,Madrid
AF-FD7B174E7D,Comprador de servicios,45-54,Hombre,Abonado,8.0,Asturias
AF-CB5C4B455C,Hincha digital intensivo,25-34,Hombre,Abonado,11.0,A Coruña
AF-49783091D1,Aficionado latente,18-24,Hombre,No socio,5.0,Madrid
AF-410E6E8E11,Consumidor de resultados,45-54,Mujer,Socio digital,2.0,Otras
AF-19A52AA62C,Consumidor de resultados,18-24,Mujer,No socio,13.0,A Coruña
AF-E252B9DEB0,Consumidor de resultados,35-44,Hombre,Abonado,12.0,Otras
AF-B5451C7FBC,Comprador de servicios,45-54,Mujer,Abonado,9.0,A Coruña
AF-456DBCBD82,Aficionado latente,45-54,Hombre,Abonado,2.0,A Coruña
AF-394723D4CA,Comprador de servicios,35-44,Hombre,Abonado,6.0,A Coruña
AF-1EBC6DF383,Hincha digital intensivo,45-54,Hombre,Socio digital,8.0,A Coruña
AF-10CB24817B,Consumidor de resultados,45-54,Hombre,Abonado,1.0,Madrid
AF-8CC0E4BAC9,Consumidor de resultados,45-54,Mujer,No socio,9.0,Pontevedra
AF-652002CCB4,Aficionado latente,18-24,Hombre,No socio,13.0,Otras
AF-3A22B90256,Aficionado latente,35-44,Hombre,No socio,13.0,Asturias
AF-A7795441E2,Aficionado latente,25-34,Hombre,Abonado,4.0,Barcelona
AF-411A35070F,Aficionado latente,25-34,Mujer,Abonado,2.0,Pontevedra
AF-144466BB86,Aficionado latente,18-24,Hombre,Socio digital,3.0,Barcelona
AF-909FBC00C1,Consumidor de resultados,25-34,Hombre,No socio,16.0,A Coruña
AF-BC7AF3562A,Consumidor de resultados,55+,Mujer,Abonado,3.0,A Coruña
AF-2773ADC12A,Comprador de servicios,45-54,Mujer,No socio,12.0,Otras
AF-11372DB658,Aficionado latente,35-44,Hombre,No socio,7.0,A Coruña
AF-E34428C513,Aficionado latente,25-34,Hombre,Socio digital,5.0,A Coruña
AF-89936EF1BD,Hincha digital intensivo,25-34,Hombre,No socio,7.0,A Coruña
AF-FF0A5628C3,Hincha digital intensivo,35-44,Hombre,Socio digital,8.0,Madrid
AF-2DD887D95A,Comprador de servicios,25-34,Hombre,Abonado,25.0,Otras
AF-CCC266A90D,Comprador de servicios,55+,Hombre,Abonado,14.0,A Coruña
AF-45E34ED468,Comprador de servicios,45-54,Mujer,Abonado,4.0,Madrid
AF-1638AB16C0,Aficionado latente,45-54,Mujer,No socio,6.0,Otras
AF-EF380CD6EF,Aficionado latente,35-44,Mujer,No socio,7.0,A Coruña
AF-7A61605A98,Comprador de servicios,55+,Hombre,Socio digital,5.0,A Coruña
AF-3769394122,Consumidor de resultados,55+,Mujer,Socio digital,15.0,A Coruña
AF-5042777831,Consumidor de resultados,55+,Hombre,No socio,15.0,A Coruña
AF-EAB0CDA669,Consumidor de resultados,45-54,Mujer,No socio,21.0,Madrid
AF-212B327B44,Aficionado latente,25-34,Hombre,No socio,12.0,Lugo
AF-B42405808F,Consumidor de resultados,55+,Hombre,Socio digital,2.0,A Coruña
AF-A07E59016D,Aficionado latente,35-44,Hombre,No socio,8.0,A Coruña
AF-DB248B5054,Comprador de servicios,35-44,Hombre,No socio,14.0,A Coruña
AF-57A3CA65E8,Aficionado latente,18-24,Hombre,Socio digital,4.0,A Coruña
AF-54BEA61E2E,Aficionado latente,35-44,Mujer,Socio digital,8.0,Pontevedra
AF-DC91E7DC07,Consumidor de resultados,35-44,Mujer,Socio digital,9.0,Pontevedra
AF-EB0C8B61A0,Aficionado latente,55+,Hombre,Socio digital,11.0,Madrid
AF-5CEC3B7B77,Consumidor de resultados,45-54,Mujer,Socio digital,6.0,Asturias
AF-31D143245D,Comprador de servicios,35-44,Hombre,Abonado,11.0,A Coruña
AF-1D477AE65D,Aficionado latente,45-54,Hombre,Socio digital,14.0,A Coruña
AF-93907029AF,Comprador de servicios,55+,Hombre,Abonado,4.0,A Coruña
AF-D65659ABAF,Aficionado latente,25-34,Hombre,Socio digital,10.0,A Coruña
AF-CC61FCCE2F,Comprador de servicios,35-44,Hombre,Abonado,5.0,Lugo
AF-1414D8F783,Hincha digital intensivo,18-24,Hombre,Socio digital,9.0,Madrid
AF-D392C2E5DA,Hincha digital intensivo,25-34,Hombre,Abonado,8.0,A Coruña
AF-26CA954AD3,Hincha digital intensivo,18-24,Mujer,No socio,15.0,Otras
AF-D6DDD71315,Comprador de servicios,55+,Hombre,Abonado,7.0,Barcelona
AF-FE827538B4,Aficionado latente,25-34,Hombre,Socio digital,9.0,Barcelona
AF-D58924D2B0,Aficionado latente,45-54,Mujer,No socio,6.0,A Coruña
AF-6C34A76A92,Aficionado latente,35-44,Hombre,Abonado,2.0,A Coruña
AF-6E053AA9EF,Consumidor de resultados,55+,Hombre,No socio,0.0,A Coruña
AF-EE99C4E2F9,Aficionado latente,25-34,Hombre,Socio digital,6.0,A Coruña
AF-0EDCAE5ACC,Hincha digital intensivo,45-54,Hombre,Socio digital,1.0,Otras
AF-F55FCC8A41,Hincha digital intensivo,18-24,Mujer,Abonado,9.0,Lugo
AF-24C5F81B6B,Aficionado latente,55+,Mujer,No socio,6.0,A Coruña
AF-175D5B9CC0,Aficionado latente,35-44,Hombre,Abonado,7.0,A Coruña
AF-740FB848AA,Consumidor de resultados,35-44,Mujer,Socio digital,17.0,Otras
AF-6F7B99F922,Consumidor de resultados,25-34,Hombre,Abonado,2.0,Pontevedra
AF-999C79DAA3,Comprador de servicios,55+,Hombre,Abonado,4.0,Pontevedra
AF-C40C492835,Consumidor de resultados,35-44,Hombre,Abonado,2.0,Madrid
AF-B26803DFB9,Aficionado latente,35-44,Mujer,Socio digital,6.0,Pontevedra
AF-12B11DAE37,Hincha digital intensivo,18-24,Mujer,Abonado,2.0,Asturias
AF-1628E653BD,Hincha digital intensivo,25-34,Hombre,No socio,13.0,Otras
AF-A333470BFF,Aficionado latente,55+,Hombre,Socio digital,6.0,A Coruña
AF-17BAD2C4FA,Hincha digital intensivo,25-34,Hombre,No socio,7.0,Ourense
AF-7DC4ABFDF1,Comprador de servicios,35-44,Mujer,Abonado,12.0,Otras
AF-F3702708F3,Consumidor de resultados,18-24,Mujer,Socio digital,4.0,A Coruña
AF-34F4154B2A,Comprador de servicios,45-54,Mujer,Abonado,14.0,Pontevedra
AF-4A517DC606,Consumidor de resultados,35-44,Hombre,Socio digital,14.0,Pontevedra
AF-2C5E0CD6CB,Comprador de servicios,25-34,Hombre,Socio digital,12.0,Pontevedra
AF-32A91B7529,Consumidor de resultados,18-24,Hombre,No socio,9.0,Lugo
AF-6208D16BFB,Aficionado latente,25-34,Hombre,Socio digital,13.0,Otras
AF-6D7CB56261,Aficionado latente,35-44,Hombre,No socio,12.0,Otras
AF-22BE0089F9,Hincha digital intensivo,18-24,Hombre,No socio,10.0,Ourense
AF-600BB58746,Aficionado latente,25-34,Hombre,Socio digital,5.0,Madrid
AF-4A556848A6,Consumidor de resultados,55+,Hombre,No socio,3.0,A Coruña
AF-402AD584CD,Consumidor de resultados,35-44,Hombre,No socio,5.0,A Coruña
AF-C96BAE872D,Aficionado latente,35-44,Hombre,No socio,4.0,Pontevedra
AF-8A05485085,Aficionado latente,25-34,Hombre,No socio,14.0,A Coruña
AF-DAFD40896B,Hincha digital intensivo,35-44,Hombre,Abonado,9.0,Lugo
AF-143CB2A0E2,Comprador de servicios,55+,Hombre,Abonado,5.0,Pontevedra
AF-F460442BFB,Consumidor de resultados,25-34,Hombre,No socio,8.0,Pontevedra
AF-06953068FD,Hincha digital intensivo,45-54,Hombre,Socio digital,5.0,A Coruña
AF-98C34A97B2,Comprador de servicios,45-54,Hombre,Abonado,3.0,A Coruña
AF-896C5F3793,Comprador de servicios,55+,Mujer,Abonado,7.0,A Coruña
AF-DA94774B70,Comprador de servicios,35-44,Mujer,Abonado,9.0,A Coruña
AF-F400E58470,Consumidor de resultados,55+,Hombre,Socio digital,22.0,A Coruña
AF-30342EA8A4,Aficionado latente,25-34,Hombre,Abonado,9.0,A Coruña
AF-1CB7246457,Consumidor de resultados,55+,Mujer,No socio,8.0,Asturias
AF-6BA793D80F,Comprador de servicios,35-44,Mujer,Abonado,4.0,A Coruña
AF-BBD69AADDF,Hincha digital intensivo,18-24,Hombre,Socio digital,4.0,A Coruña
AF-6CD26D3F1C,Consumidor de resultados,25-34,Hombre,Abonado,12.0,A Coruña
AF-A50691A828,Consumidor de resultados,25-34,Mujer,No socio,8.0,A Coruña
AF-D17BE07C0D,Hincha digital intensivo,35-44,Mujer,No socio,21.0,Pontevedra
AF-CFCA38D54A,Aficionado latente,25-34,Mujer,No socio,8.0,Ourense
AF-AA67DE87B4,Consumidor de resultados,35-44,Hombre,Abonado,4.0,Otras
AF-D0668D260E,Consumidor de resultados,35-44,Hombre,Abonado,2.0,A Coruña
AF-6B5DFF30F4,Aficionado latente,55+,Hombre,No socio,5.0,Ourense
AF-04F75F1049,Consumidor de resultados,35-44,Hombre,Abonado,4.0,Asturias
AF-05B986C441,Comprador de servicios,45-54,Mujer,Abonado,13.0,Madrid
AF-8B077178D3,Consumidor de resultados,25-34,Hombre,No socio,7.0,Lugo
AF-30873AE9E8,Hincha digital intensivo,25-34,Hombre,Socio digital,13.0,Lugo
AF-0ED9E9E99B,Aficionado latente,45-54,Hombre,No socio,11.0,A Coruña
AF-BC3CC8F485,Aficionado latente,45-54,Hombre,Socio digital,2.0,A Coruña
AF-7213AE94AB,Consumidor de resultados,25-34,Hombre,No socio,10.0,Ourense
AF-67297445DE,Consumidor de resultados,35-44,Hombre,No socio,23.0,Lugo
AF-43BA9BE1C9,Comprador de servicios,25-34,Hombre,No socio,18.0,Lugo
AF-590175AA46,Consumidor de resultados,18-24,Hombre,Abonado,11.0,A Coruña
AF-109665EFBB,Comprador de servicios,55+,Hombre,Abonado,7.0,Pontevedra
AF-0310578487,Aficionado latente,35-44,Mujer,Abonado,2.0,A Coruña
AF-A5E26504A3,Aficionado latente,45-54,Hombre,No socio,9.0,A Coruña
AF-8D91D0AC31,Comprador de servicios,45-54,Hombre,Abonado,3.0,Pontevedra
AF-5E49F400D5,Comprador de servicios,35-44,Mujer,Abonado,11.0,Lugo
AF-851DB5B373,Consumidor de resultados,55+,Hombre,Socio digital,5.0,A Coruña
AF-4B05943E7E,Aficionado latente,25-34,Hombre,Socio digital,7.0,Asturias
AF-EFCDCAADF4,Comprador de servicios,45-54,Hombre,Abonado,6.0,Lugo
AF-0CA96F5218,Comprador de servicios,55+,Hombre,Abonado,6.0,A Coruña
AF-627DE66A57,Aficionado latente,45-54,Hombre,Abonado,8.0,Barcelona
AF-ED0F0DFAB5,Consumidor de resultados,18-24,Hombre,Abonado,15.0,A Coruña
AF-AA97544E0C,Comprador de servicios,55+,Hombre,Abonado,3.0,Barcelona
AF-FD64D12480,Aficionado latente,35-44,Mujer,No socio,2.0,Pontevedra
AF-2A695FC7CF,Aficionado latente,55+,Mujer,No socio,21.0,Lugo
AF-5A30EADD73,Comprador de servicios,55+,Hombre,Abonado,11.0,A Coruña
AF-79AF3DC633,Aficionado latente,45-54,Hombre,No socio,2.0,A Coruña
AF-FB007511E8,Aficionado latente,35-44,Hombre,Abonado,6.0,Madrid
AF-7B435C933B,Comprador de servicios,25-34,Hombre,Abonado,14.0,A Coruña
AF-BE3747E8CE,Aficionado latente,25-34,Mujer,Abonado,5.0,Madrid
AF-DF9D95D570,Consumidor de resultados,35-44,Hombre,Socio digital,7.0,A Coruña
AF-6CB5A19644,Consumidor de resultados,35-44,Hombre,No socio,5.0,A Coruña
AF-1B195FCA16,Hincha digital intensivo,45-54,Mujer,Socio digital,5.0,Asturias
AF-A40362A298,Aficionado latente,25-34,Mujer,No socio,3.0,A Coruña
AF-2373DEFEFF,Comprador de servicios,35-44,Hombre,Socio digital,2.0,A Coruña
AF-7CFAAD0E4F,Comprador de servicios,45-54,Hombre,Socio digital,1.0,Barcelona
AF-96B11E01C7,Aficionado latente,55+,Hombre,No socio,7.0,A Coruña
AF-999742BD15,Aficionado latente,55+,Hombre,Socio digital,6.0,A Coruña
AF-643D81931C,Consumidor de resultados,55+,Hombre,Abonado,6.0,Pontevedra
AF-1CFB2E5001,Consumidor de resultados,18-24,Mujer,Socio digital,11.0,A Coruña
AF-CA75C1A6E9,Hincha digital intensivo,18-24,Mujer,Socio digital,9.0,A Coruña
AF-8BA1F283B6,Comprador de servicios,35-44,Hombre,Abonado,5.0,Pontevedra
AF-600104F386,Consumidor de resultados,45-54,Mujer,No socio,10.0,Otras
AF-FD358DC954,Comprador de servicios,25-34,Hombre,Abonado,10.0,Pontevedra
AF-22A56BDD5F,Hincha digital intensivo,55+,Hombre,Abonado,6.0,A Coruña
AF-654CEF3F7E,Hincha digital intensivo,55+,Hombre,No socio,1.0,Lugo
AF-1E52CA2E4F,Aficionado latente,45-54,Mujer,No socio,9.0,Asturias
AF-EA6C039823,Consumidor de resultados,55+,Mujer,No socio,12.0,A Coruña
AF-6BD9730D51,Consumidor de resultados,35-44,Mujer,Socio digital,2.0,A Coruña
AF-AE5402B762,Consumidor de resultados,35-44,Hombre,No socio,19.0,A Coruña
AF-EBD5DE8DBC,Consumidor de resultados,55+,Hombre,No socio,13.0,A Coruña
AF-57CBA26542,Aficionado latente,55+,Hombre,Abonado,12.0,Otras
AF-15E29CC1AE,Comprador de servicios,25-34,Mujer,Abonado,7.0,Madrid
AF-82598CD404,Consumidor de resultados,35-44,Hombre,Abonado,16.0,Asturias
AF-41551BABE4,Hincha digital intensivo,18-24,Hombre,Abonado,12.0,A Coruña
AF-1E2E07EE37,Aficionado latente,35-44,Hombre,No socio,12.0,Otras
AF-726A3BD3D6,Comprador de servicios,55+,Mujer,Socio digital,4.0,A Coruña
AF-0CB4F643E4,Consumidor de resultados,35-44,Mujer,Abonado,19.0,A Coruña
AF-84FFD8A2B7,Comprador de servicios,45-54,Hombre,Abonado,4.0,A Coruña
AF-5D576E670F,Aficionado latente,45-54,Hombre,No socio,19.0,Pontevedra
AF-084100F6BA,Consumidor de resultados,25-34,Hombre,Abonado,3.0,A Coruña
AF-669495C696,Consumidor de resultados,35-44,Mujer,No socio,8.0,Pontevedra
AF-BE4F399505,Comprador de servicios,25-34,Mujer,Abonado,12.0,Pontevedra
AF-50835C43DB,Consumidor de resultados,45-54,Mujer,Socio digital,13.0,Madrid
AF-E4411B9DA3,Consumidor de resultados,55+,Hombre,No socio,3.0,A Coruña
AF-EA85019ABD,Aficionado latente,25-34,Hombre,Socio digital,20.0,Pontevedra
AF-A80934298E,Consumidor de resultados,35-44,Mujer,No socio,6.0,Madrid
AF-9A273826EF,Aficionado latente,55+,Hombre,Socio digital,4.0,A Coruña
AF-B5DF7AE365,Consumidor de resultados,55+,Hombre,No socio,2.0,Pontevedra
AF-BDDBD950A0,Comprador de servicios,18-24,Mujer,Abonado,10.0,Lugo
AF-AB31BCBB77,Comprador de servicios,25-34,Hombre,Abonado,25.0,Barcelona
AF-63E9337F52,Aficionado latente,45-54,Mujer,No socio,11.0,Lugo
AF-3657255DA5,Comprador de servicios,45-54,Hombre,Socio digital,7.0,A Coruña
AF-F651274BD0,Comprador de servicios,35-44,Hombre,No socio,1.0,A Coruña
AF-27800CCF31,Aficionado latente,45-54,Hombre,No socio,10.0,A Coruña
AF-CF6CE97B3D,Hincha digital intensivo,35-44,Mujer,Socio digital,5.0,A Coruña
AF-3D8B6C1E09,Hincha digital intensivo,25-34,Hombre,Socio digital,12.0,A Coruña
AF-CFFC781C73,Comprador de servicios,35-44,Mujer,Abonado,2.0,A Coruña
AF-7433C9438C,Hincha digital intensivo,25-34,Hombre,Abonado,0.0,Otras
AF-5DA1ADF1E9,Aficionado latente,25-34,Hombre,Abonado,4.0,A Coruña
AF-598AB2DA8A,Aficionado latente,45-54,Mujer,Abonado,8.0,Pontevedra
AF-761658F2BD,Comprador de servicios,25-34,Mujer,Abonado,3.0,Otras
AF-3F7F9DC5F1,Aficionado latente,45-54,Hombre,Abonado,4.0,A Coruña
AF-499A26AB8C,Consumidor de resultados,25-34,Hombre,No socio,2.0,Ourense
AF-6A0BDB3C30,Consumidor de resultados,55+,Mujer,Abonado,2.0,Ourense
AF-F3E564F927,Aficionado latente,35-44,Hombre,Socio digital,1.0,Madrid
AF-76CEA2C66A,Comprador de servicios,55+,Hombre,Socio digital,14.0,A Coruña
AF-863C2B41ED,Aficionado latente,35-44,Hombre,No socio,4.0,A Coruña
AF-14C1F00E40,Comprador de servicios,25-34,Hombre,Socio digital,5.0,Pontevedra
AF-3E6A03AEB3,Consumidor de resultados,45-54,Mujer,No socio,7.0,Otras
AF-64F4858FEE,Consumidor de resultados,18-24,Mujer,No socio,26.0,Pontevedra
AF-675978FEF2,Comprador de servicios,25-34,Hombre,Socio digital,3.0,A Coruña
AF-25C1C84C96,Comprador de servicios,35-44,Hombre,Socio digital,7.0,Pontevedra
AF-ADA410271E,Aficionado latente,18-24,Mujer,No socio,3.0,Otras
AF-4EAC975B19,Consumidor de resultados,45-54,Hombre,Abonado,2.0,Ourense
AF-7FF96A0E40,Consumidor de resultados,35-44,Mujer,Socio digital,3.0,Barcelona
AF-AC0CFF5D63,Comprador de servicios,35-44,Mujer,Socio digital,4.0,Pontevedra
AF-E54BDDDC16,Consumidor de resultados,35-44,Hombre,Abonado,10.0,A Coruña
AF-38C2B6EB67,Hincha digital intensivo,18-24,Hombre,Socio digital,4.0,Madrid
AF-C3589AFEC7,Aficionado latente,45-54,Hombre,Abonado,6.0,A Coruña
AF-314C770EEA,Consumidor de resultados,35-44,Hombre,No socio,17.0,A Coruña
AF-A1671A4891,Consumidor de resultados,45-54,Hombre,No socio,12.0,A Coruña
AF-AD04FBE72A,Consumidor de resultados,45-54,Hombre,Abonado,12.0,Ourense
AF-6EEC8A1495,Comprador de servicios,55+,Hombre,Abonado,10.0,A Coruña
AF-9F4D3130C3,Consumidor de resultados,55+,Mujer,Abonado,2.0,Madrid
AF-D8F72C4218,Consumidor de resultados,18-24,Hombre,Socio digital,8.0,A Coruña
AF-158AEACECF,Consumidor de resultados,18-24,Mujer,Abonado,7.0,A Coruña
AF-975B6BDE94,Comprador de servicios,35-44,Hombre,Socio digital,13.0,A Coruña
AF-6778112FE1,Aficionado latente,45-54,Hombre,No socio,9.0,A Coruña
AF-D63E2893EC,Comprador de servicios,55+,Hombre,Abonado,9.0,A Coruña
AF-3E62E6665C,Consumidor de resultados,55+,Mujer,No socio,6.0,A Coruña
AF-D01CA12D7A,Comprador de servicios,45-54,Hombre,Abonado,1.0,Asturias
AF-28F2950862,Aficionado latente,45-54,Mujer,No socio,6.0,A Coruña
AF-00AF58751E,Consumidor de resultados,35-44,Hombre,No socio,5.0,A Coruña
AF-2628BC21AE,Consumidor de resultados,45-54,Hombre,Socio digital,6.0,A Coruña
AF-F98BFAF0F4,Aficionado latente,35-44,Hombre,Socio digital,4.0,Pontevedra
AF-C80C626CD6,Hincha digital intensivo,35-44,Mujer,Socio digital,7.0,A Coruña
AF-827EBC2AC6,Consumidor de resultados,55+,Hombre,No socio,12.0,Lugo
AF-24B8528E33,Consumidor de resultados,35-44,Mujer,No socio,8.0,A Coruña
AF-B8336155FF,Hincha digital intensivo,18-24,Hombre,No socio,4.0,A Coruña
AF-4F2DE3F242,Aficionado latente,25-34,Mujer,No socio,5.0,A Coruña
AF-C714133C8D,Consumidor de resultados,45-54,Hombre,No socio,2.0,A Coruña
AF-9B97A27F79,Consumidor de resultados,25-34,Hombre,Socio digital,4.0,A Coruña
AF-7B47FAD197,Aficionado latente,18-24,Hombre,No socio,5.0,Lugo
AF-C47B01CF84,Hincha digital intensivo,25-34,Mujer,Socio digital,5.0,Lugo
AF-0C9CC4E4EE,Hincha digital intensivo,25-34,Mujer,Abonado,2.0,Asturias
AF-971986CA93,Hincha digital intensivo,18-24,Hombre,Abonado,9.0,A Coruña
AF-DA1D163EF6,Hincha digital intensivo,18-24,Hombre,Socio digital,1.0,Lugo
AF-20E590D37E,Consumidor de resultados,45-54,Mujer,No socio,5.0,Asturias
AF-2942AC1745,Comprador de servicios,35-44,Mujer,Socio digital,15.0,Pontevedra
AF-6EAC1C4E52,Hincha digital intensivo,45-54,Mujer,Abonado,18.0,Madrid
AF-B7AB9D06AE,Aficionado latente,55+,Hombre,No socio,6.0,Lugo
AF-8B0B040615,Consumidor de resultados,25-34,Hombre,No socio,11.0,A Coruña
AF-DA1E27813C,Hincha digital intensivo,25-34,Mujer,Socio digital,4.0,Ourense
AF-4AFBC4265B,Consumidor de resultados,35-44,Hombre,Socio digital,20.0,Otras
AF-71F0689277,Aficionado latente,55+,Hombre,Socio digital,3.0,A Coruña
AF-4ECA50849E,Hincha digital intensivo,35-44,Mujer,No socio,13.0,Pontevedra
AF-58273DDA6C,Hincha digital intensivo,18-24,Hombre,Socio digital,14.0,Pontevedra
AF-85E44E732B,Consumidor de resultados,25-34,Mujer,Abonado,2.0,Otras
AF-646E8D15A2,Comprador de servicios,35-44,Hombre,Abonado,14.0,A Coruña
AF-0CB99E2C3D,Consumidor de resultados,25-34,Mujer,No socio,7.0,Asturias
AF-7826A82F9C,Consumidor de resultados,18-24,Mujer,No socio,4.0,Barcelona
AF-29C3EECA07,Comprador de servicios,45-54,Mujer,Abonado,3.0,Pontevedra
AF-03D405D2E1,Comprador de servicios,35-44,Hombre,Abonado,10.0,Otras
AF-2CFBB16FDC,Hincha digital intensivo,25-34,Hombre,No socio,11.0,Lugo
AF-9E1E2EACC0,Aficionado latente,18-24,Hombre,Socio digital,10.0,A Coruña
AF-450CD59F6A,Consumidor de resultados,25-34,Hombre,No socio,9.0,A Coruña
AF-D4860A84B1,Comprador de servicios,25-34,Mujer,Abonado,5.0,Otras
AF-C2D0DB0134,Hincha digital intensivo,45-54,Hombre,No socio,6.0,Pontevedra
AF-5A1ABBCCE9,Consumidor de resultados,45-54,Hombre,Socio digital,3.0,A Coruña
AF-59542D6595,Comprador de servicios,18-24,Hombre,Socio digital,1.0,Barcelona
AF-E253835673,Aficionado latente,35-44,Mujer,Abonado,18.0,Pontevedra
AF-1FE768FF76,Aficionado latente,25-34,Mujer,Socio digital,10.0,A Coruña
AF-1D6745E098,Aficionado latente,18-24,Mujer,Abonado,3.0,Lugo
AF-30BA329EAB,Aficionado latente,35-44,Hombre,Abonado,2.0,Lugo
AF-5FF2B1CCD0,Hincha digital intensivo,25-34,Hombre,Socio digital,6.0,Madrid
AF-F82DFE8137,Aficionado latente,45-54,Hombre,No socio,2.0,A Coruña
AF-9EB62F3FDE,Comprador de servicios,45-54,Hombre,Abonado,15.0,A Coruña
AF-BABA8E59D9,Aficionado latente,35-44,Mujer,No socio,3.0,A Coruña
AF-8F1186AA9D,Comprador de servicios,35-44,Hombre,No socio,9.0,A Coruña
AF-DDF84C537F,Aficionado latente,55+,Hombre,Abonado,14.0,A Coruña
