post_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,alcance,impresiones,likes,comentarios,compartidos,guardados,comentarios_positivos,comentarios_negativos,interacciones,engagement_rate,atipico
P00013,2024-08-06,Facebook,Entrenamiento,Imagen,0,16197.0,19351.0,135.0,12,7,13.0,6,2,167.0,0.010310551336667284,False
P00014,2024-08-06,TikTok,Fichajes,Vídeo corto,0,10964.0,16916.0,1372.0,96,94,54.0,46,25,1616.0,0.14739146296971908,False
P00015,2024-08-07,Instagram,Afición,Vídeo corto,0,20360.0,26734.0,1605.0,89,153,75.0,48,24,1922.0,0.09440078585461689,False
P00016,2024-08-07,Instagram,Cantera,Carrusel,0,8165.0,12746.0,529.0,26,43,17.0,12,6,615.0,0.07532149418248622,False
P00017,2024-08-07,Instagram,Afición,Imagen,0,16209.0,21518.0,721.0,43,61,28.0,20,10,853.0,0.052625084829415754,False
P00018,2024-08-07,YouTube,Cantera,Vídeo largo,0,2577.0,3718.0,53.0,2,3,5.0,0,0,63.0,0.024447031431897557,False
P00019,2024-08-07,YouTube,Efeméride,Vídeo corto,0,4623.0,6682.0,127.0,10,8,15.0,5,2,160.0,0.03460956089119619,False
P00020,2024-08-07,YouTube,Efeméride,Vídeo largo,0,3353.0,5454.0,69.0,5,6,1.0,2,1,81.0,0.02415747092156278,False
P00021,2024-08-08,Instagram,Afición,Carrusel,0,44155.0,69828.0,2147.0,193,161,163.0,111,39,2664.0,0.06033291812931718,False
P00022,2024-08-08,Instagram,Previa,Imagen,0,16303.0,20913.0,562.0,32,58,63.0,16,8,715.0,0.043856958841930936,False
P00023,2024-08-08,X,Entrenamiento,Texto,0,15970.0,24290.0,90.0,7,5,4.0,4,1,106.0,0.006637445209768315,False
P00024,2024-08-08,X,Cantera,Vídeo corto,0,31690.0,39759.0,719.0,38,63,71.0,22,6,891.0,0.02811612496055538,False
P00025,2024-08-08,YouTube,Resumen,Vídeo corto,0,6351.0,10404.0,491.0,32,26,58.0,14,9,607.0,0.09557549992127225,False
P00026,2024-08-08,YouTube,Fichajes,Vídeo corto,0,4775.0,7606.0,261.0,15,13,18.0,8,3,307.0,0.06429319371727749,False
P00027,2024-08-08,YouTube,Entrenamiento,Vídeo largo,0,5763.0,7898.0,118.0,7,7,12.0,3,1,144.0,0.024986985944820406,False
P00028,2024-08-09,Instagram,Entrenamiento,Vídeo corto,0,23526.0,38595.0,1203.0,75,124,50.0,38,16,1452.0,0.06171894924764091,False
P00029,2024-08-09,Instagram,Resumen,Imagen,0,18208.0,28163.0,862.0,66,86,28.0,35,14,1042.0,0.05722759226713533,False
P00030,2024-08-09,Instagram,Entrenamiento,Carrusel,0,16855.0,23740.0,286.0,25,29,25.0,12,4,365.0,0.021655295164639574,False
P00031,2024-08-09,X,Resumen,Vídeo corto,0,14988.0,19301.0,627.0,56,41,51.0,24,13,775.0,0.05170803309314118,False
P00032,2024-08-09,X,Efeméride,Texto,0,18576.0,22868.0,169.0,8,15,14.0,4,1,206.0,0.011089577950043067,False
P00033,2024-08-09,Facebook,Afición,Carrusel,0,28377.0,36427.0,398.0,32,26,48.0,17,8,504.0,0.017760862670472565,False
P00034,2024-08-09,Facebook,Efeméride,Imagen,0,5523.0,7897.0,41.0,2,3,2.0,1,0,48.0,0.008690928843020097,False
P00035,2024-08-10,Instagram,Institucional,Carrusel,0,16082.0,25533.0,474.0,39,47,46.0,21,9,606.0,0.037681880363138916,False
P00036,2024-08-10,Instagram,Institucional,Carrusel,0,13341.0,15290.0,273.0,14,21,15.0,7,3,323.0,0.02421107862978787,False
P00037,2024-08-10,X,Efeméride,Imagen,0,12686.0,17448.0,177.0,16,9,10.0,7,4,212.0,0.016711335330285355,False
P00038,2024-08-10,X,Efeméride,Texto,0,18592.0,27527.0,248.0,17,14,24.0,9,2,303.0,0.0162973321858864,False
P00039,2024-08-10,X,Afición,Vídeo corto,0,19118.0,26026.0,299.0,16,20,40.0,7,3,375.0,0.019615022491892457,False
P00040,2024-08-10,X,Entrenamiento,Imagen,0,20731.0,25303.0,254.0,16,24,16.0,8,3,310.0,0.014953451353046163,False
P00041,2024-08-10,X,Entrenamiento,Imagen,0,14115.0,16148.0,255.0,16,19,10.0,7,4,300.0,0.021253985122210415,False
P00042,2024-08-10,Facebook,Efeméride,Vídeo corto,0,4969.0,6214.0,86.0,8,7,0.0,3,3,101.0,0.02032602133226001,False
P00043,2024-08-10,YouTube,Resumen,Vídeo largo,0,1555.0,7337.0,36.0,1,3,4.0,0,0,44.0,0.02829581993569132,False
P00044,2024-08-10,YouTube,Entrenamiento,Vídeo largo,0,5431.0,8213.0,114.0,6,9,13.0,3,1,142.0,0.02614619775363653,False
P00045,2024-08-11,Instagram,Afición,Vídeo largo,0,36004.0,55047.0,2164.0,120,177,160.0,58,21,2621.0,0.07279746694811688,False
P00046,2024-08-11,X,Patrocinador,Imagen,0,28419.0,34819.0,120.0,5,9,9.0,2,0,143.0,0.005031844892501495,False
P00047,2024-08-11,Facebook,Fichajes,Imagen,0,9052.0,13561.0,84.0,5,7,11.0,3,1,107.0,0.011820592134334954,False
P00048,2024-08-12,Instagram,Entrenamiento,Carrusel,0,8624.0,11326.0,361.0,24,34,18.0,12,4,437.0,0.05067254174397032,False
P00049,2024-08-12,X,Entrenamiento,Texto,0,18370.0,22070.0,237.0,21,22,16.0,12,3,296.0,0.016113228089275993,False
P00050,2024-08-12,Facebook,Entrenamiento,Vídeo largo,0,22544.0,26780.0,159.0,7,8,16.0,3,1,190.0,0.008427963094393186,False
P00051,2024-08-12,YouTube,Entrenamiento,Vídeo largo,0,7628.0,11893.0,91.0,6,9,9.0,3,1,115.0,0.015076035658101731,False
P00052,2024-08-13,Instagram,Entrenamiento,Texto,0,58635.0,91261.0,1750.0,126,87,168.0,76,21,2131.0,0.03634348085614394,False
P00053,2024-08-13,Instagram,Cantera,Imagen,0,24134.0,38280.0,465.0,37,23,52.0,18,8,577.0,0.02390817933206265,False
P00054,2024-08-13,Instagram,Previa,Vídeo corto,0,32958.0,43528.0,1790.0,121,130,77.0,68,22,2118.0,0.06426360822865465,False
P00055,2024-08-13,YouTube,Patrocinador,Vídeo corto,0,5773.0,8122.0,86.0,4,4,6.0,2,0,100.0,0.017322016282695307,False
P00056,2024-08-14,Instagram,Fichajes,Vídeo corto,0,10684.0,16002.0,981.0,85,85,70.0,39,15,1221.0,0.11428304005990265,False
P00057,2024-08-14,Instagram,Resumen,Imagen,0,29972.0,46864.0,2194.0,106,139,200.0,60,21,2639.0,0.0880488455892166,False
P00058,2024-08-14,Instagram,Efeméride,Imagen,0,19064.0,31086.0,598.0,34,34,59.0,18,9,725.0,0.03802979437683592,False
P00059,2024-08-15,Instagram,Institucional,Carrusel,0,66663.0,89255.0,2119.0,187,137,55.0,73,40,2498.0,0.03747206096335298,False
P00060,2024-08-15,X,Cantera,Texto,0,12828.0,15535.0,85.0,5,8,7.0,2,1,105.0,0.008185219831618335,False
P00061,2024-08-15,Facebook,Afición,Imagen,0,16033.0,22470.0,464.0,22,38,36.0,11,6,560.0,0.03492796108027194,False
P00062,2024-08-15,TikTok,Afición,Vídeo corto,0,5686.0,7205.0,664.0,49,62,41.0,29,10,816.0,0.14351037636299682,False
P00063,2024-08-15,YouTube,Entrenamiento,Vídeo corto,0,3761.0,5165.0,170.0,14,17,9.0,6,3,210.0,0.05583621377293273,False
P00064,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,10510.0,14950.0,212.0,19,10,10.0,11,3,251.0,0.023882017126546147,False
P00065,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,20264.0,24864.0,706.0,39,51,10.0,23,6,806.0,0.0397749703908409,False
P00066,2024-08-16,YouTube,Previa,Vídeo largo,0,4295.0,4924.0,102.0,7,11,11.0,4,1,131.0,0.03050058207217695,False
P00067,2024-08-17,Instagram,Afición,Vídeo largo,1,24249.0,27346.0,883.0,64,88,0.0,29,19,1035.0,0.04268217246072003,False
P00068,2024-08-17,Instagram,Directo,Carrusel,1,20673.0,26479.0,1589.0,98,149,16.0,50,28,1852.0,0.08958544962027766,False
P00069,2024-08-17,X,Previa,Imagen,1,16984.0,21807.0,153.0,10,15,8.0,6,1,186.0,0.01095148374941121,False
P00070,2024-08-17,X,Resumen,Vídeo corto,1,19024.0,22495.0,439.0,33,38,26.0,16,8,536.0,0.028174936921783012,False
P00071,2024-08-17,Facebook,Resumen,Imagen,1,17880.0,21797.0,312.0,21,33,31.0,13,4,397.0,0.02220357941834452,False
P00072,2024-08-17,Facebook,Patrocinador,Vídeo corto,1,48391.0,68276.0,380.0,22,27,14.0,10,5,443.0,0.009154594862681078,False
P00073,2024-08-17,Facebook,Afición,Imagen,1,29187.0,42661.0,312.0,22,27,19.0,10,5,380.0,0.013019494980642067,False
P00074,2024-08-17,Facebook,Institucional,Imagen,1,26155.0,32101.0,153.0,8,15,6.0,4,1,182.0,0.006958516536035175,False
P00075,2024-08-17,TikTok,Resumen,Vídeo corto,1,11598.0,14547.0,1754.0,163,152,179.0,88,30,2248.0,0.19382652181410587,False
P00076,2024-08-17,TikTok,Afición,Vídeo corto,1,6846.0,8334.0,886.0,50,73,110.0,25,11,1119.0,0.16345311130587203,False
P00077,2024-08-17,TikTok,Resumen,Vídeo corto,1,4333.0,4941.0,1172.0,93,90,79.0,40,27,1434.0,0.33094853450265405,False
P00078,2024-08-17,YouTube,Previa,Vídeo corto,1,8582.0,12972.0,279.0,22,17,37.0,11,4,355.0,0.041365649032859476,False
P00079,2024-08-17,YouTube,Resumen,Vídeo largo,1,16046.0,19867.0,1147.0,100,86,67.0,51,18,1400.0,0.08724915866882713,False
P00080,2024-08-17,YouTube,Resumen,Vídeo largo,1,2530.0,3988.0,83.0,7,4,5.0,4,1,99.0,0.0391304347826087,False
P00081,2024-08-18,Instagram,Efeméride,Imagen,0,13172.0,16759.0,508.0,44,55,37.0,22,7,644.0,0.04889158821743091,False
P00082,2024-08-18,Instagram,Previa,Vídeo largo,0,19465.0,21865.0,398.0,32,31,12.0,15,6,473.0,0.024300025687130748,False
P00083,2024-08-18,Instagram,Institucional,Carrusel,0,31532.0,40881.0,1127.0,84,81,91.0,40,18,1383.0,0.0438602055055182,False
P00084,2024-08-18,X,Entrenamiento,Vídeo corto,0,23148.0,33325.0,267.0,22,23,22.0,11,4,334.0,0.014428892344911008,False
P00085,2024-08-18,X,Previa,Texto,0,19148.0,28657.0,88.0,5,7,9.0,2,1,109.0,0.005692500522247754,False
P00086,2024-08-18,Facebook,Directo,Imagen,0,23051.0,33845.0,282.0,18,17,32.0,8,4,349.0,0.015140340983037612,False
P00087,2024-08-19,Instagram,Entrenamiento,Carrusel,0,21050.0,26163.0,779.0,39,60,107.0,22,7,985.0,0.04679334916864608,False
P00088,2024-08-19,Instagram,Efeméride,Vídeo corto,0,28290.0,39021.0,2105.0,142,230,217.0,67,41,2694.0,0.09522799575821846,False
P00089,2024-08-19,YouTube,Entrenamiento,Vídeo largo,0,4668.0,6789.0,54.0,2,3,8.0,1,0,67.0,0.014353041988003428,False
P00090,2024-08-20,Facebook,Entrenamiento,Vídeo largo,0,16714.0,22502.0,100.0,8,9,4.0,4,1,121.0,0.007239439990427187,False
P00091,2024-08-21,Instagram,Entrenamiento,Imagen,0,11208.0,16099.0,350.0,22,26,22.0,11,6,420.0,0.03747323340471092,False
P00092,2024-08-21,Instagram,Efeméride,Vídeo corto,0,16197.0,26649.0,888.0,75,86,42.0,40,18,1091.0,0.06735815274433538,False
P00093,2024-08-21,X,Efeméride,Carrusel,0,12390.0,15634.0,324.0,21,26,9.0,13,3,380.0,0.03066989507667474,False
P00094,2024-08-21,X,Patrocinador,Texto,0,28251.0,46130.0,123.0,7,12,7.0,3,1,149.0,0.005274149587625216,False
P00095,2024-08-21,TikTok,Entrenamiento,Vídeo corto,0,5021.0,6848.0,284.0,24,29,11.0,13,6,348.0,0.06930890260904202,False
P00096,2024-08-22,Instagram,Afición,Imagen,0,17469.0,28757.0,1097.0,67,84,35.0,40,14,1283.0,0.07344438720018318,False
P00097,2024-08-22,Instagram,Entrenamiento,Carrusel,0,39193.0,59970.0,811.0,65,73,67.0,32,19,1016.0,0.02592299645344832,False
P00098,2024-08-22,Facebook,Cantera,Imagen,0,11474.0,17165.0,73.0,3,5,4.0,1,0,85.0,0.007408052989367265,False
P00099,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,18973.0,27939.0,139.0,11,8,17.0,5,2,175.0,0.009223633584567544,False
P00100,2024-08-22,Facebook,Patrocinador,Vídeo corto,0,12137.0,19771.0,96.0,7,4,11.0,3,1,118.0,0.009722336656504902,False
P00101,2024-08-22,Facebook,Cantera,Imagen,0,9724.0,15321.0,55.0,4,3,8.0,2,0,70.0,0.007198683669271904,False
P00102,2024-08-22,Facebook,Entrenamiento,Imagen,0,22995.0,28905.0,331.0,19,18,26.0,8,6,394.0,0.017134159599913025,False
P00103,2024-08-22,Facebook,Previa,Carrusel,0,5257.0,7209.0,51.0,4,3,5.0,2,0,63.0,0.011984021304926764,False
P00104,2024-08-22,TikTok,Patrocinador,Vídeo corto,0,5854.0,9658.0,233.0,22,16,22.0,12,4,293.0,0.05005124701059105,False
P00105,2024-08-23,Instagram,Cantera,Vídeo corto,0,28764.0,44667.0,1357.0,134,153,80.0,69,26,1724.0,0.05993603115004867,False
P00106,2024-08-23,Instagram,Fichajes,Carrusel,0,23478.0,27264.0,2150.0,176,228,44.0,92,37,2598.0,0.11065678507538973,False
P00107,2024-08-23,X,Patrocinador,Imagen,0,7115.0,11104.0,29.0,2,2,4.0,0,0,37.0,0.005200281096275475,False
P00108,2024-08-23,X,Entrenamiento,Vídeo largo,0,29760.0,47683.0,439.0,26,23,46.0,14,5,534.0,0.017943548387096775,False
P00109,2024-08-23,Facebook,Previa,Vídeo corto,0,13275.0,18463.0,278.0,16,24,13.0,8,3,331.0,0.024934086629001883,False
P00110,2024-08-24,X,Institucional,Vídeo corto,1,40560.0,66342.0,726.0,48,39,36.0,32,5,849.0,0.020931952662721895,False
P00111,2024-08-24,X,Previa,Texto,1,48831.0,67724.0,509.0,41,36,34.0,26,9,620.0,0.012696852409330139,False
P00112,2024-08-24,Facebook,Directo,Vídeo corto,1,7935.0,11372.0,179.0,14,11,10.0,10,1,214.0,0.026969124133585383,False
P00113,2024-08-24,Facebook,Resumen,Vídeo corto,1,17255.0,28374.0,556.0,42,52,62.0,30,5,712.0,0.04126340191248913,False
P00114,2024-08-24,TikTok,Directo,Vídeo corto,1,7451.0,9241.0,858.0,55,63,69.0,42,5,1045.0,0.1402496309220239,False
P00115,2024-08-24,TikTok,Resumen,Vídeo corto,1,8710.0,11669.0,1864.0,143,204,92.0,96,28,2303.0,0.26440872560275547,False
P00116,2024-08-24,YouTube,Patrocinador,Vídeo largo,1,4058.0,5627.0,42.0,2,4,3.0,1,0,51.0,0.012567767373090193,False
P00117,2024-08-24,YouTube,Resumen,Vídeo corto,1,5376.0,10673.0,525.0,45,39,57.0,30,8,666.0,0.12388392857142858,True
P00118,2024-08-24,YouTube,Previa,Vídeo corto,1,6147.0,9345.0,256.0,19,27,26.0,13,2,328.0,0.05335936229054823,False
P00119,2024-08-25,Instagram,Resumen,Imagen,0,23611.0,29110.0,1319.0,99,89,50.0,55,26,1557.0,0.06594383973571641,False
P00120,2024-08-25,X,Fichajes,Imagen,0,22937.0,32258.0,549.0,51,57,21.0,26,8,678.0,0.02955922744909971,False
P00121,2024-08-25,Facebook,Efeméride,Imagen,0,9666.0,11151.0,41.0,2,3,3.0,1,0,49.0,0.0050693151251810465,False
P00122,2024-08-25,TikTok,Patrocinador,Vídeo corto,0,8306.0,2975.0,115.0,10,8,11.0,5,2,144.0,0.017336864916927524,False
P00123,2024-08-25,TikTok,Efeméride,Vídeo corto,0,7097.0,7966.0,493.0,43,36,29.0,21,10,601.0,0.0846836691559814,False
P00124,2024-08-26,X,Entrenamiento,Vídeo corto,0,10042.0,14312.0,170.0,14,8,22.0,5,3,214.0,0.021310495917147978,False
P00125,2024-08-26,X,Previa,Vídeo corto,0,18476.0,25908.0,265.0,20,20,21.0,9,5,326.0,0.017644511799090712,False
P00126,2024-08-26,TikTok,Cantera,Vídeo corto,0,11568.0,17595.0,941.0,89,57,42.0,52,21,1129.0,0.09759681881051176,False
P00127,2024-08-27,Facebook,Efeméride,Carrusel,0,14017.0,20063.0,156.0,14,12,5.0,5,3,187.0,0.013340943140472284,False
P00128,2024-08-27,Facebook,Entrenamiento,Texto,0,12844.0,18518.0,113.0,6,12,5.0,2,1,136.0,0.01058860168171909,False
P00129,2024-08-27,Facebook,Fichajes,Vídeo corto,0,13209.0,16408.0,224.0,17,11,23.0,10,2,275.0,0.02081913846619729,False
P00130,2024-08-27,Facebook,Efeméride,Carrusel,0,6082.0,8494.0,60.0,4,5,6.0,1,1,75.0,0.012331469911213417,False
P00131,2024-08-27,Facebook,Patrocinador,Vídeo corto,0,11501.0,16822.0,97.0,7,5,8.0,4,1,117.0,0.010173028432310233,False
P00132,2024-08-28,X,Entrenamiento,Texto,0,32981.0,43886.0,383.0,30,37,25.0,16,8,475.0,0.014402231587883934,False
P00133,2024-08-28,X,Efeméride,Texto,0,22794.0,36812.0,171.0,11,10,18.0,6,2,210.0,0.009212950776520137,False
P00134,2024-08-28,Facebook,Efeméride,Vídeo largo,0,6821.0,8520.0,52.0,3,4,6.0,1,0,65.0,0.009529394516933002,False
P00135,2024-08-28,TikTok,Entrenamiento,Vídeo corto,0,5449.0,6270.0,483.0,34,45,45.0,20,5,607.0,0.11139658652963846,False
P00136,2024-08-28,TikTok,Afición,Vídeo corto,0,5837.0,6787.0,847.0,53,55,87.0,27,16,1042.0,0.1785163611444235,False
P00137,2024-08-28,TikTok,Patrocinador,Vídeo corto,0,2915.0,4537.0,201.0,17,18,0.0,9,3,236.0,0.08096054888507719,False
P00138,2024-08-28,TikTok,Afición,Vídeo corto,0,7108.0,8417.0,732.0,49,71,24.0,27,13,876.0,0.12324141812042769,False
P00139,2024-08-28,YouTube,Cantera,Vídeo largo,0,4944.0,6709.0,101.0,7,11,7.0,4,1,126.0,0.025485436893203883,False
P00140,2024-08-29,X,Institucional,Imagen,0,26408.0,32079.0,179.0,11,13,14.0,5,3,217.0,0.008217206906997879,False
P00141,2024-08-29,X,Afición,Texto,0,14956.0,18838.0,169.0,9,15,22.5,5,2,215.5,0.01440893286975127,False
P00142,2024-08-29,X,Institucional,Vídeo corto,0,22531.0,28424.0,265.0,15,21,36.0,8,3,337.0,0.014957170121166393,False
P00143,2024-08-29,YouTube,Cantera,Vídeo largo,0,8946.0,10664.0,110.0,9,9,6.0,5,1,134.0,0.014978761457634698,False
P00144,2024-08-30,Instagram,Institucional,Texto,0,33703.0,53691.0,612.0,53,33,64.0,28,10,762.0,0.022609263270332018,False
P00145,2024-08-30,X,Efeméride,Carrusel,0,17676.0,21616.0,323.0,26,18,14.0,14,7,381.0,0.021554650373387645,False
P00146,2024-08-30,Facebook,Entrenamiento,Imagen,0,18877.0,27483.0,163.0,11,12,18.0,6,1,204.0,0.0108068019282725,False
P00147,2024-08-31,Instagram,Afición,Vídeo corto,1,51962.0,66418.0,5894.0,360,592,340.0,253,49,7186.0,0.13829336823063007,False
P00148,2024-08-31,Instagram,Cantera,Imagen,1,72492.0,117303.0,1797.0,114,188,110.0,77,23,2209.0,0.030472327981018597,False
P00149,2024-08-31,X,Directo,Imagen,1,22964.0,34331.0,795.0,58,65,16.0,42,8,934.0,0.04067235673227661,False
P00150,2024-08-31,X,Previa,Vídeo corto,1,46287.0,74800.0,1080.0,58,103,17.0,35,11,1258.0,0.02717825739408473,False
P00151,2024-08-31,X,Resumen,Imagen,1,17580.0,26433.0,415.0,32,42,40.0,19,5,529.0,0.030091012514220705,False
P00152,2024-08-31,Facebook,Previa,Vídeo corto,1,28416.0,38441.0,562.0,41,28,30.0,27,6,661.0,0.023261542792792793,False
P00153,2024-08-31,TikTok,Previa,Vídeo corto,1,7103.0,9490.0,1231.0,71,76,74.0,48,10,1452.0,0.20442066732366607,False
P00154,2024-08-31,TikTok,Resumen,Vídeo corto,1,13609.0,21553.0,2988.0,259,189,163.0,181,27,3599.0,0.26445734440443824,False
P00155,2024-08-31,YouTube,Patrocinador,Vídeo corto,1,3967.0,5848.0,82.0,4,8,10.0,3,0,104.0,0.02621628434585329,False
P00156,2024-08-31,YouTube,Directo,Vídeo largo,1,8196.0,9511.0,352.0,30,29,8.0,20,4,419.0,0.05112249877989263,False
P00157,2024-08-31,YouTube,Resumen,Vídeo largo,1,5749.0,9357.0,186.0,9,13,8.0,5,2,216.0,0.037571751608975475,False
P00158,2024-09-01,Instagram,Patrocinador,Imagen,0,19375.0,29077.0,308.0,27,29,21.0,14,6,385.0,0.019870967741935485,False
P00159,2024-09-01,Instagram,Fichajes,Imagen,0,26015.0,29263.0,1227.0,65,128,84.0,31,19,1504.0,0.05781280030751489,False
P00160,2024-09-01,X,Fichajes,Vídeo corto,0,13822.0,21190.0,621.0,55,44,15.0,30,9,735.0,0.05317609607871509,False
P00161,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,17052.0,19365.0,149.0,13,12,7.0,8,2,181.0,0.010614590663851748,False
P00162,2024-09-01,Facebook,Entrenamiento,Vídeo corto,0,11149.0,17523.0,182.0,16,18,0.0,7,5,216.0,0.0193739348820522,False
P00163,2024-09-01,YouTube,Institucional,Vídeo largo,0,4768.0,6937.0,37.0,2,3,3.0,0,0,45.0,0.009437919463087249,False
P00164,2024-09-02,Instagram,Efeméride,Vídeo largo,0,18822.0,23892.0,808.0,45,49,46.0,27,10,948.0,0.05036659228562321,False
P00165,2024-09-02,Instagram,Fichajes,Vídeo corto,0,23656.0,35401.0,2871.0,172,254,234.0,89,39,3531.0,0.14926445722015555,False
P00166,2024-09-02,Instagram,Entrenamiento,Imagen,0,16716.0,18897.0,510.0,37,49,5.0,19,10,601.0,0.03595357741086384,False
P00167,2024-09-02,X,Cantera,Carrusel,0,30223.0,48018.0,286.0,26,19,6.0,13,6,337.0,0.011150448334050227,False
P00168,2024-09-02,X,Patrocinador,Vídeo largo,0,37245.0,54331.0,233.0,19,21,8.0,8,3,281.0,0.007544636864008592,False
P00169,2024-09-03,Instagram,Institucional,Imagen,0,25530.0,40102.0,522.0,40,52,2.0,20,7,616.0,0.024128476302389346,False
P00170,2024-09-03,Instagram,Entrenamiento,Vídeo corto,0,20325.0,24733.0,1647.0,155,85,111.0,93,34,1998.0,0.09830258302583025,False
P00171,2024-09-03,Instagram,Afición,Vídeo corto,0,72858.0,113850.0,9616.0,797,825,295.0,393,236,11533.0,0.1582942161464767,False
P00172,2024-09-03,X,Cantera,Imagen,0,14225.0,17436.0,258.0,15,26,31.0,8,3,330.0,0.023198594024604568,False
P00173,2024-09-03,Facebook,Fichajes,Vídeo corto,0,8191.0,12396.0,246.0,19,18,24.0,11,4,307.0,0.03748016115248443,False
P00174,2024-09-03,TikTok,Institucional,Vídeo corto,0,3886.0,4921.0,234.0,18,22,2.0,9,4,276.0,0.07102418939783839,False
P00175,2024-09-04,X,Afición,Imagen,0,15961.0,23928.0,163.0,8,12,11.0,4,1,194.0,0.01215462690307625,False
P00176,2024-09-04,Facebook,Previa,Imagen,0,11226.0,12742.0,96.0,5,6,6.0,2,1,113.0,0.010065918403705684,False
P00177,2024-09-04,Facebook,Afición,Imagen,0,12796.0,14840.0,130.0,7,11,5.0,2,1,153.0,0.011956861519224758,False
P00178,2024-09-05,X,Patrocinador,Vídeo corto,0,26665.0,32448.0,333.0,27,22,13.0,16,4,395.0,0.014813425839114944,False
P00179,2024-09-05,Facebook,Fichajes,Imagen,0,14564.0,23939.0,134.0,9,9,10.0,5,1,162.0,0.01112331776984345,False
P00180,2024-09-05,Facebook,Previa,Vídeo corto,0,21957.0,30622.0,236.0,15,11,20.0,8,4,282.0,0.012843284601721546,False
P00181,2024-09-06,Instagram,Entrenamiento,Imagen,0,13839.0,20145.0,345.0,32,30,29.0,15,7,436.0,0.031505166558277335,False
P00182,2024-09-06,Instagram,Efeméride,Imagen,0,9634.0,15424.0,416.0,30,33,7.0,15,9,486.0,0.050446335893709775,False
P00183,2024-09-06,X,Cantera,Texto,0,18516.0,21083.0,144.0,11,15,0.0,5,3,170.0,0.009181248649816376,False
P00184,2024-09-06,YouTube,Patrocinador,Vídeo corto,0,4187.0,4945.0,69.0,4,4,5.0,2,0,82.0,0.01958442799140196,False
P00185,2024-09-06,YouTube,Resumen,Vídeo corto,0,4790.0,5506.0,461.0,27,46,4.0,14,7,538.0,0.11231732776617954,True
P00186,2024-09-07,Instagram,Efeméride,Imagen,1,37175.0,55914.0,922.0,49,57,134.0,16,12,1162.0,0.03125756556825824,False
P00187,2024-09-07,Instagram,Resumen,Vídeo corto,1,28048.0,31768.0,1925.0,174,124,60.0,81,34,2283.0,0.08139617798060468,False
P00188,2024-09-07,Instagram,Previa,Imagen,1,28899.0,44512.0,1231.0,109,96,80.0,47,25,1516.0,0.05245856258002007,False
P00189,2024-09-07,Instagram,Previa,Carrusel,1,23624.0,37914.0,789.0,74,66,76.0,23,26,1005.0,0.042541483237385706,False
P00190,2024-09-07,Facebook,Afición,Carrusel,1,22756.0,37500.0,406.0,31,31,26.0,8,8,494.0,0.021708560379680084,False
P00191,2024-09-07,Facebook,Directo,Vídeo corto,1,30437.0,35563.0,621.0,33,57,17.0,12,9,728.0,0.02391825738410487,False
P00192,2024-09-07,Facebook,Directo,Imagen,1,15989.0,21414.0,155.0,13,7,16.0,5,3,191.0,0.011945712677465758,False
P00193,2024-09-07,Facebook,Institucional,Vídeo largo,1,33794.0,44553.0,89.0,8,6,6.0,3,2,109.0,0.003225424631591407,False
P00194,2024-09-07,TikTok,Directo,Vídeo corto,1,6280.0,9217.0,515.0,32,49,68.5,9,9,664.5,0.10581210191082803,False
