jornada,jugador_id,ventana,menciones,sent_positivo,sent_negativo,sent_neutro
2,J06,Pre,146,73,31,42
2,J06,Post,346,261,47,38
2,J07,Pre,300,130,86,84
2,J07,Post,861,656,111,94
2,J08,Pre,96,49,20,27
2,J08,Post,241,128,54,59
2,J09,Pre,223,115,40,68
2,J09,Post,802,654,83,65
2,J10,Pre,60,27,13,20
2,J10,Post,0,0,0,0
2,J11,Pre,188,102,33,53
2,J11,Post,32,12,8,12
2,J12,Pre,177,92,44,41
2,J12,Post,471,292,94,85
2,J13,Pre,244,131,64,49
2,J13,Post,383,233,53,97
2,J14,Pre,61,32,17,12
2,J14,Post,125,77,18,30
2,J15,Pre,72,39,14,19
2,J15,Post,14,6,3,5
2,J16,Pre,103,60,20,23
2,J16,Post,219,150,38,31
2,J17,Pre,157,97,22,38
2,J17,Post,416,283,58,75
2,J18,Pre,241,122,50,69
2,J18,Post,644,440,106,98
2,J19,Pre,179,96,41,42
2,J19,Post,489,304,72,113
2,J20,Pre,240,122,55,63
2,J20,Post,10,4,2,4
2,J21,Pre,380,169,106,105
2,J21,Post,47,24,11,12
2,J22,Pre,273,151,44,78
2,J22,Post,1216,993,130,93
2,J23,Pre,191,108,32,51
2,J23,Post,6,2,1,3
2,J24,Pre,296,169,68,59
2,J24,Post,519,305,76,138
2,J25,Pre,246,127,57,62
2,J25,Post,523,396,50,77
3,J01,Pre,73,36,20,17
3,J01,Post,207,142,22,43
3,J02,Pre,167,98,26,43
3,J02,Post,123,57,23,43
3,J03,Pre,177,113,25,39
3,J03,Post,31,16,8,7
3,J04,Pre,332,206,73,53
3,J04,Post,145,81,26,38
3,J05,Pre,238,135,49,54
3,J05,Post,542,339,73,130
3,J06,Pre,117,62,25,30
3,J06,Post,424,336,40,48
3,J07,Pre,82,53,13,16
3,J07,Post,535,320,120,95
3,J08,Pre,114,72,15,27
3,J08,Post,0,0,0,0
3,J09,Pre,243,152,49,42
3,J09,Post,505,369,67,69
3,J10,Pre,108,65,14,29
3,J10,Post,273,176,36,61
3,J11,Pre,238,138,37,63
3,J11,Post,403,234,87,82
3,J12,Pre,131,76,25,30
3,J12,Post,93,45,20,28
3,J13,Pre,273,150,71,52
3,J13,Post,493,316,67,110
3,J14,Pre,54,32,12,10
3,J14,Post,128,87,21,20
3,J15,Pre,73,43,16,14
3,J15,Post,160,102,25,33
3,J16,Pre,87,48,16,23
3,J16,Post,49,23,13,13
3,J17,Pre,198,122,41,35
3,J17,Post,65,32,19,14
3,J18,Pre,392,226,77,89
3,J18,Post,739,433,144,162
3,J19,Pre,166,74,45,47
3,J19,Post,30,13,8,9
3,J20,Pre,243,134,45,64
3,J20,Post,53,25,16,12
3,J21,Pre,409,240,100,69
3,J21,Post,830,502,126,202
3,J22,Pre,288,161,57,70
3,J22,Post,791,524,114,153
3,J23,Pre,281,125,86,70
3,J23,Post,1168,853,135,180
3,J24,Pre,370,244,62,64
3,J24,Post,576,375,102,99
3,J25,Pre,223,133,53,37
3,J25,Post,685,491,69,125
4,J01,Pre,103,47,28,28
4,J01,Post,116,31,37,48
4,J02,Pre,168,88,35,45
4,J02,Post,262,77,105,80
4,J03,Pre,179,108,27,44
4,J03,Post,333,104,94,135
4,J04,Pre,296,154,68,74
4,J04,Post,458,157,155,146
4,J05,Pre,143,76,24,43
4,J05,Post,247,77,84,86
4,J06,Pre,42,20,8,14
4,J06,Post,176,34,71,71
4,J07,Pre,225,128,48,49
4,J07,Post,291,69,84,138
4,J08,Pre,90,49,22,19
4,J08,Post,132,37,52,43
4,J09,Pre,150,71,32,47
4,J09,Post,67,27,15,25
4,J10,Pre,127,62,28,37
4,J10,Post,65,35,12,18
4,J11,Pre,229,107,45,77
4,J11,Post,213,68,75,70
4,J12,Pre,147,75,41,31
4,J12,Post,19,9,4,6
4,J13,Pre,111,51,22,38
4,J13,Post,283,95,90,98
4,J14,Pre,78,39,18,21
4,J14,Post,25,13,4,8
4,J15,Pre,65,36,16,13
4,J15,Post,133,54,43,36
4,J16,Pre,99,51,24,24
4,J16,Post,142,41,59,42
4,J17,Pre,134,69,35,30
4,J17,Post,451,193,144,114
4,J18,Pre,261,144,41,76
4,J18,Post,712,298,236,178
4,J19,Pre,134,69,23,42
4,J19,Post,27,12,7,8
4,J20,Pre,255,127,44,84
4,J20,Post,481,135,149,197
4,J21,Pre,306,155,64,87
4,J21,Post,62,33,13,16
4,J22,Pre,223,102,50,71
4,J22,Post,111,54,33,24
4,J23,Pre,232,116,61,55
4,J23,Post,22,12,4,6
4,J24,Pre,344,194,70,80
4,J24,Post,418,110,141,167
4,J25,Pre,199,97,57,45
4,J25,Post,34,18,6,10
5,J01,Pre,95,50,19,26
5,J01,Post,0,0,0,0
5,J02,Pre,184,83,52,49
5,J02,Post,325,106,119,100
5,J03,Pre,113,58,24,31
5,J03,Post,1,0,0,1
5,J04,Pre,185,84,51,50
5,J04,Post,121,52,29,40
5,J05,Pre,188,83,53,52
5,J05,Post,53,28,13,12
5,J06,Pre,109,39,40,30
5,J06,Post,57,28,14,15
5,J07,Pre,104,54,26,24
5,J07,Post,300,45,115,140
5,J08,Pre,74,30,20,24
5,J08,Post,127,40,30,57
5,J09,Pre,148,76,41,31
5,J09,Post,17,8,3,6
5,J10,Pre,50,24,9,17
5,J10,Post,162,63,50,49
5,J11,Pre,173,54,67,52
5,J11,Post,697,323,135,239
5,J12,Pre,144,60,32,52
5,J12,Post,183,40,70,73
5,J13,Pre,170,74,38,58
5,J13,Post,480,194,140,146
5,J14,Pre,13,5,2,6
5,J14,Post,38,18,9,11
5,J15,Pre,46,23,8,15
5,J15,Post,127,37,50,40
5,J16,Pre,94,36,30,28
5,J16,Post,209,75,66,68
5,J17,Pre,143,57,49,37
5,J17,Post,233,58,65,110
5,J18,Pre,258,109,67,82
5,J18,Post,579,172,153,254
5,J19,Pre,2,0,0,2
5,J19,Post,276,50,102,124
5,J20,Pre,192,92,41,59
5,J20,Post,352,88,115,149
5,J21,Pre,293,125,62,106
5,J21,Post,562,127,175,260
5,J22,Pre,159,69,40,50
5,J22,Post,64,27,18,19
5,J23,Pre,163,81,45,37
5,J23,Post,188,92,44,52
5,J24,Pre,229,112,57,60
5,J24,Post,291,71,128,92
5,J25,Pre,114,55,21,38
5,J25,Post,276,61,127,88
6,J01,Pre,79,39,16,24
6,J01,Post,59,27,11,21
6,J02,Pre,219,109,54,56
6,J02,Post,119,52,25,42
6,J03,Pre,141,70,24,47
6,J03,Post,365,212,53,100
6,J04,Pre,205,111,40,54
6,J04,Post,501,234,107,160
6,J05,Pre,164,81,46,37
6,J05,Post,435,204,116,115
6,J06,Pre,121,63,31,27
6,J06,Post,47,19,12,16
6,J07,Pre,144,82,31,31
6,J07,Post,64,35,11,18
6,J08,Pre,108,49,21,38
6,J08,Post,247,140,49,58
6,J09,Pre,192,98,49,45
6,J09,Post,12,5,2,5
6,J10,Pre,96,45,25,26
6,J10,Post,160,68,34,58
6,J11,Pre,202,101,52,49
6,J11,Post,1,0,0,1
6,J12,Pre,156,69,36,51
6,J12,Post,637,411,91,135
6,J13,Pre,222,105,68,49
6,J13,Post,373,179,92,102
6,J14,Pre,47,29,9,9
6,J14,Post,106,47,30,29
6,J15,Pre,80,39,15,26
6,J15,Post,150,85,30,35
6,J16,Pre,109,49,26,34
6,J16,Post,36,15,10,11
6,J17,Pre,186,77,53,56
6,J17,Post,331,156,101,74
6,J18,Pre,276,115,67,94
6,J18,Post,478,211,99,168
6,J19,Pre,194,83,51,60
6,J19,Post,384,206,89,89
6,J20,Pre,163,88,34,41
6,J20,Post,74,34,21,19
6,J21,Pre,281,155,60,66
6,J21,Post,107,50,31,26
6,J22,Pre,288,149,69,70
6,J22,Post,480,218,115,147
6,J23,Pre,285,145,58,82
6,J23,Post,523,206,139,178
6,J24,Pre,296,153,66,77
6,J24,Post,114,58,21,35
6,J25,Pre,180,90,49,41
6,J25,Post,477,270,112,95
7,J01,Pre,51,25,12,14
7,J01,Post,50,22,14,14
7,J02,Pre,141,67,42,32
7,J02,Post,490,320,72,98
7,J03,Pre,198,104,52,42
7,J03,Post,584,447,70,67
7,J04,Pre,353,166,72,115
7,J04,Post,1249,1034,117,98
7,J05,Pre,168,72,51,45
7,J05,Post,410,253,65,92
7,J06,Pre,117,54,27,36
7,J06,Post,27,13,6,8
7,J07,Pre,196,89,58,49
7,J07,Post,313,173,55,85
7,J08,Pre,126,60,33,33
7,J08,Post,280,183,55,42
7,J09,Pre,184,89,39,56
7,J09,Post,493,337,72,84
7,J10,Pre,106,48,30,28
7,J10,Post,1,0,0,1
7,J11,Pre,162,76,41,45
7,J11,Post,457,308,75,74
7,J12,Pre,201,102,50,49
7,J12,Post,97,44,19,34
7,J13,Pre,239,120,45,74
7,J13,Post,68,36,18,14
7,J14,Pre,56,27,12,17
7,J14,Post,6,2,1,3
7,J15,Pre,74,39,13,22
7,J15,Post,138,76,30,32
7,J16,Pre,108,55,28,25
7,J16,Post,256,161,54,41
7,J17,Pre,177,89,40,48
7,J17,Post,369,217,72,80
7,J18,Pre,303,160,52,91
7,J18,Post,100,52,18,30
7,J19,Pre,146,63,49,34
7,J19,Post,7,3,1,3
7,J20,Pre,169,81,43,45
7,J20,Post,481,303,91,87
7,J21,Pre,261,136,66,59
7,J21,Post,1291,1095,83,113
7,J22,Pre,303,162,68,73
7,J22,Post,720,541,106,73
7,J23,Pre,272,137,62,73
7,J23,Post,754,464,171,119
7,J24,Pre,307,134,94,79
7,J24,Post,850,613,90,147
7,J25,Pre,186,92,47,47
7,J25,Post,19,9,5,5
8,J01,Pre,59,31,12,16
8,J01,Post,24,11,6,7
8,J02,Pre,162,72,37,53
8,J02,Post,508,180,156,172
8,J03,Pre,56,27,10,19
8,J03,Post,218,61,73,84
8,J04,Pre,344,171,102,71
8,J04,Post,376,69,167,140
8,J05,Pre,175,61,66,48
8,J05,Post,481,143,181,157
8,J06,Pre,68,34,18,16
8,J06,Post,239,46,95,98
8,J07,Pre,93,48,22,23
8,J07,Post,278,72,93,113
8,J08,Pre,98,48,18,32
8,J08,Post,0,0,0,0
8,J09,Pre,140,60,40,40
8,J09,Post,52,25,12,15
8,J10,Pre,94,54,18,22
8,J10,Post,121,36,36,49
8,J11,Pre,146,72,36,38
8,J11,Post,349,79,142,128
8,J12,Pre,237,114,61,62
8,J12,Post,65,26,20,19
8,J13,Pre,200,86,40,74
8,J13,Post,61,35,15,11
8,J14,Pre,37,19,6,12
8,J14,Post,152,57,45,50
8,J15,Pre,77,36,14,27
8,J15,Post,107,28,46,33
8,J16,Pre,69,33,17,19
8,J16,Post,187,50,58,79
8,J17,Pre,166,68,34,64
8,J17,Post,306,65,133,108
8,J18,Pre,262,126,54,82
8,J18,Post,846,346,264,236
8,J19,Pre,171,93,35,43
8,J19,Post,89,40,20,29
8,J20,Pre,150,63,46,41
8,J20,Post,0,0,0,0
8,J21,Pre,329,134,78,117
8,J21,Post,462,165,151,146
8,J22,Pre,171,86,33,52
8,J22,Post,680,249,200,231
8,J23,Pre,308,146,87,75
8,J23,Post,606,218,201,187
8,J24,Pre,188,92,38,58
8,J24,Post,79,42,12,25
8,J25,Pre,194,87,44,63
8,J25,Post,65,27,16,22
9,J01,Pre,63,28,14,21
9,J01,Post,154,84,31,39
9,J02,Pre,185,95,43,47
9,J02,Post,497,288,124,85
9,J03,Pre,107,47,34,26
9,J03,Post,348,233,57,58
9,J04,Pre,197,91,45,61
9,J04,Post,893,604,141,148
9,J05,Pre,150,58,44,48
9,J05,Post,115,61,29,25
9,J06,Pre,111,48,24,39
9,J06,Post,0,0,0,0
9,J07,Pre,149,69,38,42
9,J07,Post,374,202,68,104
9,J08,Pre,76,31,19,26
9,J08,Post,206,123,42,41
9,J09,Pre,174,72,50,52
9,J09,Post,36,17,9,10
9,J10,Pre,40,19,11,10
9,J10,Post,13,6,3,4
9,J11,Pre,173,74,51,48
9,J11,Post,471,329,77,65
9,J12,Pre,110,38,29,43
9,J12,Post,397,270,58,69
9,J13,Pre,240,114,49,77
9,J13,Post,18,7,3,8
9,J14,Pre,35,13,9,13
9,J14,Post,140,98,22,20
9,J15,Pre,85,40,21,24
9,J15,Post,25,11,7,7
9,J16,Pre,50,22,12,16
9,J16,Post,226,127,51,48
9,J17,Pre,85,39,22,24
9,J17,Post,14,6,3,5
9,J18,Pre,209,92,60,57
9,J18,Post,608,331,118,159
9,J19,Pre,123,69,31,23
9,J19,Post,367,193,93,81
9,J20,Pre,191,85,43,63
9,J20,Post,79,41,15,23
9,J21,Pre,229,109,57,63
9,J21,Post,42,18,13,11
9,J22,Pre,180,81,56,43
9,J22,Post,953,653,178,122
9,J23,Pre,165,61,40,64
9,J23,Post,1221,905,149,167
9,J24,Pre,167,75,42,50
9,J24,Post,613,366,146,101
9,J25,Pre,230,88,63,79
9,J25,Post,1045,992,28,25
10,J01,Pre,50,19,13,18
10,J01,Post,173,49,60,64
10,J02,Pre,81,30,23,28
10,J02,Post,315,115,92,108
10,J03,Pre,130,46,32,52
10,J03,Post,241,71,71,99
10,J04,Pre,88,27,24,37
10,J04,Post,0,0,0,0
10,J05,Pre,105,52,24,29
10,J05,Post,234,79,86,69
10,J06,Pre,83,32,24,27
10,J06,Post,38,18,9,11
10,J07,Pre,122,48,42,32
10,J07,Post,78,43,15,20
10,J08,Pre,100,40,20,40
10,J08,Post,190,34,84,72
10,J09,Pre,103,36,32,35
10,J09,Post,116,16,56,44
10,J10,Pre,62,19,16,27
10,J10,Post,0,0,0,0
10,J11,Pre,57,22,13,22
10,J11,Post,358,92,130,136
10,J12,Pre,110,51,27,32
10,J12,Post,222,31,97,94
10,J13,Pre,144,52,49,43
10,J13,Post,249,61,83,105
10,J14,Pre,30,12,8,10
10,J14,Post,55,6,22,27
10,J15,Pre,30,11,10,9
10,J15,Post,31,14,5,12
10,J16,Pre,127,57,35,35
10,J16,Post,171,64,63,44
10,J17,Pre,111,43,34,34
10,J17,Post,158,56,56,46
10,J18,Pre,209,72,51,86
10,J18,Post,0,0,0,0
10,J19,Pre,108,46,25,37
10,J19,Post,225,48,82,95
10,J20,Pre,120,56,28,36
10,J20,Post,79,42,17,20
10,J21,Pre,313,127,77,109
10,J21,Post,37,13,10,14
10,J22,Pre,320,140,100,80
10,J22,Post,466,124,177,165
10,J23,Pre,129,58,40,31
10,J23,Post,871,346,190,335
10,J24,Pre,149,55,54,40
10,J24,Post,811,261,212,338
10,J25,Pre,222,111,56,55
10,J25,Post,48,24,10,14
11,J01,Pre,97,38,26,33
11,J01,Post,167,44,68,55
11,J02,Pre,120,48,35,37
11,J02,Post,293,65,104,124
11,J03,Pre,112,40,41,31
11,J03,Post,45,25,8,12
11,J04,Pre,179,83,48,48
11,J04,Post,494,134,149,211
11,J05,Pre,238,72,76,90
11,J05,Post,1,0,0,1
11,J06,Pre,143,58,33,52
11,J06,Post,266,79,78,109
11,J07,Pre,118,45,31,42
11,J07,Post,376,134,95,147
11,J08,Pre,96,37,28,31
11,J08,Post,195,68,48,79
11,J09,Pre,105,48,26,31
11,J09,Post,94,47,24,23
11,J10,Pre,75,25,27,23
11,J10,Post,115,23,40,52
11,J11,Pre,141,51,35,55
11,J11,Post,51,22,11,18
11,J12,Pre,113,39,32,42
11,J12,Post,249,56,93,100
11,J13,Pre,223,90,64,69
11,J13,Post,346,104,135,107
11,J14,Pre,40,18,7,15
11,J14,Post,73,14,23,36
11,J15,Pre,53,19,13,21
11,J15,Post,113,22,51,40
11,J16,Pre,101,52,24,25
11,J16,Post,56,31,14,11
11,J17,Pre,94,43,26,25
11,J17,Post,309,74,115,120
11,J18,Pre,52,20,17,15
11,J18,Post,134,76,30,28
11,J19,Pre,150,62,49,39
11,J19,Post,371,124,128,119
11,J20,Pre,212,96,58,58
11,J20,Post,98,38,26,34
11,J21,Pre,281,124,85,72
11,J21,Post,34,15,10,9
11,J22,Pre,246,101,51,94
11,J22,Post,645,222,180,243
11,J23,Pre,91,39,19,33
11,J23,Post,193,19,95,79
11,J24,Pre,157,70,37,50
11,J24,Post,2,0,0,2
11,J25,Pre,155,70,29,56
11,J25,Post,308,78,123,107
12,J01,Pre,86,39,22,25
12,J01,Post,162,51,55,56
12,J02,Pre,254,150,61,43
12,J02,Post,418,147,141,130
12,J03,Pre,190,104,50,36
12,J03,Post,347,75,153,119
12,J04,Pre,235,123,41,71
12,J04,Post,109,49,28,32
12,J05,Pre,204,106,42,56
12,J05,Post,57,27,13,17
12,J06,Pre,137,61,38,38
12,J06,Post,21,12,2,7
12,J07,Pre,267,149,46,72
12,J07,Post,25,10,7,8
12,J08,Pre,134,70,23,41
12,J08,Post,6,2,1,3
12,J09,Pre,221,107,42,72
12,J09,Post,418,131,149,138
12,J10,Pre,135,72,30,33
12,J10,Post,167,63,60,44
12,J11,Pre,215,107,45,63
12,J11,Post,353,77,118,158
12,J12,Pre,157,93,26,38
12,J12,Post,441,147,142,152
12,J13,Pre,198,122,38,38
12,J13,Post,369,104,113,152
12,J14,Pre,67,35,12,20
12,J14,Post,84,26,33,25
12,J15,Pre,56,28,9,19
12,J15,Post,47,19,14,14
12,J16,Pre,130,87,17,26
12,J16,Post,44,22,8,14
12,J17,Pre,198,114,42,42
12,J17,Post,294,90,107,97
12,J18,Pre,242,148,43,51
12,J18,Post,497,165,158,174
12,J19,Pre,248,136,64,48
12,J19,Post,31,15,6,10
12,J20,Pre,369,164,120,85
12,J20,Post,335,84,111,140
12,J21,Pre,435,234,97,104
12,J21,Post,464,123,134,207
12,J22,Pre,283,151,66,66
12,J22,Post,580,267,110,203
12,J23,Pre,399,208,89,102
12,J23,Post,456,140,184,132
12,J24,Pre,311,157,57,97
12,J24,Post,400,77,158,165
12,J25,Pre,287,141,57,89
12,J25,Post,96,48,21,27
13,J01,Pre,91,46,21,24
13,J01,Post,213,144,38,31
13,J02,Pre,198,129,36,33
13,J02,Post,100,55,16,29
13,J03,Pre,214,109,60,45
13,J03,Post,451,327,53,71
13,J04,Pre,295,174,47,74
13,J04,Post,653,440,112,101
13,J05,Pre,169,94,43,32
13,J05,Post,25,13,5,7
13,J06,Pre,165,92,29,44
13,J06,Post,351,246,48,57
13,J07,Pre,274,167,37,70
13,J07,Post,513,344,63,106
13,J08,Pre,100,51,21,28
13,J08,Post,305,242,26,37
13,J09,Pre,260,156,43,61
13,J09,Post,13,7,3,3
13,J10,Pre,93,47,24,22
13,J10,Post,242,158,45,39
13,J11,Pre,263,152,62,49
13,J11,Post,505,351,64,90
13,J12,Pre,213,139,40,34
13,J12,Post,296,205,50,41
13,J13,Pre,260,147,66,47
13,J13,Post,804,619,102,83
13,J14,Pre,66,40,11,15
13,J14,Post,16,7,4,5
13,J15,Pre,81,54,15,12
13,J15,Post,184,119,31,34
13,J16,Pre,72,36,18,18
13,J16,Post,6,3,1,2
13,J17,Pre,172,101,41,30
13,J17,Post,422,260,56,106
13,J18,Pre,206,123,48,35
13,J18,Post,106,49,33,24
13,J19,Pre,232,136,37,59
13,J19,Post,32,16,5,11
13,J20,Pre,201,137,31,33
13,J20,Post,548,303,133,112
13,J21,Pre,359,170,71,118
13,J21,Post,151,74,40,37
13,J22,Pre,388,218,88,82
13,J22,Post,676,470,93,113
13,J23,Pre,327,181,65,81
13,J23,Post,64,29,13,22
13,J24,Pre,470,274,105,91
13,J24,Post,851,615,111,125
13,J25,Pre,207,118,40,49
13,J25,Post,465,286,89,90
14,J01,Pre,82,42,19,21
14,J01,Post,16,5,5,6
14,J02,Pre,158,84,31,43
14,J02,Post,481,301,88,92
14,J03,Pre,175,99,28,48
14,J03,Post,331,220,39,72
14,J04,Pre,212,122,31,59
14,J04,Post,655,384,97,174
14,J05,Pre,234,136,41,57
14,J05,Post,413,249,61,103
14,J06,Pre,195,109,49,37
14,J06,Post,352,247,57,48
14,J07,Pre,231,127,40,64
14,J07,Post,423,313,61,49
14,J08,Pre,102,48,31,23
14,J08,Post,28,11,6,11
14,J09,Pre,251,139,61,51
14,J09,Post,425,281,62,82
14,J10,Pre,82,42,20,20
14,J10,Post,73,36,16,21
14,J11,Pre,191,109,34,48
14,J11,Post,387,246,68,73
14,J12,Pre,179,106,34,39
14,J12,Post,638,523,58,57
14,J13,Pre,227,129,36,62
14,J13,Post,779,568,109,102
14,J14,Pre,63,38,10,15
14,J14,Post,7,3,1,3
14,J15,Pre,78,41,19,18
14,J15,Post,197,133,32,32
14,J16,Pre,76,37,19,20
14,J16,Post,25,12,4,9
14,J17,Pre,130,56,31,43
14,J17,Post,361,247,44,70
14,J18,Pre,242,120,50,72
14,J18,Post,993,780,90,123
14,J19,Pre,137,62,38,37
14,J19,Post,591,405,82,104
14,J20,Pre,294,164,57,73
14,J20,Post,61,31,17,13
14,J21,Pre,316,150,68,98
14,J21,Post,89,40,23,26
14,J22,Pre,298,185,60,53
14,J22,Post,699,459,85,155
14,J23,Pre,259,150,51,58
14,J23,Post,181,94,42,45
14,J24,Pre,259,108,87,64
14,J24,Post,14,6,4,4
14,J25,Pre,165,96,27,42
14,J25,Post,1053,993,24,36
15,J01,Pre,82,42,15,25
15,J01,Post,31,14,7,10
15,J02,Pre,153,75,36,42
15,J02,Post,84,36,28,20
15,J03,Pre,163,74,35,54
15,J03,Post,285,106,66,113
15,J04,Pre,358,141,101,116
15,J04,Post,142,63,29,50
15,J05,Pre,150,72,41,37
15,J05,Post,305,90,128,87
15,J06,Pre,117,59,29,29
15,J06,Post,199,54,80,65
15,J07,Pre,202,125,43,34
15,J07,Post,271,55,76,140
15,J08,Pre,96,43,21,32
15,J08,Post,26,10,7,9
15,J09,Pre,190,89,41,60
15,J09,Post,289,94,102,93
15,J10,Pre,100,53,20,27
15,J10,Post,46,23,12,11
15,J11,Pre,166,86,41,39
15,J11,Post,304,57,144,103
15,J12,Pre,151,70,44,37
15,J12,Post,365,114,100,151
15,J13,Pre,117,50,38,29
15,J13,Post,205,46,84,75
15,J14,Pre,16,9,3,4
15,J14,Post,65,16,23,26
15,J15,Pre,78,41,18,19
15,J15,Post,87,20,27,40
15,J16,Pre,89,40,18,31
15,J16,Post,201,90,49,62
15,J17,Pre,105,54,20,31
15,J17,Post,656,317,136,203
15,J18,Pre,375,191,65,119
15,J18,Post,327,85,141,101
15,J19,Pre,170,87,42,41
15,J19,Post,375,155,92,128
15,J20,Pre,190,84,52,54
15,J20,Post,446,123,187,136
15,J21,Pre,300,125,83,92
15,J21,Post,515,133,207,175
15,J22,Pre,362,178,85,99
15,J22,Post,46,16,12,18
15,J23,Pre,303,168,65,70
15,J23,Post,132,49,42,41
15,J24,Pre,197,103,34,60
15,J24,Post,44,21,8,15
15,J25,Pre,175,85,37,53
15,J25,Post,89,47,24,18
16,J01,Pre,114,69,19,26
16,J01,Post,234,171,26,37
16,J02,Pre,184,124,34,26
16,J02,Post,812,669,68,75
16,J03,Pre,184,119,31,34
16,J03,Post,6,3,1,2
16,J04,Pre,381,261,69,51
16,J04,Post,156,81,43,32
16,J05,Pre,246,139,60,47
16,J05,Post,592,361,119,112
16,J06,Pre,205,125,37,43
16,J06,Post,310,179,78,53
16,J07,Pre,252,143,45,64
16,J07,Post,526,403,46,77
16,J08,Pre,139,80,22,37
16,J08,Post,253,150,40,63
16,J09,Pre,262,168,46,48
16,J09,Post,14,6,3,5
16,J10,Pre,133,85,27,21
16,J10,Post,30,15,5,10
16,J11,Pre,191,112,46,33
16,J11,Post,24,10,7,7
16,J12,Pre,190,125,33,32
16,J12,Post,517,394,45,78
16,J13,Pre,168,107,27,34
16,J13,Post,453,276,79,98
16,J14,Pre,66,40,9,17
16,J14,Post,122,64,25,33
16,J15,Pre,70,41,16,13
16,J15,Post,146,81,26,39
16,J16,Pre,127,78,21,28
16,J16,Post,18,9,4,5
16,J17,Pre,211,135,29,47
16,J17,Post,491,348,72,71
16,J18,Pre,406,271,55,80
16,J18,Post,1062,902,79,81
16,J19,Pre,251,185,24,42
16,J19,Post,618,454,78,86
16,J20,Pre,176,112,24,40
16,J20,Post,0,0,0,0
16,J21,Pre,402,247,65,90
16,J21,Post,770,467,108,195
16,J22,Pre,290,158,68,64
16,J22,Post,0,0,0,0
16,J23,Pre,438,258,71,109
16,J23,Post,1411,1305,48,58
16,J24,Pre,382,259,52,71
16,J24,Post,77,38,22,17
16,J25,Pre,269,193,31,45
16,J25,Post,468,306,96,66
17,J01,Pre,105,52,22,31
17,J01,Post,100,49,29,22
17,J02,Pre,110,64,22,24
17,J02,Post,137,76,25,36
17,J03,Pre,175,84,51,40
17,J03,Post,98,54,24,20
17,J04,Pre,259,119,83,57
17,J04,Post,6,2,1,3
17,J05,Pre,136,73,31,32
17,J05,Post,147,66,30,51
17,J06,Pre,119,55,37,27
17,J06,Post,276,123,74,79
17,J07,Pre,85,41,22,22
17,J07,Post,359,162,106,91
17,J08,Pre,124,65,23,36
17,J08,Post,215,134,37,44
17,J09,Pre,246,115,49,82
17,J09,Post,424,236,66,122
17,J10,Pre,89,35,19,35
17,J10,Post,39,14,14,11
17,J11,Pre,182,86,34,62
17,J11,Post,110,56,31,23
17,J12,Pre,191,103,48,40
17,J12,Post,632,474,55,103
17,J13,Pre,203,88,66,49
17,J13,Post,74,35,21,18
17,J14,Pre,49,19,15,15
17,J14,Post,101,46,24,31
17,J15,Pre,91,43,22,26
17,J15,Post,133,59,34,40
17,J16,Pre,88,42,19,27
17,J16,Post,260,155,50,55
17,J17,Pre,207,105,58,44
17,J17,Post,51,24,14,13
17,J18,Pre,200,87,63,50
17,J18,Post,639,371,126,142
17,J19,Pre,186,76,41,69
17,J19,Post,393,195,104,94
17,J20,Pre,209,96,50,63
17,J20,Post,109,56,23,30
17,J21,Pre,259,123,63,73
17,J21,Post,623,305,139,179
17,J22,Pre,350,154,109,87
